N	2gram	Tiupa_Vved_1	Narrotol
1	не только	20	26
2	а не	15	17
3	представляет собой	15	16
4	тогда как	10	15
5	но и	19	15
6	при этом	26	14
7	в том	10	14
8	в качестве	8	14
9	и не	12	14
10	в этом	21	13
11	и в	13	13
12	том что	7	13
13	состоит в	10	12
14	такого рода	16	12
15	только в	6	11
16	в частности	13	11
17	может быть	18	10
18	в данном	13	10
19	у чехова	1	9
20	своего рода	10	9
21	сводится к	4	9
22	так и	8	9
23	диегетический мир	7	9
24	диегетического мира	13	9
25	то есть	8	9
26	к тому	6	9
27	а в	6	9
28	в себе	5	8
29	то что	6	8
30	нарративного дискурса	5	8
31	не в	6	8
32	коммуникативного события	5	8
33	в тексте	10	8
34	картина мира	12	8
35	не может	7	8
36	нарративная модальность	1	7
37	иначе говоря	6	7
38	к себе	1	7
39	не сводится	4	7
40	событийного опыта	4	7
41	события рассказывания	2	7
42	нарративной интриги	4	7
43	у него	1	6
44	в рамках	4	6
45	в своем	5	6
46	все же	6	6
47	и к	2	6
48	но в	6	6
49	всего лишь	5	6
50	в жизни	4	6
51	никогда не	4	6
52	данном случае	6	6
53	коммуникативное событие	6	6
54	и т.п	9	6
55	можно сказать	4	6
56	а также	8	6
57	в его	4	6
58	вслед за	2	6
59	того что	6	6
60	со стороны	5	6
61	прежде всего	7	6
62	как бы	4	6
63	нарративная интрига	5	6
64	жизни в	4	6
65	героя в	1	6
66	ответ на	1	5
67	отличие от	2	5
68	что он	1	5
69	как в	4	5
70	хотя и	7	5
71	в нем	5	5
72	тем не	3	5
73	он не	3	5
74	таким образом	4	5
75	на протяжении	1	5
76	по мысли	5	5
77	и тем	2	5
78	далеко не	4	5
79	точки зрения	1	5
80	в котором	8	5
81	место в	2	5
82	не столько	4	5
83	тем самым	5	5
84	в то	4	5
85	на него	2	5
86	о том	5	5
87	в форме	1	5
88	с одной	5	5
89	по отношению	7	5
90	с другой	5	5
91	одной стороны	5	5
92	себе самому	1	5
93	в той	4	5
94	картиной мира	9	5
95	в отличие	2	5
96	отношению к	7	5
97	то же	5	4
98	и мира	3	4
99	взаимодействия сознаний	3	4
100	в ее	1	4
101	в этой	1	4
102	отнюдь не	7	4
103	о жизни	2	4
104	перед нами	6	4
105	встрече с	2	4
106	что это	1	4
107	тому же	4	4
108	излагаемой истории	1	4
109	в силу	2	4
110	уже не	5	4
111	в мире	8	4
112	об этом	4	4
113	войны и	3	4
114	исходной ситуации	5	4
115	читательского ожидания	4	4
116	в своей	5	4
117	не к	4	4
118	в конце	1	4
119	не менее	4	4
120	при всей	2	4
121	но при	5	4
122	читателя в	1	4
123	времени и	7	4
124	если бы	7	4
125	как у	1	4
126	и т.д	5	4
127	истории в	5	4
128	уже говорилось	1	4
129	нарративной истории	2	4
130	в какой	4	4
131	рассказывания в	4	4
132	свидетельствует о	4	4
133	для него	3	4
134	у нее	2	4
135	следует признать	4	4
136	в рассказе	6	4
137	повествуемого мира	6	4
138	как и	11	4
139	мира в	8	4
140	как это	1	4
141	в литературе	2	4
142	не является	3	4
143	и все	4	4
144	в герое	1	4
145	с ним	3	4
146	же в	1	4
147	и у	1	4
148	жизни и	7	4
149	что в	3	4
150	все что	3	4
151	поскольку не	2	3
152	для себя	1	3
153	самом деле	3	3
154	говорилось выше	1	3
155	едва ли	3	3
156	нарратора и	6	3
157	а как	1	3
158	мы имеем	5	3
159	нам в	1	3
160	повествования в	2	3
161	пребывания в	1	3
162	жизни так	2	3
163	как правило	6	3
164	но не	5	3
165	большей части	3	3
166	что они	1	3
167	нарративная картина	7	3
168	как к	1	3
169	в целом	3	3
170	все эти	1	3
171	в ответ	1	3
172	и его	5	3
173	особое место	1	3
174	так сказать	2	3
175	не следует	3	3
176	нарративного пространства	4	3
177	в коммуникативном	1	3
178	что нарративная	1	3
179	и по	3	3
180	например мы	1	3
181	конечном счете	1	3
182	при встрече	1	3
183	в итоге	3	3
184	он является	2	3
185	и внутренним	1	3
186	соответствии с	6	3
187	в слове	3	3
188	характер и	1	3
189	которой он	1	3
190	о которой	2	3
191	и того	2	3
192	о герое	1	3
193	что я	1	3
194	тому что	1	3
195	одна из	4	3
196	пока еще	4	3
197	того чтобы	1	3
198	мальчик и	2	3
199	же время	3	3
200	событии рассказывания	1	3
201	по своей	3	3
202	принципиальная особенность	2	3
203	этом отношении	4	3
204	между детьми	4	3
205	к позиции	1	3
206	в состав	4	3
207	той или	3	3
208	коммуникативном событии	2	3
209	как по	2	3
210	нарратив представляет	1	3
211	на том	1	3
212	и сам	1	3
213	и девочка	2	3
214	мира и	2	3
215	действующих лиц	2	3
216	строго говоря	2	3
217	между собой	2	3
218	о котором	2	3
219	о ней	4	3
220	детьми и	4	3
221	внимание на	3	3
222	за пределами	3	3
223	следует подчеркнуть	5	3
224	в конечном	1	3
225	по слову	1	3
226	существенную роль	1	3
227	это не	6	3
228	один из	3	3
229	и представляет	2	3
230	никак не	2	3
231	между тем	1	3
232	диегетическое время	4	3
233	то и	2	3
234	первого лица	1	3
235	или даже	1	3
236	интриги в	1	3
237	представить себе	2	3
238	как раз	2	3
239	и даже	1	3
240	или иной	3	3
241	по большей	3	3
242	только к	1	3
243	в соответствии	6	3
244	человек в	1	3
245	интриги слова	1	3
246	нарративного времени	5	3
247	да и	1	3
248	в аспекте	2	3
249	и для	3	3
250	а к	3	3
251	опыта в	4	3
252	от первого	1	3
253	сказать что	1	3
254	к его	3	3
255	в таком	1	3
256	что естественно	1	2
257	отчего дома	2	2
258	он может	1	2
259	в чужой	1	2
260	мере в	2	2
261	в нарративном	2	2
262	должна быть	2	2
263	сюжетной схемы	1	2
264	вольф шмид	4	2
265	героя на	1	2
266	это некоторый	1	2
267	современной нарратологии	4	2
268	мы не	4	2
269	в чеховском	2	2
270	главы в	1	2
271	диегетического и	2	2
272	в составе	2	2
273	пространство и	2	2
274	сознания адресата	1	2
275	подчеркнуть что	5	2
276	в каждой	1	2
277	в ней	4	2
278	самого рассказывания	3	2
