N	3gram	Losev_Vlad_1	Formalny
1	в настоящее время	1	10
2	то же время	4	8
3	в то же	4	8
4	и т д	2	8
5	более или менее	3	6
6	в свою очередь	1	6
7	не может быть	3	5
8	с одной стороны	1	4
9	во всяком случае	2	4
10	так и в	1	4
11	бы то ни	1	3
12	смысле этого слова	1	3
13	нет и не	1	2
14	и не может	1	2
15	как мы увидим	2	2
16	и в частности	2	2
17	в том чтобы	2	2
18	но в то	1	2
19	и в этом	1	2
20	и с позитивизмом	1	2
21	в связи с	1	2
22	в связи со	2	2
23	до настоящего времени	1	2
24	не только не	1	2
25	с ним на	1	1
26	науке и философии	1	1
27	не говоря уже	1	1
28	же время и	1	1
29	в этом смысле	4	1
30	не выходя за	1	1
31	так и не	1	1
32	они ничего не	1	1
33	как раз и	2	1
34	говоря уже о	1	1
35	в том что	7	1
36	на самом же	1	1
37	в этом отношении	1	1
38	в то что	1	1
39	на первом плане	1	1
40	духовной атмосферы в	1	1
41	вместе с тем	1	1
42	факт когда он	1	1
43	раз и навсегда	1	1
44	в это время	1	1
45	в целом и	1	1
46	в этом первом	1	1
47	то ни было	1	1
48	и тогда как	1	1
49	и в то	2	1
50	а также и	1	1
51	так или иначе	1	1
52	том чтобы установить	1	1
53	это конечно не	1	1
54	что касается до	1	1
55	с другой стороны	3	1
56	и в том	1	1
57	самом же деле	1	1
58	во всем своем	1	1
59	потому что никаких	1	1
60	до тех пор	1	1
61	вовсе не есть	1	1
62	и тем самым	1	1
63	но отнюдь не	1	1
64	но даже и	2	1
65	заключается в том	1	1
66	друг друга не	1	1
67	к тому что	1	1
68	атмосферы в которой	1	1
69	тем не менее	2	1
70	ум в г	1	1
71	мы уже знаем	1	1
72	что и в	2	1
73	не в этом	1	1
74	в жизни и	1	1
