1	с одной стороны	4	7
2	с точки зрения	8	6
3	во всяком случае	5	6
4	до сих пор	2	5
5	более или менее	3	5
6	по крайней мере	1	5
7	друг с другом	2	5
8	для того чтобы	1	5
9	о том что	1	4
10	тем не менее	1	3
11	в том что	1	3
12	так или иначе	1	3
13	этой точки зрения	1	2
14	с самого начала	1	2
15	то ни было	1	2
16	может быть и	1	2
17	и в этом	2	2
18	то или иное	1	2
19	с этой точки	1	2
20	в этом отношении	1	2
21	в то же	12	2
22	той или иной	9	2
23	можно сказать что	1	2
24	то же время	12	2
25	бы то ни	1	2
26	таким образом в	3	2
27	с одним из	1	2
28	и заставляет их	1	1
29	в первом случае	2	1
30	но с другой	1	1
31	так и в	3	1
32	же время он	1	1
33	только в одном	1	1
34	в отличие от	1	1
35	в широком смысле	2	1
36	не может не	5	1
37	здесь таким образом	1	1
38	ни с одним	1	1
39	по всей вероятности	3	1
40	и в то	5	1
41	в данном случае	3	1
42	а не как	2	1
43	имеем в виду	1	1
44	а между тем	2	1
45	и в сущности	2	1
46	а следовательно и	1	1
47	мы имеем в	1	1
48	в одном из	1	1
49	и заставляет его	1	1
50	перестает быть тем	2	1
51	не может быть	1	1
52	и некоторые другие	1	1
53	мы видим что	1	1
54	обстоит дело с	1	1
55	один из этих	1	1
56	именно потому что	1	1
57	тем и другим	1	1
58	в свою очередь	2	1
59	в то время	2	1
60	совершенно иное значение	1	1
61	и не могут	1	1
62	но по существу	2	1
63	с другой стороны	4	1
64	но в то	4	1
65	на задний план	1	1
66	в особый самостоятельный	1	1
67	не только не	1	1
68	до известной степени	2	1
