N	2gram	Nazirov_Tv_2	Analitik
1	может быть	8	29
2	в том	8	27
3	не может	7	22
4	и не	9	21
5	в частности	2	19
6	и в	20	18
7	но и	8	17
8	а не	6	17
9	представляет собой	1	16
10	отнюдь не	4	15
11	не только	13	15
12	тогда как	3	14
13	не в	4	14
14	в этом	8	13
15	как и	6	13
16	в его	10	13
17	при этом	8	12
18	том что	4	12
19	в себе	3	11
20	то есть	5	11
21	произведения в	1	11
22	но не	5	10
23	художественного целого	1	10
24	то же	7	9
25	в то	10	9
26	а в	4	9
27	в принципе	4	8
28	в мире	5	8
29	текста и	1	8
30	но в	4	8
31	нуждается в	1	8
32	не есть	1	8
33	том чтобы	1	7
34	произведения как	1	7
35	тем самым	4	7
36	к тому	1	7
37	этого слова	1	7
38	перед лицом	1	6
39	по отношению	3	6
40	отличие от	2	6
41	в самом	3	6
42	в случае	1	6
43	наш взгляд	2	6
44	на наш	2	6
45	это не	7	6
46	в своей	6	6
47	в отличие	2	6
48	в основе	2	6
49	той или	1	6
50	должен быть	1	6
51	в себя	1	6
52	же время	7	6
53	только в	2	6
54	себя в	2	6
55	то что	3	6
56	или иной	1	6
57	прежде всего	8	6
58	художественного произведения	1	5
59	в их	3	5
60	и на	5	5
61	и как	1	5
62	в целом	6	5
63	в этой	5	5
64	лишь в	1	5
65	и его	9	5
66	о том	5	5
67	сводится к	2	5
68	в тексте	1	5
69	между тем	3	5
70	такого рода	1	5
71	как бы	11	5
72	отношению к	3	5
73	что в	7	5
74	столь же	1	4
75	все же	5	4
76	тому же	2	4
77	с другими	2	4
78	и более	1	4
79	по себе	1	4
80	и соответственно	1	4
81	в области	1	4
82	ни в	1	4
83	могут быть	2	4
84	так и	6	4
85	не с	1	4
86	с ним	3	4
87	как правило	2	4
88	в другом	1	4
89	на вопрос	1	4
90	с другой	2	4
91	в конечном	1	4
92	уже не	3	4
93	конечном счете	1	4
94	с другим	2	4
95	именно в	6	4
96	вместе с	3	4
97	человека к	1	4
98	в литературе	2	4
99	как известно	2	3
100	и т	13	3
101	одним из	3	3
102	таком случае	2	3
103	и есть	2	3
104	место в	3	3
105	если в	1	3
106	в наиболее	1	3
107	в рамках	1	3
108	однако не	1	3
109	и к	1	3
110	автора и	1	3
111	в нем	3	3
112	он не	3	3
113	в силу	1	3
114	таким образом	10	3
115	литературоведческого анализа	1	3
116	того или	1	3
117	даже в	1	3
118	ведет к	1	3
119	в ходе	1	3
120	в котором	3	3
121	своего рода	3	3
122	всякий раз	1	3
123	художественное восприятие	1	3
124	однако в	1	3
125	т п	2	3
126	о нем	1	3
127	в таком	3	3
128	как будто	1	3
129	не могут	1	3
130	если бы	4	3
131	означает что	1	3
132	с его	1	3
133	еще не	5	3
134	с одной	1	3
135	что и	1	3
136	не случайно	2	3
137	а с	3	3
138	что не	3	3
139	более того	2	3
140	личности в	2	3
141	человек в	1	3
142	встрече с	1	3
143	объекта и	1	3
144	и одновременно	1	3
145	будто бы	1	3
146	что он	6	3
147	или иного	1	3
148	том числе	1	3
149	не остается	1	2
150	самом деле	2	2
151	в первом	1	2
152	по бахтину	1	2
153	едва ли	2	2
154	той же	1	2
155	на место	1	2
156	жизненной позиции	1	2
157	на себя	1	2
158	х годов	3	2
159	между собой	1	2
160	иного рода	1	2
161	на основе	1	2
162	то он	1	2
163	в противовес	1	2
164	не все	1	2
165	искусство в	1	2
166	отношение к	1	2
167	не просто	1	2
168	нет и	2	2
169	как уже	1	2
170	не являются	1	2
171	его к	1	2
172	в противоположность	1	2
173	то в	1	2
174	в которой	2	2
175	все эти	4	2
176	бы не	2	2
177	из этих	1	2
178	думать что	1	2
179	а напротив	1	2
180	и до	1	2
181	героя к	1	2
182	на его	4	2
183	как личность	1	2
184	от которого	1	2
185	не к	1	2
186	и по	2	2
187	и с	8	2
188	из них	2	2
189	вовсе не	2	2
190	так как	3	2
191	несмотря на	1	2
192	жизни но	1	2
193	такой же	2	2
194	перед собой	1	2
195	о ком	1	2
196	для него	3	2
197	от своего	1	2
198	не должен	1	2
199	не столько	2	2
200	случае это	1	2
201	только для	2	2
202	в процессе	2	2
203	в творческом	5	2
204	никогда не	11	2
205	и является	1	2
206	потому что	7	2
207	в сознании	1	2
208	отличается от	1	2
209	для себя	1	2
210	как мы	1	2
211	роль в	2	2
212	и о	1	2
213	быть может	3	2
214	мысль о	1	2
215	в пределах	1	2
216	представляют собой	1	2
217	в искусстве	2	2
218	читателя в	5	2
219	и сам	5	2
220	особенно в	2	2
221	одного из	1	2
222	еще в	1	2
223	должно быть	1	2
224	за пределами	1	2
225	каждом из	1	2
226	можно читать	1	2
227	не сводится	1	2
228	романа в	1	2
229	один из	3	2
230	ли он	1	2
231	который в	1	2
232	в начале	3	2
233	смысла в	1	2
234	при помощи	2	2
235	по выражению	1	2
236	его и	2	2
237	сами по	1	2
238	при всей	1	2
239	не о	1	2
240	может служить	2	2
241	ю м	8	2
242	бытия и	1	2
243	со стороны	1	2
244	было бы	1	2
245	представляет собою	1	2
246	соответствии с	4	2
247	только через	2	2
248	на фоне	1	2
249	и потому	4	2
250	что же	1	2
251	и тогда	2	2
252	писал в	1	2
253	не является	3	2
254	отвечает на	1	2
255	это как	1	2
256	мире и	1	2
257	нет ничего	3	2
258	другой стороны	2	2
259	была бы	1	2
260	героя в	4	2
261	речь идет	1	1
262	неотделима от	2	1
263	например в	5	1
264	человека и	3	1
265	с кем	1	1
266	смысл этого	1	1
267	по преимуществу	2	1
268	он всегда	2	1
269	сам автор	1	1
270	в какой-то	1	1
271	видеть в	1	1
272	внутренний мир	1	1
273	в году	16	1
274	мы уже	1	1
275	и значение	1	1
276	текста как	1	1
277	мы не	4	1
278	этого определения	1	1
279	бахтина в	1	1
280	сведена к	1	1
281	со смертью	1	1
282	герой его	1	1
283	не вполне	1	1
284	как я	1	1
285	событий и	1	1
286	что достоевский	3	1
287	свою очередь	1	1
288	дает им	1	1
289	литературы и	1	1
290	он был	1	1
291	он сам	3	1
292	быть в	1	1
293	нам представляется	1	1
294	в различных	1	1
295	в чем	4	1
296	во всех	1	1
297	говоря не	1	1
298	я никогда	1	1
299	действующее лицо	1	1
300	или во	1	1
301	в ее	2	1
302	был принужден	1	1
303	они имеют	2	1
304	но как	1	1
305	а только	1	1
306	воздействие на	2	1
307	к которой	1	1
308	сознания не	1	1
309	более крупные	1	1
310	присутствует в	1	1
311	личность как	1	1
312	или иное	1	1
313	и эстетического	1	1
