N	2gram	Tiupa_Narr_2	ViktorSh
1	и в	13	2
2	том что	13	2
3	а.н веселовский	1	2
4	в том	14	2
5	в конце	4	2
6	тем более	2	1
7	в другом	4	1
8	хотя бы	2	1
9	и не	14	1
10	все время	1	1
11	и его	3	1
12	потому что	2	1
13	я не	5	1
14	даже не	1	1
15	более чем	2	1
16	сводится к	9	1
17	же с	1	1
18	себе лишь	1	1
19	самом деле	3	1
20	и т.д	4	1
21	все это	1	1
22	по поводу	2	1
23	именно в	2	1
24	этом и	1	1
25	чего не	1	1
26	как же	1	1
27	собственно и	2	1
28	в частности	11	1
29	все то	2	1
30	столь же	2	1
31	время в	1	1
32	говоря о	1	1
33	в которых	1	1
34	в самом	2	1
35	только в	11	1
36	то же	4	1
37	говорится в	1	1
38	ясно что	1	1
39	далеко не	5	1
40	и составляет	1	1
41	другое дело	1	1
42	но это	2	1
43	в этом	13	1
44	да и	3	1
45	на одном	2	1
46	к этому	1	1
47	не хотел	1	1
48	гораздо более	1	1
