N	2gram	Bakhtin_Fr_1	SlovoVZh
1	не может	3	16
2	может быть	6	14
3	точки зрения	7	14
4	как бы	22	13
5	и его	10	13
6	и в	65	12
7	по отношению	1	11
8	в нашем	1	11
9	отношению к	1	11
10	и не	22	10
11	так как	6	9
12	прежде всего	11	8
13	сказать что	6	7
14	для нас	4	7
15	в ней	6	6
16	в том	16	6
17	только в	7	6
18	при этом	6	6
19	в нем	13	6
20	слова и	1	6
21	в процессе	2	6
22	то же	1	5
23	в виду	3	5
24	можно сказать	2	5
25	как в	5	5
26	но в	14	5
27	и др	24	5
28	в жизни	4	5
29	а не	1	5
30	как и	5	5
31	что мы	2	5
32	и следовательно	1	5
33	том что	6	5
34	никогда не	6	5
35	хотя бы	1	5
36	то что	3	5
37	на самом	6	4
38	литературы и	5	4
39	к нему	3	4
40	за пределы	8	4
41	в литературе	6	4
42	в этом	15	4
43	все же	6	4
44	в самом	4	4
45	уже не	3	4
46	не только	10	4
47	отношение к	4	4
48	от того	2	4
49	так и	10	4
50	с другой	3	4
51	что не	2	4
52	не в	4	4
53	его в	7	4
54	дело в	2	4
55	и к	4	4
56	жизни и	7	4
57	и на	11	4
58	здесь не	1	3
59	самом деле	3	3
60	формы и	7	3
61	в пределах	1	3
62	ведь и	1	3
63	еще не	6	3
64	мы не	1	3
65	и вообще	3	3
66	о том	2	3
67	но и	10	3
68	между тем	5	3
69	того что	2	3
70	и наконец	2	3
71	имеет в	1	3
72	и ее	1	3
73	все эти	10	3
74	только на	2	3
75	конечно не	1	3
76	в себе	3	3
77	да и	2	3
78	для него	5	3
79	не к	2	3
80	и по	2	3
81	и с	3	3
82	точек зрения	1	3
83	до сих	4	3
84	в некоторых	2	3
85	и пр	5	3
86	в них	5	3
87	и уже	1	3
88	в своей	5	3
89	как к	1	3
90	и более	1	3
91	по себе	1	3
92	сих пор	4	3
93	не менее	1	3
94	все это	9	3
95	но для	3	3
96	и для	2	3
97	это как	4	3
98	находит свое	1	3
99	так называемой	1	3
100	с ним	3	3
101	отношении к	1	3
102	от этой	1	2
103	значения и	1	2
104	как это	1	2
105	опираясь на	1	2
106	они ни	1	2
107	в себя	3	2
108	действия и	1	2
109	те же	1	2
110	и значение	1	2
111	на материале	1	2
112	мы имеем	1	2
113	мы в	1	2
114	нас и	1	2
115	совпадает с	1	2
116	и здесь	3	2
117	искусства и	6	2
118	не остается	1	2
119	и та	1	2
120	настоящее время	1	2
121	с его	5	2
122	в чем	2	2
123	но конечно	1	2
124	которые мы	1	2
125	в его	9	2
126	что и	1	2
127	подчеркнуть что	2	2
128	в форме	3	2
129	формой и	1	2
130	в своем	8	2
131	в формах	1	2
132	кроме того	2	2
133	как уже	1	2
134	его к	2	2
135	в какой	1	2
136	и потому	10	2
137	что слово	1	2
138	и так	2	2
139	лежит на	1	2
140	в настоящее	1	2
141	эти моменты	1	2
142	с одной	2	2
143	уже в	1	2
144	тому же	1	2
145	имеем в	1	2
146	эти и	1	2
147	жизнью и	1	2
148	он не	2	2
149	определяет и	1	2
150	перестает быть	3	2
151	к ним	1	2
152	из него	1	2
153	и оценки	4	2
154	но все	3	2
155	в особенности	2	2
156	конечно в	2	2
157	на все	2	2
158	на примере	1	2
159	влияние на	7	2
160	это не	3	2
161	может стать	1	2
162	до известной	1	2
163	и дает	1	2
164	оно не	1	2
165	делает его	1	2
166	себя и	1	2
167	литературы с	1	2
168	более того	2	2
169	форма обращения	1	2
170	одной стороны	2	2
171	до конца	2	2
172	другой стороны	1	2
173	его как	1	2
174	там где	1	2
175	имеет место	1	2
176	связь с	5	2
177	нет ничего	3	2
178	ни на	2	2
179	можно найти	1	2
180	в отношении	6	2
181	но не	2	2
182	и подобные	1	2
183	место в	1	2
184	точку зрения	1	2
185	быть только	2	2
186	вместе со	1	2
187	она не	1	2
188	еще раз	2	2
189	с точки	3	2
190	в условиях	13	2
191	такой же	1	2
192	в основном	2	2
193	в то	1	2
194	их близости	1	2
195	на него	2	2
196	известной степени	1	2
197	ничего не	3	2
198	этих двух	2	2
199	и все	5	2
200	но зато	1	2
201	подобные им	1	2
202	все они	1	2
203	в этих	2	2
204	но это	3	2
205	между ними	4	2
206	от всех	3	2
207	но этот	1	2
208	могут быть	2	2
209	выходят за	1	2
210	на это	1	2
211	что в	3	2
212	как на	1	2
213	и другие	8	2
214	к этому	1	2
215	а между	1	1
216	и это	2	1
217	произведения но	1	1
218	например в	2	1
219	как мы	6	1
220	и художественное	1	1
221	в обычной	5	1
222	момент в	1	1
223	мы здесь	2	1
224	есть форма	1	1
225	а из	1	1
226	миром и	1	1
227	некоторые стороны	1	1
228	нужно подчеркнуть	1	1
229	это и	1	1
230	характер и	1	1
231	в приведенном	1	1
232	нам кажется	2	1
233	в организации	1	1
234	определить как	1	1
235	в произведении	1	1
236	когда человек	1	1
237	по преимуществу	1	1
