N	2gram	Trubetskoy_1	SlovoVZh
1	делает его	1	2
2	к его	1	2
3	а не	1	2
4	только на	1	1
5	у нас	3	1
6	уже и	3	1
7	эта же	1	1
8	в процессе	2	1
9	в своей	1	1
10	может быть	16	1
11	отношению к	9	1
12	на самом	7	1
13	в том	30	1
14	в руках	1	1
15	и по	3	1
16	и его	1	1
17	не может	17	1
18	и того	3	1
19	образом мы	1	1
20	живет и	1	1
21	и более	2	1
22	себе как	1	1
23	как к	5	1
24	таким образом	31	1
25	или о	1	1
26	быть и	5	1
27	том же	4	1
28	все они	5	1
29	так и	10	1
30	и для	6	1
31	или не	1	1
32	по отношению	9	1
33	и к	5	1
34	от этой	1	1
35	и сейчас	4	1
36	как на	4	1
37	точки зрения	13	1
