N	3gram	Bakhtin_Pr_1	TeoriaLi
1	по отношению к	11	8
2	в отличие от	2	7
3	в том что	7	6
4	то же время	7	6
5	в то же	7	6
6	так и не	1	5
7	в данном случае	2	5
8	того или иного	1	5
9	с другой стороны	2	3
10	можно сказать что	2	3
11	в этом смысле	9	3
12	с точки зрения	15	2
13	отношению к герою	1	2
14	но он не	1	2
15	в противном случае	1	2
16	не только не	1	2
17	и в форме	1	2
18	тех или иных	1	2
19	не может быть	3	2
20	и в сущности	1	1
21	в е годы	1	1
22	этой точки зрения	1	1
23	дело в том	1	1
24	чего нет в	1	1
25	могут нести в	1	1
26	по ту сторону	1	1
27	подобно тому как	3	1
28	может быть назван	1	1
29	и в то	3	1
30	можно говорить о	1	1
31	не входит в	1	1
32	бы то ни	3	1
33	сказать что для	1	1
34	только то что	2	1
35	но во всех	1	1
36	с самим собою	1	1
37	перед нами не	1	1
38	точно так же	1	1
39	потому что из	1	1
40	во всей его	2	1
41	он ни был	1	1
42	по крайней мере	2	1
43	может быть и	1	1
44	до известной степени	1	1
45	в значительной степени	1	1
46	то что может	1	1
47	можно даже сказать	1	1
48	не совпадает с	1	1
49	в основе его	1	1
50	в первом случае	1	1
51	в художественном произведении	1	1
52	то ни было	2	1
53	как правило лишь	1	1
54	по себе еще	2	1
55	таким образом и	1	1
56	в отношении к	1	1
57	отношению к нему	1	1
58	видения мира и	1	1
59	в романе достоевского	6	1
60	в известном смысле	1	1
61	отношения к миру	1	1
62	и по отношению	1	1
63	отношению к автору	1	1
64	не могут быть	1	1
65	и как бы	1	1
66	при условии что	1	1
67	не только к	1	1
68	в первой главе	1	1
69	так же точно	1	1
70	как бы в	2	1
71	так же как	1	1
72	тем или иным	1	1
73	авторской позиции и	1	1
74	в первой и	1	1
75	в то время	2	1
76	а в том	1	1
77	внешних и внутренних	1	1
78	даже сказать что	1	1
79	и для автора	1	1
80	с этой точки	1	1
81	может быть это	1	1
82	это и есть	3	1
83	не во внешних	1	1
84	о том что	2	1
85	но в то	2	1
86	именно потому что	2	1
87	они ни были	1	1
88	в большинстве случаев	2	1
89	та или иная	1	1
90	в том и	1	1
91	а в то	2	1
92	для того чтобы	2	1
93	том что он	4	1
94	по себе а	1	1
95	в плоскости их	2	1
96	себе еще не	2	1
97	входит в его	1	1
