N	2gram	Bakhtin_sl_1	Problema
1	то есть	26	46
2	в его	13	43
3	и не	16	42
4	и в	41	38
5	эстетический объект	1	37
6	и проч	2	28
7	не может	14	27
8	может быть	14	26
9	как бы	12	22
10	и с	4	17
11	и его	14	16
12	в этом	12	15
13	в нем	30	15
14	и т	28	14
15	только в	6	13
16	т п	23	13
17	прежде всего	8	13
18	но не	2	12
19	за пределы	4	12
20	в эстетический	1	12
21	художественного произведения	1	11
22	во всех	17	11
23	ни в	1	11
24	и для	4	11
25	не входит	1	10
26	отношение к	7	10
27	таким образом	9	10
28	в их	4	10
29	к нему	5	10
30	не только	16	9
31	в поэзии	3	9
32	его в	3	9
33	имеет дело	2	9
34	но и	16	9
35	входит в	4	8
36	было бы	3	8
37	точки зрения	16	8
38	место в	1	8
39	произведения как	3	8
40	в том	3	8
41	и др	14	8
42	еще не	4	7
43	в самом	5	7
44	вообще не	3	7
45	в плане	6	7
46	как и	4	7
47	и становится	1	7
48	не в	7	7
49	как мы	8	7
50	с другой	5	7
51	между тем	2	7
52	слова в	8	7
53	с помощью	1	7
54	совершенно не	2	7
55	в своей	7	7
56	там где	4	6
57	и наконец	4	6
58	в пределах	14	6
59	не к	1	6
60	с точки	8	6
61	не есть	2	6
62	и этим	3	6
63	ничего не	4	6
64	дело с	1	6
65	произведение в	1	6
66	все же	7	6
67	а в	6	6
68	только как	1	6
69	себя как	1	5
70	отличие от	1	5
71	в своем	3	5
72	все эти	9	5
73	при этом	6	5
74	то же	14	5
75	это не	6	5
76	в них	6	5
77	рядом с	4	5
78	далеко не	5	5
79	в отличие	1	5
80	так и	11	5
81	произведения в	1	5
82	в основе	5	5
83	и о	2	5
84	никогда не	3	5
85	не нужно	1	5
86	с ним	7	5
87	может иметь	1	5
88	и прежде	1	5
89	конечно не	3	5
90	большинстве случаев	6	5
91	дело и	1	5
92	в большинстве	10	5
93	не на	5	5
94	а не	15	5
95	могут быть	19	5
96	быть только	2	5
97	должно быть	2	5
98	формы и	3	5
99	на границах	1	5
100	все они	7	5
101	на самом	2	4
102	конечно и	2	4
103	в виду	1	4
104	в ней	4	4
105	как вещь	2	4
106	как в	8	4
107	но в	8	4
108	в себе	3	4
109	перестает быть	2	4
110	произведение как	1	4
111	в данном	3	4
112	не менее	1	4
113	в то	14	4
114	известной степени	4	4
115	здесь не	2	4
116	в ее	2	4
117	данном случае	3	4
118	можно было	2	4
119	не с	2	4
120	о том	3	4
121	которых мы	1	4
122	своим предметом	1	4
123	от всех	1	4
124	с ними	3	4
125	композиционная форма	2	4
126	каждый момент	2	4
127	всех его	7	4
128	в предмете	8	4
129	в других	3	4
130	в форме	1	4
131	и только	1	4
132	что не	1	4
133	в романе	21	4
134	более того	3	4
135	только по	1	4
136	и потому	4	4
137	момент как	1	4
138	в более	1	4
139	лишь как	3	4
140	хотя бы	3	4
141	вне себя	3	4
142	между ними	2	4
143	сказать что	2	4
144	другой стороны	4	4
145	также и	3	3
146	например в	2	3
147	противном случае	1	3
148	действительности и	1	3
149	поэтического произведения	1	3
150	произведение и	1	3
151	бы то	1	3
152	точка зрения	8	3
153	менее всего	1	3
154	иногда и	1	3
155	произведение не	1	3
156	нет и	1	3
157	связи и	1	3
158	проч все	1	3
159	кроме того	4	3
160	и к	5	3
161	в целом	2	3
162	вследствие этого	1	3
163	к миру	1	3
164	он не	3	3
165	то ни	1	3
166	отношения автора	1	3
167	а как	2	3
168	с другими	5	3
169	может стать	1	3
170	и тем	2	3
171	в слове	7	3
172	несмотря на	1	3
173	том что	2	3
174	есть его	1	3
175	тем не	1	3
176	как его	5	3
177	в противном	1	3
178	же время	12	3
179	определенности и	1	3
180	языка в	16	3
181	все то	1	3
182	как только	3	3
183	слова но	1	3
184	и это	1	3
185	хотя и	2	3
186	и от	4	3
187	приводит к	1	3
188	дано в	1	3
189	совершенно невозможно	1	3
190	если бы	1	3
191	но здесь	3	3
192	к действительности	1	3
193	и содержание	1	3
194	творчества в	1	3
195	на почве	4	3
196	но с	1	3
197	одной из	3	3
198	с одной	4	3
199	со всеми	1	3
200	слова не	1	3
201	в известной	2	3
202	входят в	1	3
203	как такового	3	3
204	и даже	6	3
205	оно не	6	3
206	себя и	1	3
207	одной стороны	4	3
208	его как	2	3
209	на фоне	7	3
210	связь с	2	3
211	в иных	1	3
212	и иной	1	3
213	и на	14	3
214	да и	1	3
215	слова и	13	3
216	но это	1	3
217	все это	5	3
218	не является	2	3
219	за его	1	3
220	культуры и	1	3
221	и другими	1	3
222	от него	1	3
223	и все	4	3
224	ни было	2	3
225	не знает	1	3
226	в таком	1	3
227	все что	1	3
228	они не	1	3
229	смысле слова	2	2
230	лишь там	1	2
231	он может	2	2
232	и есть	1	2
233	в определенный	1	2
234	в котором	2	2
235	его не	1	2
236	есть не	1	2
237	со всех	1	2
238	мы имеем	1	2
239	ничего нет	1	2
240	единство и	3	2
241	но она	1	2
242	это отношение	2	2
243	и он	1	2
244	не остается	1	2
245	всех сторон	1	2
246	оно может	2	2
247	оценок и	4	2
248	столь же	2	2
249	оглядки на	1	2
250	с его	4	2
251	и социальное	2	2
252	но как	1	2
253	а только	1	2
254	не все	1	2
255	в едином	1	2
256	или иное	1	2
257	в истории	3	2
258	как к	2	2
259	отнесены к	1	2
260	и у	2	2
261	момент его	3	2
262	бы не	1	2
263	иным путем	1	2
264	нами в	2	2
265	и те	2	2
266	лица и	1	2
267	на то	1	2
268	не имеют	1	2
269	в лирике	1	2
270	оно было	2	2
271	и частично	1	2
272	он должен	1	2
273	на этом	2	2
274	всех своих	2	2
275	человека в	1	2
276	в каждом	4	2
277	входя в	4	2
278	лишь в	4	2
279	и других	3	2
280	действительности в	1	2
281	форму и	1	2
282	о которых	1	2
283	что совершенно	1	2
284	как таковой	1	2
285	и художественно	1	2
286	своих моментах	1	2
287	не его	2	2
288	и более	1	2
289	войти в	2	2
290	том же	4	2
291	и вообще	2	2
292	и вся	1	2
293	от чисто	2	2
294	а иногда	3	2
295	она не	3	2
296	произведения это	1	2
297	вне ее	1	2
298	дело в	1	2
299	одна из	2	2
300	в единство	2	2
301	того чтобы	1	2
302	словом но	1	2
303	в самой	1	2
304	во всем	1	2
305	а лишь	1	2
306	связи с	2	2
307	так называемый	1	2
308	этом отношении	1	2
309	у нас	2	2
310	не могут	3	2
311	есть только	1	2
312	отличается от	1	2
313	для того	2	2
314	должен быть	1	2
315	и художественное	1	2
316	что все	2	2
317	композиционные формы	1	2
318	в себя	1	2
319	степени и	1	2
320	момент слова	1	2
321	особенно в	1	2
322	и которые	1	2
323	его разновидностях	1	2
324	является конечно	1	2
325	движения и	1	2
326	и здесь	3	2
327	в другом	2	2
328	и что	1	2
329	как чисто	1	2
330	в значительной	1	2
331	и чистой	1	2
332	от них	1	2
333	и во	3	2
334	язык в	4	2
335	суть чисто	1	2
336	как композиционная	1	2
337	нем и	3	2
338	в лучшем	2	2
339	в него	3	2
340	и мир	5	2
341	например при	1	2
342	того что	3	2
343	довлеет себе	1	2
