N	2gram	Vinokur_Vv_1	VerxiiNi
1	и в	27	26
2	таким образом	19	22
3	с тем	6	18
4	в этом	34	15
5	русской культуры	1	15
6	вместе с	6	15
7	точки зрения	7	13
8	как бы	5	12
9	в том	31	11
10	из этих	5	10
11	не только	21	10
12	и с	2	10
13	может быть	24	10
14	после смерти	1	10
15	связи с	3	9
16	в области	4	9
17	так как	13	9
18	но и	5	9
19	что в	11	9
20	но не	7	8
21	в общем	12	8
22	главным образом	1	8
23	и у	1	8
24	с другой	8	8
25	и не	13	8
26	как на	11	8
27	но в	10	7
28	но все	3	7
29	из них	3	7
30	том что	26	7
31	потому что	14	7
32	в эпоху	1	7
33	к нему	2	7
34	с одной	4	7
35	то что	17	7
36	одной стороны	4	7
37	того же	3	6
38	представление о	1	6
39	все же	8	6
40	все эти	3	6
41	в себе	4	6
42	всяком случае	3	6
43	с точки	2	6
44	в отношении	2	6
45	к тому	4	6
46	так и	1	6
47	и т.д	4	6
48	о том	15	6
49	в конце	3	6
50	что и	3	6
51	несмотря на	2	6
52	все это	6	6
53	мы должны	1	6
54	во всяком	3	6
55	отношение к	3	5
56	сих пор	5	5
57	и к	1	5
58	тому же	1	5
59	в силу	3	5
60	лишь в	1	5
61	по крайней	4	5
62	не имеет	4	5
63	того чтобы	21	5
64	никогда не	3	5
65	для того	21	5
66	образом в	1	5
67	в его	10	5
68	крайней мере	4	5
69	до сих	5	5
70	а не	3	5
71	и для	4	5
72	так же	3	5
73	одной из	3	5
74	в котором	4	4
75	то же	8	4
76	при жизни	2	4
77	в течение	5	4
78	в самом	12	4
79	учение о	2	4
80	в этой	3	4
81	что все	1	4
82	с другими	1	4
83	должен был	4	4
84	и тогда	3	4
85	в которых	6	4
86	в то	5	4
87	в нем	13	4
88	а в	5	4
89	что оно	2	4
90	и что	4	4
91	только в	13	4
92	на этот	4	4
93	не может	13	4
94	из которых	2	4
95	в так	1	4
96	и от	1	4
97	в этих	3	4
98	во время	1	4
99	что он	4	4
100	в виде	4	4
101	же как	3	3
102	не вполне	4	3
103	так называемые	1	3
104	большей частью	1	3
105	в своем	3	3
106	и как	9	3
