N	3gram	Berdyaev_O_1	Komedia
1	в том что	1	9
2	в этом отношении	1	3
3	после того как	1	3
4	о том что	1	3
5	но и в	2	2
6	как и в	1	2
7	во всяком случае	1	2
8	до самого конца	2	2
9	на то что	1	2
10	том что в	1	1
11	хотя и не	1	1
12	для своих целей	1	1
13	как будто бы	1	1
14	у него не	2	1
15	сам по себе	1	1
16	в этот период	1	1
17	в самом начале	1	1
18	смысле этого слова	1	1
19	так и против	1	1
20	дело доходит до	1	1
21	и в том	1	1
22	бросается в глаза	1	1
23	что у него	2	1
24	и прежде всего	1	1
25	для того чтобы	3	1
26	и все это	1	1
