N	4gram	Medvedev_F_3	Problema
1	на самом же деле	2	4
2	и тем не менее	1	3
3	бы то ни было	4	3
4	дело в том что	1	2
5	чего бы то ни	1	2
6	в том или ином	1	2
7	дело здесь не в	1	2
8	он перестал бы быть	1	1
9	вовсе не являются только	1	1
10	одного и того же	1	1
11	каких бы то ни	1	1
12	только в связи с	1	1
13	в собственном смысле слова	1	1
14	с этой точки зрения	1	1
15	сами по себе в	1	1
16	именно потому что он	1	1
17	с той или иной	1	1
18	но в этих случаях	1	1
19	не может быть никакого	1	1
20	одним и тем же	2	1
