N	3gram	Tiupa_Teor_1	Istorich
1	с другой стороны	5	8
2	с одной стороны	2	7
3	в этих случаях	1	6
4	о том что	1	4
5	в связи с	1	4
6	тем не менее	3	4
7	так же как	1	3
8	здесь мы имеем	1	3
9	не может быть	4	3
10	для того чтобы	1	3
11	это уже не	1	2
12	по отношению к	4	2
13	в таких случаях	1	2
14	в особенности в	1	2
15	в данном случае	5	2
16	в том что	8	2
17	как и в	2	2
18	я думаю что	1	1
19	героя о чем	1	1
20	мы видим в	1	1
21	есть как бы	1	1
22	типа так в	1	1
23	иметь в виду	1	1
24	в виду что	1	1
25	это было бы	1	1
26	из того что	1	1
27	в том числе	2	1
28	никак не может	1	1
29	в соответствии с	2	1
30	уже говорилось выше	1	1
31	с точки зрения	3	1
32	в отличие от	6	1
33	ведь это не	1	1
34	состоит не в	1	1
35	том числе и	1	1
36	то же время	5	1
37	точно так же	1	1
38	и здесь мы	1	1
39	дело не в	1	1
40	обращает на себя	1	1
41	состоит в том	5	1
42	и потому что	1	1
43	в одном случае	1	1
44	еще и потому	1	1
45	в то время	1	1
46	может быть это	1	1
47	на две части	1	1
48	а тот кто	1	1
49	в свою очередь	2	1
50	и тем самым	2	1
51	и не могло	2	1
52	подобно тому как	1	1
53	можно сказать что	2	1
54	что все люди	1	1
55	в частности с	1	1
56	в то же	5	1
57	не тот кто	1	1
