N	2gram	Savitsky_P_1	DiskursI
1	в себе	3	19
2	в этом	10	16
3	как и	1	16
4	и в	14	16
5	в качестве	9	16
6	может быть	5	16
7	и не	12	15
8	а не	2	14
9	отличие от	1	12
10	в отличие	1	12
11	в частности	2	12
12	но в	9	11
13	представляет собой	1	11
14	в мире	2	11
15	но и	6	11
16	со стороны	2	10
17	не только	17	10
18	том что	4	10
19	не может	4	9
20	в том	9	8
21	а также	4	8
22	но не	3	7
23	в данном	1	7
24	в рамках	1	7
25	в нем	3	7
26	не менее	2	7
27	прежде всего	3	7
28	то же	9	6
29	еще не	1	6
30	с его	1	6
31	себя в	1	6
32	отнюдь не	2	6
33	все же	1	6
34	тем самым	3	6
35	и на	1	5
36	в своем	4	5
37	в то	7	5
38	с другой	5	5
39	же время	7	5
40	что в	4	5
41	то что	4	5
42	а с	1	5
43	ни к	1	5
44	я и	3	4
45	и то	1	4
46	в этой	1	4
47	потому что	3	4
48	в пределах	8	4
49	с одной	3	4
50	одно из	1	4
51	одной стороны	3	4
52	как бы	4	4
53	точки зрения	3	4
54	также и	1	3
55	например в	2	3
56	и ее	1	3
57	столь же	3	3
58	к жизни	1	3
59	и как	3	3
60	из этих	1	3
61	его в	1	3
62	это не	3	3
63	ведет к	1	3
64	в этих	1	3
65	в котором	4	3
66	не столько	2	3
67	не в	5	3
68	исторического бытия	1	3
69	в русской	4	3
70	могут быть	3	3
71	мысль о	2	3
72	еще в	1	3
73	мире в	1	3
74	в его	2	3
75	восходит к	1	3
76	только в	7	3
77	из них	2	3
78	в них	2	3
79	из двух	1	3
80	в исторической	1	3
81	или иной	1	3
82	не было	2	3
83	было в	2	3
84	в творчестве	1	3
85	как на	2	3
86	которых не	1	2
87	же как	1	2
88	и это	2	2
89	по преимуществу	1	2
90	место в	1	2
91	говорить о	2	2
92	в ней	6	2
93	в сочетании	2	2
94	не нужно	2	2
95	время в	2	2
96	из важнейших	2	2
97	более чем	2	2
98	стороны и	2	2
99	не более	1	2
100	должна быть	1	2
101	не к	2	2
102	этом мире	1	2
103	заключает в	2	2
104	одно и	1	2
105	и с	2	2
106	должно быть	2	2
107	все это	2	2
108	в ходе	1	2
109	с точки	3	2
110	никогда не	1	2
111	сводится к	3	2
112	в области	11	2
113	с ее	1	2
114	в себя	1	2
115	не с	1	2
116	живет в	1	2
117	в результате	1	2
118	между тем	3	2
119	что и	1	2
120	который не	1	2
121	есть в	2	2
122	в большинстве	1	2
123	не о	2	2
124	именно в	2	2
125	далеко не	1	2
126	вместе с	1	2
127	в ряду	2	2
128	мира с	2	2
129	в формах	1	2
130	по природе	1	2
131	а в	4	2
132	может и	2	2
133	другой стороны	1	2
134	это в	1	2
135	и героическую	1	1
136	переход от	2	1
137	и леса	1	1
138	и есть	2	1
139	можно говорить	1	1
140	на две	1	1
141	к чему	2	1
142	есть не	2	1
143	и само	1	1
144	мы не	3	1
145	вопрос о	1	1
146	этом не	1	1
147	в некотором	1	1
148	при сохранении	1	1
149	начала в	1	1
150	он был	1	1
151	в а	2	1
152	во всех	2	1
153	в ее	2	1
154	если в	2	1
155	не просто	1	1
156	человека с	1	1
157	в е	2	1
158	в истории	1	1
159	вот как	1	1
160	такова же	1	1
161	хотя и	3	1
162	это область	1	1
163	в самом	1	1
164	только то	1	1
165	в которой	1	1
166	и недостаточно	1	1
167	св георгия	1	1
168	себе те	1	1
169	но на	1	1
170	теми же	1	1
171	к миру	1	1
172	и только	1	1
173	и именно	1	1
174	и еще	1	1
175	себе личности	1	1
176	не как	1	1
177	в силу	2	1
178	она оказывается	1	1
179	о русском	1	1
180	полной мере	2	1
181	и иных	1	1
182	в жизни	2	1
183	человеческого счастья	2	1
184	преимущественно к	1	1
185	на каждом	1	1
186	в которых	5	1
187	бы мы	1	1
188	и более	1	1
189	и наоборот	1	1
190	она не	1	1
191	первоначально и	1	1
192	одна из	2	1
193	xix века	6	1
194	мы все	1	1
195	та или	1	1
196	и всегда	1	1
197	недостаточно для	1	1
198	не вполне	1	1
199	также отчасти	1	1
200	или иная	1	1
201	иными словами	1	1
202	имеет два	1	1
203	в смене	1	1
204	числе и	1	1
205	но также	4	1
206	не есть	1	1
207	к истокам	1	1
208	в полной	2	1
209	в применении	1	1
210	должен быть	1	1
211	представляют собой	1	1
212	открытым для	1	1
213	вечности и	1	1
214	друга на	1	1
215	в собственном	1	1
216	своем значении	2	1
217	к смерти	1	1
218	в условиях	1	1
219	бытия как	1	1
220	это ощущение	1	1
221	в глубинах	2	1
222	ней и	1	1
223	в эпоху	1	1
224	для этого	1	1
225	каждый из	1	1
226	и здесь	1	1
227	никак не	2	1
228	и что	1	1
229	к небу	1	1
230	может не	1	1
231	в значительной	2	1
232	грань между	1	1
233	которая и	1	1
234	как она	1	1
235	и мир	1	1
236	в современной	1	1
237	именно о	1	1
238	традиции в	1	1
239	и быть	1	1
240	и весьма	2	1
241	может оказаться	1	1
242	одних и	2	1
243	в окружающем	1	1
244	оказывается в	1	1
245	только на	1	1
246	большинстве случаев	1	1
247	связывается с	1	1
248	мир в	1	1
249	даже знаком	1	1
250	только это	2	1
251	всяком случае	1	1
252	и творческих	1	1
253	друг друга	1	1
254	при отсутствии	1	1
255	в случаях	1	1
256	в других	1	1
257	были бы	1	1
258	того что	2	1
259	не были	1	1
260	точек зрения	2	1
261	и тех	1	1
262	но есть	1	1
263	поэзии и	1	1
264	и преимущественно	1	1
265	там где	1	1
266	что из	2	1
267	в одно	1	1
268	должна была	1	1
269	на фоне	1	1
270	русской литературы	1	1
271	в иных	1	1
272	и заблуждения	1	1
273	надлежит не	1	1
274	применении к	1	1
275	в мир	1	1
276	да и	2	1
277	судьбы но	1	1
278	в это	1	1
279	на пути	4	1
280	в напряжении	1	1
281	но для	1	1
282	рассматривать как	1	1
283	действительный и	1	1
284	слова но	2	1
285	его нет	1	1
286	еще более	2	1
287	к историческому	1	1
288	же в	4	1
289	одновременно и	1	1
290	имеет не	2	1
291	в какой	1	1
292	к другим	1	1
293	во всяком	1	1
294	том числе	2	1
295	в истоках	1	1
