N	3gram	Tiupa_Lite_2	Analitik
1	в сочетании с	1	7
2	о том что	2	6
3	в том что	5	6
4	в данном случае	3	5
5	состоит в том	4	4
6	по отношению к	3	4
7	с одной стороны	6	4
8	в этом случае	2	4
9	мы имеем дело	1	3
10	подобно тому как	2	3
11	в этом отношении	3	3
12	по крайней мере	2	3
13	в самом начале	1	3
14	той или иной	1	3
15	тем не менее	2	3
16	присутствия в мире	2	2
17	в нашем понимании	1	2
18	в соответствии с	1	2
19	с точки зрения	3	2
20	в то же	9	2
21	можно было бы	1	2
22	все той же	1	2
23	и то что	1	2
24	то есть в	1	2
25	едва ли не	4	2
26	в отличие от	1	2
27	с другой стороны	4	2
28	в частности в	1	2
29	между эстетическим субъектом	1	2
30	то же время	9	2
31	в конечном счете	5	2
32	не только не	1	2
33	в этой системе	1	2
34	тех или иных	1	2
35	и эстетическим адресатом	1	2
36	особое место в	1	1
37	на первом слоге	1	1
38	не столько о	1	1
39	не знает категории	1	1
40	приводит к тому	1	1
41	в данный момент	1	1
42	оставляющий места для	1	1
43	и рецептивного сознаний	1	1
44	а не с	1	1
45	не оставляющий места	1	1
46	как раз не	1	1
47	и в пределах	1	1
48	креативного и рецептивного	1	1
49	из того же	1	1
50	эстетическим субъектом и	1	1
51	во всех этих	1	1
52	на себе и	1	1
53	всем без исключения	1	1
54	и даже в	1	1
55	о себе не	1	1
56	с этой точки	1	1
57	в равной мере	1	1
58	но и его	1	1
59	отношения между я	1	1
60	и представляет собой	1	1
61	ударение на первом	1	1
62	и то же	2	1
63	характерно в этом	1	1
64	имеем дело с	1	1
65	в нашем случае	1	1
66	субъектом и эстетическим	1	1
67	нам представляется что	1	1
68	ни к какой	1	1
69	в свою очередь	1	1
70	одно и то	2	1
71	прежде всего в	1	1
72	в целом ряде	1	1
73	вполне закономерно что	1	1
74	в свое время	2	1
75	этой точки зрения	1	1
76	а в том	1	1
77	только то что	1	1
78	я в мире	1	1
79	все того же	1	1
80	не может быть	7	1
81	между я и	3	1
82	неслиянных и нераздельных	1	1
83	сказать и о	1	1
84	в своего рода	1	1
85	которое говоря словами	1	1
86	речь идет о	3	1
87	единого для всех	1	1
88	своих и чужих	1	1
89	но и не	1	1
90	именно в нем	1	1
91	иной парадигмы художественности	1	1
92	к тому что	1	1
93	в себе не	1	1
94	на своих и	1	1
95	то же самое	1	1
96	на наш взгляд	3	1
97	в результате такой	1	1
