N	3gram	Nazirov_Tv_1	formyVre
1	и т п	2	11
2	в связи с	1	7
3	не только в	2	5
4	в том же	1	4
5	то же время	12	4
6	в то же	13	4
7	имеем в виду	1	3
8	и в то	2	3
9	к вопросу о	1	3
10	мы уже говорили	1	3
11	в том что	6	3
12	и т д	1	3
13	равно как и	1	2
14	протяжении всего романа	1	2
15	то же самое	1	2
16	пространства и времени	1	2
17	разрезе одного момента	1	2
18	до сих пор	1	2
19	сами по себе	1	2
20	друг на друга	1	2
21	и та же	2	2
22	одна и та	1	2
23	у него есть	1	2
24	на протяжении всего	2	2
25	это значит что	1	2
26	мы имеем в	1	2
27	в разрезе одного	1	2
28	особое место в	1	1
29	и того же	1	1
30	и выйти на	1	1
31	не может не	1	1
32	то есть не	2	1
33	и наконец в	1	1
34	уже говорили что	1	1
35	на самом деле	2	1
36	говорили о том	1	1
37	контакта с ним	1	1
38	с установкой на	1	1
39	в конце концов	1	1
40	что он не	1	1
41	в отличие от	1	1
42	и среди них	1	1
43	то что в	1	1
44	же самое время	1	1
45	это вовсе не	1	1
46	о жизни и	1	1
47	вместе с тем	1	1
48	важную роль в	1	1
49	в вечности все	1	1
50	как и в	1	1
51	в данном случае	2	1
52	таким образом и	1	1
53	с одной стороны	1	1
54	с большой силой	3	1
55	на первый взгляд	1	1
56	но при этом	1	1
57	вплоть до его	1	1
58	это имеет место	1	1
59	и в их	1	1
60	в действительной жизни	1	1
61	персидские письма монтескье	1	1
62	это не значит	1	1
63	все более и	1	1
64	объясняется тем что	1	1
65	с другой стороны	1	1
66	но в то	4	1
67	настоящим и прошлым	1	1
68	у него и	1	1
69	бы он ни	1	1
70	и как бы	1	1
71	не был бы	1	1
72	в естественном состоянии	1	1
73	в свою очередь	1	1
74	о том что	5	1
75	с самого начала	3	1
76	более и более	1	1
77	можно сказать что	2	1
78	одного и того	1	1
79	очень важную роль	1	1
80	а вместе с	1	1
81	в основе этой	1	1
82	если же в	1	1
83	это как бы	3	1
84	к тому что	1	1
85	темы и мотивы	1	1
86	в пространстве а	2	1
87	человека и его	2	1
