N	3gram	Tiupa_Disk_1	VrazhdaK
1	то же время	4	4
2	в то же	3	4
3	в связи с	1	3
4	с точки зрения	1	2
5	не может быть	3	2
6	в том что	13	2
7	в е годы	2	1
8	далеко не все	1	1
9	в котором он	1	1
10	уже в конце	1	1
11	же время и	1	1
12	в этом смысле	1	1
13	х годов в	1	1
14	в соответствии с	2	1
15	рассказ о том	1	1
16	до сих пор	1	1
17	и не может	1	1
18	при этом он	1	1
19	в этом отношении	1	1
20	начале х годов	1	1
21	по крайней мере	2	1
22	и в то	1	1
23	одно и то	1	1
24	о том как	1	1
25	едва ли не	2	1
26	тем что он	1	1
27	и то же	1	1
28	но при этом	3	1
29	в известном смысле	1	1
30	а с другой	3	1
31	каждый из них	1	1
32	что к этому	1	1
33	нельзя не учитывать	1	1
34	во всяком случае	1	1
35	с другой стороны	3	1
36	тем не менее	1	1
37	заключается в том	1	1
38	в свою очередь	3	1
39	это и есть	1	1
40	о том что	5	1
41	на то что	1	1
42	в начале х	2	1
43	то что они	1	1
44	речь идет о	1	1
