N	3gram	Berdyaev_V_1	FransuaR
1	после того как	1	4
2	в конце концов	1	4
3	за то что	3	3
4	это одна из	1	3
5	так и в	1	3
6	в том что	2	3
7	как и в	1	2
8	и есть то	1	2
9	в этом мире	1	1
10	но в нем	1	1
11	его к жизни	1	1
12	есть прежде всего	1	1
13	конечно ни в	1	1
14	но и в	2	1
15	но от этого	1	1
16	это не было	1	1
17	и в этом	1	1
18	и во всяком	1	1
19	он говорит что	1	1
20	в этих словах	1	1
21	в словах его	1	1
22	что я не	1	1
23	и все это	1	1
24	в одном образе	1	1
25	не в силах	2	1
26	в них и	1	1
27	мы видим что	1	1
28	на том свете	1	1
29	свою роль в	1	1
