N	2gram	Propp_Isto_2	Sotsiolo
1	все это	3	7
2	в том	6	5
3	в этом	11	5
4	и только	2	3
5	для нас	4	3
6	не только	18	3
7	и в	15	3
8	не в	7	3
9	в его	6	3
10	как только	1	2
11	но и	14	2
12	было бы	5	2
13	к которому	5	2
14	только в	6	2
15	дело не	4	2
16	далеко не	1	2
17	нужно было	1	2
18	в результате	1	2
19	том что	7	2
20	в частности	1	2
21	как будто	3	2
22	то что	12	2
23	главным образом	2	2
24	и что	6	2
25	еще не	9	2
26	таким образом	7	2
27	это и	1	2
28	отношению к	3	2
29	что в	12	2
30	может быть	17	2
31	как бы	6	2
32	по отношению	3	2
33	по существу	2	2
34	то же	10	2
35	друг от	1	1
36	в свои	1	1
37	право на	3	1
38	быть не	1	1
39	по себе	1	1
40	даже в	1	1
41	в этой	4	1
42	отнюдь не	1	1
43	стоит только	1	1
44	с другой	2	1
45	ни одно	1	1
46	его в	10	1
47	дает нам	2	1
48	только для	1	1
49	в открытое	1	1
50	с ним	1	1
51	это не	2	1
52	именно в	2	1
53	все же	9	1
54	один из	8	1
55	и есть	5	1
56	перед нами	2	1
57	в то	1	1
58	кто не	1	1
59	и наконец	5	1
60	а с	2	1
61	том как	1	1
62	тем что	4	1
63	в наше	1	1
64	вопросом о	1	1
65	и как	1	1
66	в процессе	1	1
67	что эти	4	1
68	на ней	1	1
69	что он	24	1
70	тогда и	2	1
71	прежде всего	5	1
72	бы он	1	1
73	как живой	3	1
74	в них	1	1
75	так и	5	1
76	не было	2	1
77	одной стороны	3	1
78	и не	11	1
79	полагает что	1	1
80	говорит за	1	1
81	никогда не	15	1
82	зависит от	2	1
83	их друг	1	1
84	мы не	3	1
85	это как	1	1
86	ничего не	7	1
87	как то	1	1
88	мы еще	1	1
89	и о	1	1
90	связь между	1	1
91	все эти	4	1
92	далеко еще	1	1
93	именно на	1	1
94	как и	2	1
95	может она	1	1
96	этом не	1	1
97	мы должны	4	1
98	остается в	1	1
99	в таких	2	1
100	в сущности	2	1
101	но она	1	1
102	образом в	1	1
103	в связи	5	1
104	и его	3	1
105	в этих	11	1
106	автор не	1	1
107	связи с	8	1
108	от друга	1	1
109	хотя бы	2	1
110	в целом	1	1
111	для наших	2	1
112	не может	5	1
113	в своей	1	1
114	а в	12	1
115	него и	1	1
116	что она	5	1
117	о том	3	1
118	его утверждение	1	1
119	и потому	1	1
120	в него	2	1
121	в котором	5	1
122	происходит не	1	1
123	из тех	1	1
124	время в	1	1
125	собой не	1	1
126	где же	2	1
127	и понимает	1	1
128	когда мы	2	1
129	в силу	2	1
130	он говорит	1	1
131	в область	4	1
132	должно было	3	1
133	что это	6	1
134	у которых	1	1
135	вовсе не	1	1
136	с одной	4	1
137	но не	2	1
138	у него	4	1
139	а тем	1	1
140	но как	1	1
141	и по	2	1
142	и им	1	1
143	что на	1	1
144	это происходит	1	1
145	ремесла но	1	1
146	и более	2	1
147	они не	4	1
148	это значит	1	1
