N	4gram	Trubetskoy_1	StatiiOP
1	дело в том что	1	4
2	в то же время	2	4
3	в том числе и	1	2
4	но с другой стороны	1	2
5	заключается в том что	2	2
6	в этой области не	1	1
7	уже о том что	1	1
8	указание на то что	1	1
9	только в том случае	1	1
10	в то время как	1	1
11	и в голову не	1	1
12	именно в том что	1	1
13	а на самом деле	1	1
14	одно из двух или	1	1
15	не может не быть	1	1
16	в том что он	1	1
17	не потому чтобы я	1	1
18	не трудно видеть что	1	1
19	до сих пор не	2	1
20	и в том и	1	1
21	только с точки зрения	1	1
22	мысль о том что	1	1
23	в целом ряде случаев	1	1
24	также и то что	1	1
25	в том и другом	1	1
26	не говоря уже о	1	1
27	встать на точку зрения	1	1
28	тем более что он	1	1
