N	2gram	Berdyaev_N_1	Komedia
1	и в	16	22
2	том что	2	12
3	но и	3	11
4	в том	8	11
5	не только	5	10
6	в то	2	10
7	из них	1	10
8	как и	7	9
9	может быть	7	9
10	о том	4	8
11	и его	1	8
12	и не	11	8
13	в этой	1	7
14	не в	6	6
15	ни в	6	6
16	в конце	1	6
17	что он	1	6
18	такого рода	2	6
19	к тому	3	6
20	а в	2	6
21	в которой	1	6
22	что в	9	6
23	в истории	3	5
24	как в	3	5
25	то время	1	5
26	войны и	2	5
27	во время	1	5
28	потому что	4	5
29	так и	2	5
30	еще в	1	5
31	и даже	2	5
32	уже в	1	5
33	в его	1	5
34	прежде всего	4	5
35	с другой	3	5
36	нового времени	12	5
37	все это	5	5
38	другой стороны	2	5
39	время как	2	4
40	но в	2	4
41	в нем	5	4
42	на протяжении	2	4
43	в котором	1	4
44	так как	1	4
45	а также	1	4
46	тем что	1	4
47	и особенно	1	4
48	новое время	4	3
49	же как	2	3
50	перед лицом	1	3
51	мы не	2	3
52	и на	2	3
53	в чем	1	3
54	с одной	2	3
55	в этом	7	3
56	хотя и	2	3
57	он не	8	3
58	и еще	1	3
59	и с	2	3
60	в них	4	3
61	место в	2	3
62	вопрос о	3	3
63	не менее	4	3
64	демократии в	1	3
65	у нас	1	3
66	могут быть	2	3
67	в образе	1	3
68	только в	1	3
69	и у	1	3
70	у него	2	3
71	в свои	2	3
72	к которому	1	3
73	в гг	1	3
74	все более	1	3
75	так же	2	3
76	как это	2	3
77	по своему	4	3
78	одной стороны	2	3
79	не удалось	1	3
80	в более	1	3
81	и все	4	3
82	того же	1	2
83	из всех	1	2
84	в сущности	1	2
85	на себя	1	2
86	это время	1	2
87	совсем не	12	2
88	отличие от	1	2
89	за пределы	3	2
90	наряду с	3	2
91	в самом	1	2
92	в известном	1	2
93	в себе	2	2
94	не к	2	2
95	в силу	1	2
96	было бы	1	2
97	в новое	3	2
98	для них	1	2
99	была уже	1	2
100	такой же	2	2
101	всяком случае	1	2
102	но он	1	2
103	одна из	2	2
104	к ней	1	2
105	по своей	1	2
106	как будто	2	2
107	в области	1	2
108	ли это	2	2
109	одному из	1	2
110	для себя	1	2
111	с ее	5	2
112	на нем	1	2
113	времени и	2	2
114	до начала	1	2
115	для этого	2	2
116	и во	1	2
117	и мир	1	2
118	еще не	3	2
119	время когда	1	2
120	который в	2	2
121	в эти	1	2
122	для всех	1	2
123	демократии и	1	2
124	вернуться к	2	2
125	и из	1	2
126	до сих	1	2
127	в период	1	2
128	одну из	1	2
129	не может	16	2
130	вместе с	2	2
131	но не	2	2
132	в состоянии	1	2
133	и формы	2	2
134	к нему	1	2
135	сих пор	1	2
136	но это	6	2
137	а к	1	2
138	будто бы	1	2
139	то что	4	2
140	в свою	1	2
141	во всяком	1	2
142	все что	1	2
143	которых не	2	1
144	зависимость от	1	1
145	в этот	1	1
146	или к	1	1
147	в нашу	2	1
148	высшей степени	6	1
149	в зависимости	1	1
150	мы уже	1	1
151	со всех	4	1
152	духовной и	1	1
153	то это	1	1
154	зависимости от	1	1
155	в мире	3	1
156	в судьбах	2	1
157	всех сторон	4	1
158	в ней	5	1
159	думаю что	1	1
160	быть в	2	1
161	во всех	3	1
162	он может	1	1
163	из сторон	1	1
164	общественной жизни	6	1
