N	2gram	Propp_Isto_6	VeschiIm
1	не есть	2	49
2	т е	22	42
3	не может	6	33
4	не только	10	31
5	может быть	11	29
6	и не	10	28
7	и в	26	26
8	то что	6	24
9	и есть	1	23
10	это значит	1	22
11	значит что	2	22
12	и т	10	21
13	т д	8	20
14	а не	2	20
15	не просто	1	18
16	есть только	1	17
17	что я	1	16
18	только в	5	14
19	что она	3	14
20	и что	5	13
21	того что	2	13
22	все же	8	12
23	и ее	3	12
24	что это	2	12
25	но и	9	12
26	есть не	1	12
27	сказать что	3	12
28	и то	3	12
29	было бы	2	12
30	таким образом	12	11
31	что же	2	11
32	не значит	1	10
33	и больше	2	10
34	потому что	13	10
35	то же	5	10
36	уже не	7	10
37	в ней	5	10
38	что мы	2	10
39	как бы	4	10
40	и с	6	9
41	прежде всего	4	9
42	еще и	1	9
43	есть явление	1	9
44	в том	12	9
45	что не	2	9
46	в себе	3	8
47	на то	2	8
48	иное как	1	8
49	что иное	2	8
50	с ее	1	8
51	ничего не	2	8
52	не что	1	8
53	и это	8	8
54	но это	4	8
55	со своим	1	7
56	не будет	5	7
57	в этом	12	7
58	ли это	1	7
59	его в	5	7
60	в свете	1	7
61	и пр	1	7
62	в то	5	7
63	также и	1	7
64	есть и	4	7
65	если оно	1	7
66	что оно	4	7
67	так как	18	7
68	е в	2	7
69	том что	10	7
70	когда мы	2	6
71	одно и	1	6
72	то не	1	6
73	жизни и	2	6
74	точки зрения	1	6
75	что они	2	6
76	отличается от	2	6
77	это есть	1	6
78	с ним	8	6
79	быть только	2	6
80	так что	3	6
81	и только	3	6
82	что в	12	6
83	для него	1	6
84	но если	1	6
85	есть ли	1	6
86	относится к	2	6
87	ясно что	1	6
88	со стороны	3	6
89	оно есть	1	6
90	она не	3	6
91	но что	1	6
92	ее не	3	6
93	но в	7	6
94	если мы	1	6
95	можно было	2	6
96	и как	2	6
97	а если	1	6
98	еще не	9	5
99	должны быть	2	5
100	другими словами	3	5
101	а есть	1	5
102	того же	2	5
103	для этого	1	5
104	общение с	1	5
105	и для	1	5
106	должна быть	3	5
107	не менее	1	5
108	не в	3	5
109	с тем	4	5
110	а в	3	5
111	но не	2	5
112	в ее	1	5
113	с этой	2	5
114	это не	4	5
115	есть просто	1	5
116	у нас	5	5
117	из себя	1	5
118	тем не	1	5
119	она имеет	2	5
120	если бы	3	5
121	одна из	2	5
122	вообще не	3	5
123	и до	2	5
124	в свою	1	5
125	тем что	5	4
126	в отдельности	1	4
127	о том	7	4
128	как и	5	4
129	даже не	1	4
130	независимо от	3	4
131	мы не	6	4
132	то и	2	4
133	во всех	1	4
134	только то	2	4
135	то или	2	4
136	же не	2	4
137	оно не	1	4
138	между ними	1	4
139	есть ее	1	4
140	но тогда	1	4
141	и даже	1	4
142	что есть	1	4
143	в своем	2	4
144	от ее	1	4
145	с этим	2	4
146	и о	1	4
147	можно ли	1	4
148	как только	3	4
149	то это	5	4
150	явление и	1	4
151	от того	3	4
152	не существует	1	4
153	что и	4	4
154	однако не	1	4
155	когда я	1	4
156	быть и	1	4
157	с другой	10	4
158	должен быть	1	4
159	сам себя	1	4
160	этот вопрос	1	4
161	и более	1	4
162	себя это	2	4
163	в данном	3	4
164	это может	1	3
165	думают что	1	3
166	бы в	1	3
167	о ней	1	3
168	вопрос о	3	3
169	можно сказать	2	3
170	бы что	1	3
171	но то	1	3
172	а это	1	3
173	так и	5	3
174	общение между	1	3
175	ее со	1	3
176	в жизни	1	3
177	в нем	8	3
178	подобно тому	1	3
179	ли сказать	1	3
180	того чтобы	1	3
181	в своей	3	3
182	в уме	1	3
183	или как	2	3
184	в одном	3	3
185	и другое	2	3
186	мы находим	2	3
187	ее как	1	3
188	вместе с	8	3
189	отношение к	1	3
190	отношения к	1	3
191	но как	4	3
192	к тому	2	3
193	к ней	1	3
194	и сам	2	3
195	к себе	2	3
196	что нужно	1	3
197	один из	3	3
198	а с	2	3
199	никогда не	13	3
200	ее с	1	3
201	мы имеем	14	3
202	в основе	1	3
203	тому как	1	3
204	между прочим	1	3
205	если я	1	3
206	к пониманию	1	3
207	себе не	1	3
208	но даже	1	3
209	к другому	1	3
210	можно с	1	3
211	и всем	1	3
212	мы видим	5	3
213	есть еще	2	3
214	ее имя	2	3
215	на этом	1	3
216	их в	3	3
217	несмотря на	1	3
218	тем более	1	3
219	все это	1	3
220	или менее	1	3
221	что он	9	3
222	как о	1	3
223	что именно	1	3
224	более или	1	3
225	мы возьмем	1	3
226	о которых	1	2
227	меняется и	1	2
228	может и	1	2
229	и этот	1	2
230	что на	1	2
231	образом и	2	2
232	приводит к	1	2
233	но она	1	2
234	самого себя	2	2
235	и вот	3	2
236	во всяком	2	2
237	данном случае	3	2
238	от этого	3	2
239	так же	2	2
240	в более	6	2
241	ярко в	1	2
242	и эти	5	2
243	но еще	1	2
244	это так	1	2
245	же мы	5	2
246	смысле что	1	2
247	как нечто	1	2
248	то есть	1	2
249	же когда	1	2
250	что из	2	2
251	как это	5	2
252	бы ни	1	2
253	об этом	1	2
254	казалось бы	1	2
255	если он	3	2
256	но зато	1	2
257	же есть	1	2
258	но все	2	2
259	его и	1	2
260	превращается в	7	2
261	для такого	1	2
262	а затем	1	2
263	он остался	1	2
264	состоит из	1	2
265	этой точки	1	2
266	тогда как	2	2
267	и можно	1	2
268	не с	1	2
269	жизнь и	1	2
270	ее но	1	2
271	или другое	2	2
272	оно может	2	2
273	на все	1	2
274	так или	1	2
275	находим в	1	2
276	на него	2	2
277	как в	6	2
278	находится в	1	2
279	как мы	4	2
280	и его	7	2
281	в качестве	3	2
282	имени нет	2	2
283	и они	2	2
284	оно только	2	2
285	поэтому и	1	2
286	но уже	1	2
287	не все	1	2
288	с собой	2	2
289	этого предмета	1	2
290	для того	1	2
291	как она	1	2
292	ни в	2	2
293	себе что	1	2
294	том как	3	2
295	о чем	2	2
296	она сама	1	2
297	в силу	1	2
298	и может	1	2
299	тут же	1	2
300	ту же	2	2
301	в особенности	1	2
302	и тем	4	2
303	мы уже	6	2
304	из его	2	2
305	своей собственной	1	2
306	в одну	1	2
307	когда он	3	2
308	тому что	1	2
309	не потому	3	2
310	наряду с	3	2
311	мы можем	7	2
312	и если	1	2
313	сказать даже	1	2
314	он не	2	2
315	и когда	1	2
316	и нет	1	2
317	в своих	3	2
318	не случайно	1	2
319	на вопрос	1	2
320	которая была	1	2
321	на этой	2	2
322	в частности	3	2
323	но совершенно	1	2
324	меня на	1	2
325	никак не	1	2
326	и чтобы	1	2
327	а потом	2	2
328	или иначе	1	2
329	кроме того	3	2
330	есть уже	1	2
331	является и	3	2
332	все эти	8	1
333	главным образом	3	1
334	сводится к	2	1
335	очень интересный	2	1
336	природу и	1	1
337	вода и	1	1
338	но с	1	1
339	то мы	1	1
340	или они	1	1
341	их к	1	1
342	на другую	2	1
343	такую форму	1	1
344	все те	1	1
345	в другом	1	1
346	свет и	1	1
347	ясно и	1	1
348	отличие от	1	1
349	именно к	1	1
350	и оно	1	1
351	в противоположность	1	1
352	стоит на	2	1
353	как ни	1	1
354	или в	3	1
355	о котором	2	1
356	можно узнать	1	1
357	одной стороны	7	1
358	его с	3	1
359	на том	8	1
360	сам он	1	1
361	и также	1	1
362	могло быть	2	1
363	они все	1	1
364	где нет	2	1
365	говоря и	1	1
366	ее на	2	1
367	что когда	2	1
368	что как	1	1
369	себе в	4	1
370	ней нет	2	1
371	учение о	1	1
372	свет а	1	1
373	этого слова	1	1
