N	2gram	Vinokur_Ku_1	BTomashe
1	у нас	10	3
2	теории словесности	1	2
3	и не	12	2
4	все это	6	2
5	в ней	6	2
6	можно было	6	2
7	словесности и	1	2
8	не то	1	2
9	крайней мере	5	1
10	более что	1	1
11	же не	1	1
12	не укладывается	1	1
13	тем более	2	1
14	также что	1	1
15	говорить о	1	1
16	будто бы	1	1
17	об этом	1	1
18	и в	24	1
19	в речи	3	1
20	со всем	1	1
21	что все	2	1
22	с другой	7	1
23	в своей	2	1
24	значение слова	3	1
25	литературы как	1	1
26	на самом	2	1
27	систематизации и	1	1
28	как будто	1	1
29	не следует	1	1
30	сейчас в	1	1
31	точно и	1	1
32	было бы	15	1
33	поэтики и	1	1
34	все же	12	1
35	всяком случае	5	1
36	кроме того	1	1
37	никак не	2	1
38	между ними	2	1
39	было и	1	1
40	еще не	5	1
41	только более	1	1
42	и на	4	1
43	в пределах	4	1
44	стоит на	1	1
45	работу по	1	1
46	должна быть	3	1
47	забывать что	1	1
48	прежде всего	9	1
49	в данном	4	1
50	если таким	1	1
51	и во	1	1
52	так и	7	1
53	не было	3	1
54	его не	1	1
55	совершенно не	1	1
56	чтобы можно	1	1
57	далеко не	1	1
58	как таковому	1	1
59	до конца	2	1
60	нельзя не	1	1
61	а не	8	1
62	в научном	1	1
63	что в	17	1
64	в области	7	1
65	другой стороны	6	1
66	также не	1	1
67	не все	2	1
68	по крайней	5	1
69	отнюдь не	1	1
70	таким образом	12	1
71	вопрос о	2	1
72	и более	2	1
73	и потому	4	1
74	не только	10	1
75	стр ведь	1	1
76	во всяком	5	1
