N	3gram	Vinokur_Vv_1	KulturaY
1	и т п	5	24
2	и т д	37	14
3	в том что	12	10
4	в русском языке	1	9
5	можно было бы	3	9
6	с точки зрения	2	8
7	для того чтобы	21	8
8	в самом деле	5	7
9	то обстоятельство что	1	7
10	с другой стороны	5	7
11	только потому что	1	6
12	по крайней мере	4	6
13	в этом смысле	10	5
14	во всяком случае	3	5
15	само по себе	3	5
16	тем не менее	8	5
17	в зависимости от	1	4
18	и тем не	3	4
19	не только в	4	4
20	не может быть	8	4
21	большей или меньшей	2	3
22	в лучшем случае	1	3
23	в этом отношении	3	3
24	точно так же	2	3
25	в большей или	1	3
26	на этой почве	2	3
27	в конце концов	2	3
28	или меньшей степени	1	3
29	в связи с	2	3
30	то же время	5	3
31	в то же	5	3
32	сплошь да рядом	1	2
33	потому что он	2	2
34	не говоря уже	2	2
35	на самом деле	1	2
36	в соответствии с	2	2
37	в этом случае	6	2
38	только в том	2	2
39	говоря уже о	1	2
40	хотя бы и	2	2
41	от этого не	1	2
42	на этот вопрос	3	2
43	в данном отношении	2	2
44	с этой точки	1	2
45	то или иное	1	2
46	вместе с тем	3	2
47	дело не в	1	2
48	так же как	1	2
49	в отличие от	3	2
50	т е на	1	2
51	и в том	3	2
52	в свое время	2	2
53	в широком смысле	7	2
54	по себе не	1	2
55	этой точки зрения	1	2
56	но также и	9	2
57	в свою очередь	1	2
58	того или иного	1	2
59	и в самом	3	2
60	широком смысле этого	2	2
61	но все же	3	2
62	можно сказать что	3	2
63	мы говорим о	1	2
64	чтобы понять что	1	2
65	так или иначе	4	2
66	том что в	1	1
67	в области изучения	1	1
68	он должен быть	1	1
69	состоит в том	2	1
70	примером может служить	1	1
71	со стороны ее	1	1
72	прежде всего в	1	1
73	дело в том	2	1
74	есть однако и	1	1
75	смысле этого термина	1	1
76	что стоит в	1	1
77	в общем случае	4	1
78	в настоящее время	1	1
79	в самом широком	1	1
80	т е не	2	1
81	в какой они	1	1
82	идет речь в	1	1
83	свое выражение в	1	1
84	эта установка на	1	1
85	влечет за собой	2	1
86	е не только	1	1
87	остается тот же	1	1
88	принять во внимание	2	1
89	до сих пор	5	1
90	тем что она	1	1
91	естественно так как	1	1
92	сам по себе	1	1
93	в том только	1	1
94	можно говорить о	1	1
95	того что сказано	1	1
96	также и то	1	1
97	бы то ни	1	1
98	а так как	2	1
99	представить себе что	2	1
100	только то что	1	1
101	имеет дело лишь	1	1
102	всяком случае гораздо	1	1
103	совершенно ясно что	1	1
104	или иначе но	2	1
105	какой бы то	1	1
106	не сам по	1	1
107	в той мере	4	1
108	что действительно в	1	1
109	в каждом данном	2	1
110	том или ином	1	1
111	т д а	2	1
112	тех пор пока	1	1
113	и говорить о	1	1
114	на тему об	1	1
115	одном и том	1	1
116	самого по себе	1	1
117	в разрез с	1	1
118	в европе и	1	1
119	и той же	2	1
120	широком смысле слова	4	1
121	о котором идет	1	1
122	и не в	1	1
123	может быть не	1	1
124	и дело что	1	1
125	и то что	2	1
126	может быть и	2	1
127	в значительной степени	1	1
128	в том или	1	1
129	уже о том	1	1
130	т е в	4	1
131	в данном случае	4	1
132	того чтобы понять	2	1
133	не то что	1	1
134	не потому что	1	1
135	имеет еще и	1	1
136	то ни было	1	1
137	что русский язык	1	1
138	в самом процессе	1	1
139	с одной стороны	4	1
140	смысле этого слова	2	1
141	не значит что	1	1
142	и том же	1	1
143	вопроса о природе	1	1
144	зависимости от того	1	1
145	а также и	2	1
146	в известном смысле	3	1
147	по сравнению с	3	1
148	не могут быть	2	1
149	не до конца	2	1
150	языке как раз	1	1
151	не в том	2	1
152	ответ на этот	1	1
153	мере в какой	4	1
154	на этом пути	1	1
155	того чтобы определить	1	1
156	в нем есть	1	1
157	тем или иным	1	1
158	и вот почему	1	1
159	внимание на те	1	1
160	потому что и	1	1
161	каждом данном случае	1	1
162	есть прямое следствие	1	1
163	в одном и	1	1
164	есть не что	2	1
165	нужно было бы	1	1
166	языка и его	2	1
167	до тех пор	1	1
168	но с другой	1	1
169	и что такое	1	1
170	хотя бы на	1	1
171	заключается в том	3	1
172	в том чтобы	5	1
173	в силу которых	1	1
174	лишь в том	1	1
175	связи с этим	1	1
176	что оно имеет	1	1
177	о том что	12	1
178	и никогда не	1	1
179	т е то	1	1
180	с самого начала	1	1
181	и прежде всего	1	1
182	отношении его к	1	1
183	то вряд ли	1	1
184	что иное как	4	1
185	это в сущности	1	1
186	установить специфические признаки	1	1
187	вопросу о возможности	1	1
188	после того как	2	1
189	с течением времени	6	1
190	к тому что	1	1
191	было бы сказать	1	1
192	одной и той	2	1
193	не что иное	4	1
194	той мере в	4	1
195	это однако не	2	1
196	тех или иных	3	1
197	т д и	1	1
198	потому что она	1	1
199	сама по себе	3	1
200	в предисловии к	1	1
201	которыми он и	1	1
202	лежит в основании	2	1
203	но в том-то	1	1
204	дело лишь с	1	1
205	одна за другой	1	1
206	находит свое выражение	1	1
207	т д в	2	1
208	только тогда когда	1	1
209	как мы знаем	1	1
210	или иного автора	1	1
211	как мы видели	2	1
212	также и в	2	1
