N	3gram	Bakhtin_sl_1	VerxiiNi
1	с одной стороны	4	7
2	с точки зрения	8	6
3	во всяком случае	5	6
4	более или менее	3	5
5	до сих пор	2	5
6	по крайней мере	1	5
7	друг с другом	2	5
8	для того чтобы	1	5
9	о том что	1	4
10	так или иначе	1	3
11	тем не менее	1	3
12	в том что	1	3
13	в этом отношении	1	2
14	с этой точки	1	2
15	то или иное	1	2
16	может быть и	1	2
17	то ни было	1	2
18	бы то ни	1	2
19	таким образом в	3	2
20	то же время	12	2
21	с одним из	1	2
22	этой точки зрения	1	2
23	с самого начала	1	2
24	той или иной	9	2
25	можно сказать что	1	2
26	в то же	12	2
27	и в этом	2	2
28	и в сущности	2	1
29	а между тем	2	1
30	не может не	5	1
31	в широком смысле	2	1
32	имеем в виду	1	1
33	обстоит дело с	1	1
34	же время он	1	1
35	а следовательно и	1	1
36	и заставляет их	1	1
37	и в то	5	1
38	до известной степени	2	1
39	перестает быть тем	2	1
40	и некоторые другие	1	1
41	ни с одним	1	1
42	в данном случае	3	1
43	в первом случае	2	1
44	но в то	4	1
45	на задний план	1	1
46	и не могут	1	1
47	только в одном	1	1
48	в отличие от	1	1
49	а не как	2	1
50	один из этих	1	1
51	с другой стороны	4	1
52	здесь таким образом	1	1
53	не может быть	1	1
54	но по существу	2	1
55	но с другой	1	1
56	по всей вероятности	3	1
57	в то время	2	1
58	совершенно иное значение	1	1
59	так и в	3	1
60	в свою очередь	2	1
61	в особый самостоятельный	1	1
62	тем и другим	1	1
63	в одном из	1	1
64	не только не	1	1
65	и заставляет его	1	1
66	мы имеем в	1	1
67	мы видим что	1	1
68	именно потому что	1	1
