N	3gram	Vinokur_Vv_1	Marksizm
1	с точки зрения	2	20
2	не может быть	8	13
3	в самом деле	5	9
4	до сих пор	5	8
5	бы то ни	1	8
6	то ни было	1	8
7	в связи с	2	7
8	в настоящее время	1	6
9	и того же	2	5
10	одного и того	2	5
11	в отличие от	3	5
12	как мы знаем	1	5
13	с другой стороны	5	5
14	философии языка и	1	4
15	с самого начала	1	4
16	этот вопрос мы	1	3
17	в этом случае	6	3
18	то же самое	2	3
19	в этом отношении	3	3
20	на этот вопрос	3	3
21	может быть и	2	3
22	в конце концов	2	3
23	науки о языке	1	3
24	языка и его	2	3
25	то же время	5	3
26	в первом случае	2	3
27	связи с этим	1	3
28	но все же	3	3
29	можно сказать что	3	3
30	в то же	5	3
31	для того чтобы	21	3
32	в том что	12	3
33	тех пор пока	1	2
34	в чем же	3	2
35	и той же	2	2
36	сама по себе	3	2
37	можно было бы	3	2
38	как если бы	1	2
39	так же как	1	2
40	но в то	3	2
41	себе отчет в	1	2
42	во всяком случае	3	2
43	смысле этого слова	2	2
44	отсюда следует что	1	2
45	не могут быть	2	2
46	вопрос о том	5	2
47	одной и той	2	2
48	по отношению к	4	2
49	до тех пор	1	2
50	от того что	1	2
51	в свою очередь	1	2
52	быть и речи	1	2
53	и прежде всего	1	2
54	в этом смысле	10	2
55	тем не менее	8	2
56	свое выражение в	1	2
57	между тем мы	1	1
58	о том каким	1	1
59	что такое язык	2	1
60	и его учеников	1	1
61	прежде всего в	1	1
62	этого слова как	1	1
63	большей или меньшей	2	1
64	подобно тому как	1	1
65	как она есть	2	1
66	но в известном	1	1
67	кажется само собой	1	1
68	а между тем	1	1
69	что же касается	2	1
70	хотя бы и	2	1
71	в достаточной мере	1	1
72	но и в	1	1
73	следует что в	1	1
74	находит свое выражение	1	1
75	сих пор и	1	1
76	каждом из них	1	1
77	отчет в том	1	1
78	но уже в	1	1
79	с этой точки	1	1
80	сторон во-первых с	1	1
81	но что такое	1	1
82	а если и	1	1
83	и для которого	1	1
84	ту или иную	1	1
85	так или иначе	4	1
86	который мог бы	1	1
87	в значительной степени	1	1
88	более того не	1	1
89	а не только	1	1
90	с одной стороны	4	1
91	все это и	1	1
92	филолог и историк	1	1
93	все эти области	1	1
94	не может еще	1	1
95	в большей или	1	1
96	само собой разумеющимся	1	1
97	какой бы то	1	1
98	пор пока не	1	1
99	а в том	1	1
100	того чтобы сделать	1	1
101	в целом ряде	2	1
102	тем что в	1	1
103	вообще не существует	1	1
104	до наших дней	1	1
105	в широком смысле	7	1
106	из всего сказанного	1	1
107	мы уже знаем	1	1
108	в русском языке	1	1
109	вовсе не в	2	1
110	в новейшее время	1	1
111	само по себе	3	1
112	второй половины xix	2	1
113	в точном смысле	1	1
114	этой точки зрения	1	1
115	с тем что	3	1
116	и без того	1	1
117	и в самом	3	1
118	не менее совершенно	1	1
119	наоборот как мы	1	1
120	не только в	4	1
121	на нее не	1	1
122	и в результате	1	1
123	как мы видим	1	1
124	в данном отношении	2	1
125	как мы уже	1	1
126	в применении к	6	1
127	имеется в виду	1	1
128	к тому что	1	1
129	о языке и	1	1
130	на самом деле	1	1
131	все это делает	1	1
132	может быть в	2	1
133	и история языка	1	1
134	друг для друга	1	1
135	таким образом по	2	1
136	как мы видели	2	1
137	той или иной	1	1
