N	2gram	Vinokur_St_1	UchenyiS
1	и в	44	14
2	а не	16	10
3	не только	18	10
4	прежде всего	7	8
5	и не	16	8
6	не может	8	7
7	в этом	21	7
8	то что	18	7
9	может быть	15	6
10	то же	5	5
11	и только	3	5
12	все это	5	5
13	хотя бы	6	5
14	с другой	9	4
15	но и	10	4
16	что такое	1	4
17	в россии	4	4
18	в этой	11	4
19	конечно не	2	4
20	то ни	1	3
21	вряд ли	5	3
22	и то	5	3
23	это не	8	3
24	было бы	17	3
25	как и	9	3
26	для этого	2	3
27	в частности	4	3
28	в своей	6	3
29	бы то	1	3
30	очевидно что	1	3
31	к сожалению	3	3
32	этой области	5	3
33	в то	9	3
34	все же	8	3
35	но в	10	3
36	истории литературы	2	3
37	пришлось бы	1	3
38	же время	4	3
39	в области	14	3
40	у нас	11	3
41	другой стороны	7	3
42	для него	6	3
43	не как	1	3
44	не о	1	3
45	что все	2	2
46	а между	1	2
47	крайней мере	2	2
48	и с	3	2
49	художественного произведения	1	2
50	материала и	2	2
51	до сих	7	2
52	а как	2	2
53	это было	1	2
54	самом деле	11	2
55	художественных произведений	1	2
56	должна быть	3	2
57	в некоторых	1	2
58	превращается в	2	2
59	мы не	2	2
60	не приходится	1	2
61	о чем	1	2
62	является в	1	2
63	на эту	4	2
64	если бы	9	2
65	что мы	5	2
66	ничего не	2	2
67	не столько	1	2
68	если не	2	2
69	должна была	4	2
70	том что	29	2
71	материал для	3	2
72	но даже	1	2
73	литературы и	2	2
74	с его	1	2
75	но не	3	2
76	в сторону	2	2
77	не все	3	2
78	в его	9	2
79	по крайней	2	2
80	по существу	2	2
81	что и	6	2
82	по себе	1	2
83	более чем	2	2
84	конце концов	1	2
85	сих пор	7	2
86	но это	6	2
87	этом смысле	1	2
88	в том	36	2
89	и для	3	2
90	что он	10	2
91	в себе	2	2
92	при таком	2	2
93	в самом	7	2
94	между тем	3	2
95	и у	2	2
96	только в	10	2
97	не в	12	2
98	и является	1	2
99	вопроса о	3	2
100	очевидно не	2	2
101	этом отношении	7	2
102	фактов и	1	2
103	его и	1	2
104	бы и	4	2
105	всех этих	2	2
106	их и	1	2
107	не могут	1	2
108	могут быть	5	2
109	в конце	3	2
110	смысле этого	2	2
111	как раз	4	2
112	тем что	5	2
113	что она	4	2
114	таким образом	7	2
115	даже и	2	2
116	для себя	3	1
117	и это	2	1
118	области в	1	1
119	научной обработке	2	1
120	гораздо больше	2	1
121	литературы а	1	1
122	стилистический прием	1	1
123	об этом	3	1
124	поэзии и	1	1
125	же как	3	1
126	даже не	4	1
127	то есть	2	1
128	в виду	1	1
129	входит в	1	1
130	первую очередь	2	1
131	данном случае	6	1
132	или иначе	2	1
133	в период	1	1
134	претензии на	1	1
135	только при	1	1
136	наука о	1	1
137	было сделать	1	1
138	для научного	2	1
139	только более	1	1
140	и др	1	1
141	что для	3	1
142	объясняется и	1	1
143	никогда не	5	1
144	так и	9	1
145	по его	2	1
146	и вы	1	1
147	одной стороны	2	1
148	той же	5	1
149	отсюда и	1	1
150	до конца	1	1
151	с тем	1	1
152	мы имеем	2	1
153	что никакого	1	1
154	место и	1	1
