N	3gram	Losev_Vesc_1	NovoeSre
1	не может быть	6	4
2	подобно тому как	4	3
3	не значит что	1	3
4	равно как и	2	2
5	в нем нет	1	2
6	вместе с тем	1	2
7	так же как	1	2
8	не может уже	1	2
9	с одной стороны	3	2
10	это не значит	1	2
11	с другой стороны	2	2
12	когда мы говорим	1	2
13	не в смысле	1	2
14	значит что в	1	2
15	вопрос о том	1	2
16	она не может	2	2
17	по своей природе	1	1
18	и того же	1	1
19	не верят в	1	1
20	а не к	1	1
21	в ней нет	1	1
22	только потому что	1	1
23	мы говорим что	3	1
24	то время как	1	1
25	но это значит	1	1
26	одного и того	1	1
27	есть прежде всего	2	1
28	и оно же	1	1
29	до сих пор	1	1
30	и во всех	1	1
31	в зависимости от	1	1
32	сами по себе	3	1
33	и это есть	1	1
34	можно было бы	1	1
35	бы сказать что	2	1
36	может быть только	3	1
37	и не в	1	1
38	не будет уже	1	1
39	было бы сказать	2	1
40	в том чтобы	1	1
41	не только в	4	1
42	и потому оно	1	1
43	и потому что	1	1
44	как будто бы	1	1
45	по природе своей	1	1
46	жизни и бытия	1	1
47	не в том	1	1
48	во всяком случае	2	1
49	о том что	4	1
50	в то время	1	1
51	новые формы и	1	1
52	и весь смысл	1	1
53	это и есть	1	1
54	не только потому	1	1
55	это значит что	19	1
56	в последние годы	2	1
57	в новое время	1	1
58	она сама себя	1	1
59	в том смысле	1	1
60	жизни не может	1	1
61	это не есть	1	1
62	в том что	4	1
