N	2gram	Vinokur_St_3	RusskieA
1	и в	25	36
2	а а	6	25
3	не только	12	22
4	том что	15	19
5	что в	19	19
6	в и	1	17
7	в том	20	17
8	т е	8	17
9	но и	9	16
10	так как	3	15
11	во время	3	14
12	и другие	1	13
13	п в	1	13
14	xix в	1	13
15	в этом	24	12
16	в других	1	11
17	и т	8	10
18	и на	6	10
19	это не	7	10
20	как и	4	10
21	как мы	2	10
22	вместе с	2	10
23	потому что	5	10
24	т д	2	9
25	об этом	5	9
26	а в	6	9
27	состоит в	4	8
28	и по	2	8
29	с тем	4	8
30	у русских	1	8
31	у нас	4	8
32	о том	8	8
33	один из	2	8
34	из них	1	8
35	может быть	19	8
36	что они	2	7
37	так и	5	7
38	между тем	6	7
39	что и	1	7
40	и других	2	7
41	представляют собой	1	7
42	мы не	2	6
43	в виде	3	6
44	таким образом	10	6
45	не имеет	2	6
46	уже не	3	6
47	в них	5	6
48	и не	10	6
49	все это	8	6
50	для нас	1	6
51	то что	12	6
52	а и	1	5
53	иногда и	1	5
54	как в	6	5
55	все же	4	5
56	во многих	2	5
57	показывает что	3	5
58	в которых	2	5
59	того как	1	5
60	и у	2	5
61	одно из	2	5
62	в течение	4	5
63	как бы	6	5
64	г в	6	4
65	мы имеем	5	4
66	не совсем	2	4
67	еще не	2	4
68	во всех	2	4
69	что по	3	4
70	представляет собой	1	4
71	в россии	6	4
72	их на	1	4
73	в г	12	4
74	из этих	6	4
75	в их	3	4
76	что этот	3	4
77	тому что	3	4
78	вплоть до	1	4
79	а иногда	1	4
80	одна из	2	4
81	в русском	2	4
82	связи с	3	4
83	к тому	2	4
84	его с	1	4
85	так в	1	4
86	и что	3	4
87	и их	1	4
88	тем что	19	4
89	а с	2	4
90	и др	4	4
91	в некоторых	3	4
92	того что	5	4
93	по существу	1	4
94	но это	4	4
95	в связи	3	4
96	не может	7	4
97	только в	6	4
98	к этому	3	4
99	своего рода	3	3
100	если в	2	3
101	которые не	1	3
102	в своем	1	3
103	не можем	1	3
104	что это	16	3
105	думать что	1	3
106	связанные с	1	3
107	на этом	3	3
108	то же	5	3
109	но все	2	3
110	совпадают с	1	3
111	чаще всего	1	3
112	несмотря на	3	3
113	в этих	11	3
114	точки зрения	7	3
115	с точки	4	3
116	тем не	2	3
117	но они	2	3
118	не менее	2	3
119	в разных	1	3
120	ничего не	4	3
121	и другой	1	3
122	в поле	1	3
123	приводит к	1	3
124	к жизни	1	3
125	начиная с	2	3
126	то есть	2	3
127	а также	4	3
128	от них	2	3
129	связаны с	1	3
130	также в	1	3
131	как например	8	3
132	по этому	3	3
133	в качестве	4	3
134	слова в	1	3
135	в одном	1	3
136	в древнем	1	3
137	из приведенных	1	3
138	в области	6	3
139	и из	1	3
140	о чем	1	3
141	так же	1	3
142	по содержанию	1	3
143	в это	2	3
144	этого слова	2	3
145	и некоторые	1	3
146	и к	4	3
147	в свою	2	3
148	но эти	1	3
149	как известно	1	2
150	к материалу	2	2
151	например в	4	2
152	которого в	2	2
153	е годы	1	2
154	переход от	1	2
155	на западе	1	2
156	еще до	1	2
157	к нам	1	2
158	на себя	1	2
159	в числе	1	2
160	состоят из	1	2
161	в ней	4	2
162	он был	3	2
163	это имеет	1	2
164	на самом	1	2
165	но не	2	2
166	к слову	2	2
167	не просто	2	2
168	как по	1	2
169	независимо от	5	2
170	что именно	2	2
171	с этим	7	2
172	и как	1	2
173	его к	2	2
174	но в	5	2
175	с г	1	2
176	в целом	4	2
177	все эти	3	2
178	в дальнейшем	1	2
179	и до	1	2
180	как он	1	2
181	что она	1	2
182	в нем	1	2
183	всех этих	3	2
184	чем у	1	2
185	его от	1	2
186	в году	5	2
187	в каждом	4	2
188	и с	4	2
189	к другу	1	2
190	на этой	1	2
191	на холмах	1	2
192	в жизни	4	2
193	говорится о	1	2
194	такой же	2	2
195	представляла собой	1	2
196	и более	3	2
197	том же	1	2
198	для этого	2	2
199	этого мало	1	2
200	нас к	2	2
201	как можно	2	2
202	что ему	1	2
203	у него	9	2
204	судя по	1	2
205	до того	1	2
206	и здесь	3	2
207	каждые две	1	2
208	могут быть	2	2
209	основаны на	1	2
210	сцены из	3	2
211	как они	1	2
212	свою очередь	1	2
213	в в	3	2
214	что у	2	2
215	в образе	1	2
216	с ним	1	2
217	означает что	1	2
218	находится в	1	2
219	на что	2	2
220	должно было	1	2
221	связь между	1	2
222	в летописях	2	2
223	этому поводу	2	2
224	в его	12	2
225	в свете	1	2
226	к ней	4	2
227	не случайно	1	2
228	только у	1	2
229	в какой	3	2
230	показывают что	1	2
231	какой степени	1	2
232	так что	11	2
233	за счет	1	2
234	не означает	1	2
235	но что	1	2
236	не было	4	2
237	в особенности	4	2
238	не были	1	2
239	чем в	1	2
240	такое же	2	2
241	себя и	2	2
242	но есть	2	2
243	и пр	13	2
244	до конца	3	2
245	не на	2	2
246	а не	5	2
247	его как	3	2
248	должна была	4	2
249	в частности	1	2
250	нет надобности	1	2
251	судить по	1	2
252	многих случаях	1	2
253	западной европе	1	2
254	там где	1	2
255	в первые	1	2
256	какие же	1	2
257	направления в	1	2
258	между прочим	3	2
259	между собой	1	2
260	к вопросу	1	2
261	мы видим	4	2
262	и для	4	2
263	тем и	1	2
264	на новый	1	2
265	или в	2	2
266	когда он	1	2
267	и н	1	2
268	года в	2	2
269	в своих	8	2
270	через каждые	1	2
271	нас не	2	2
272	истории связанные	1	1
273	который должен	1	1
274	границы между	1	1
275	ту же	1	1
276	также и	1	1
277	мы здесь	1	1
278	а из	1	1
279	самом деле	2	1
280	значении этого	1	1
281	тех же	1	1
282	значения что	1	1
283	в первом	1	1
284	сам и	1	1
285	значение он	2	1
286	по преимуществу	1	1
287	что эти	4	1
288	и ее	2	1
289	должна быть	1	1
290	собственном смысле	1	1
291	видеть в	1	1
292	сумароков в	1	1
293	и за	2	1
294	приходит к	1	1
295	поэзии и	1	1
296	из всех	1	1
297	самые разнообразные	1	1
298	собой как	1	1
299	этого нет	1	1
300	что если	2	1
301	не во	1	1
302	вопрос о	1	1
303	из своих	1	1
304	этом не	1	1
305	этих четырех	1	1
306	любовью к	1	1
307	говорить о	3	1
308	и многочисленные	1	1
309	ему в	1	1
310	направлением в	1	1
311	похожи на	1	1
312	того же	2	1
313	и он	1	1
314	в каждой	2	1
315	которую можно	1	1
316	и много	1	1
317	не был	2	1
318	всего этого	1	1
319	в чем	4	1
320	истории в	1	1
321	с его	3	1
322	в петербурге	1	1
323	имеем здесь	1	1
324	на основе	2	1
325	он давал	1	1
326	не все	1	1
327	ответ на	5	1
328	в общем	4	1
329	очевидно что	1	1
330	писал не	1	1
331	относится к	4	1
332	в истории	1	1
333	показать что	1	1
334	это был	2	1
335	что касается	7	1
336	однако не	1	1
337	целый ряд	1	1
338	и наконец	3	1
339	себе дело	1	1
340	тем же	1	1
341	от этого	1	1
342	поэтому и	1	1
343	можно установить	1	1
344	и последний	2	1
345	значения как	1	1
346	в которой	4	1
347	говорят о	1	1
348	из жизни	1	1
349	за это	1	1
350	не нашли	1	1
351	то и	2	1
352	по форме	5	1
353	в употреблении	1	1
354	на то	5	1
355	они возникли	1	1
356	который у	1	1
357	он не	5	1
358	одно целое	1	1
359	с нашим	2	1
360	он должен	1	1
361	не к	1	1
362	не как	2	1
363	в начале	4	1
364	также от	1	1
365	а затем	1	1
366	что все	3	1
367	жизнь но	1	1
368	о котором	1	1
369	те же	1	1
370	силы они	1	1
371	его в	1	1
372	на почве	5	1
373	известно что	2	1
374	должен был	2	1
375	и тем	4	1
376	своих целях	1	1
377	ни в	5	1
378	этом мы	1	1
379	нет в	3	1
380	русском фольклоре	1	1
381	в этой	14	1
382	он и	2	1
383	мы видели	1	1
384	в развитии	2	1
385	можно считать	1	1
386	и того	1	1
387	себя внимание	1	1
388	и при	1	1
389	служит уже	1	1
390	взгляд на	2	1
391	впрочем а	1	1
392	место в	6	1
393	однако еще	1	1
394	не столько	2	1
395	этого вопроса	1	1
396	они уже	1	1
397	что я	3	1
398	одном из	1	1
399	дает в	1	1
400	но эта	1	1
401	точку зрения	2	1
402	того времени	3	1
403	которые в	2	1
404	и эти	1	1
405	не могли	1	1
406	что после	1	1
407	о русском	2	1
408	связь этого	1	1
409	сам он	2	1
410	что есть	1	1
411	от своих	1	1
412	иной раз	1	1
413	в то	7	1
414	не о	1	1
415	дело не	2	1
416	и прочие	2	1
417	тогда когда	2	1
418	дело в	1	1
419	ее с	1	1
420	было не	1	1
421	к изучению	1	1
422	день на	1	1
423	считает что	2	1
424	иметь в	1	1
425	значение этого	1	1
426	вытекает из	1	1
427	и всегда	2	1
428	слова как	2	1
429	или как	1	1
430	явление в	1	1
431	того в	1	1
432	и его	3	1
433	к этим	2	1
434	обращает на	1	1
435	этом отношении	4	1
436	не потому	2	1
437	могущества и	1	1
438	дают возможность	1	1
439	в духе	2	1
440	в сказках	1	1
441	же т	1	1
442	с по	2	1
443	слова с	1	1
444	и г	1	1
445	понимать его	1	1
446	быть назван	2	1
447	можно судить	1	1
448	обычно в	1	1
449	смысле в	1	1
450	для себя	1	1
451	и это	5	1
452	здесь изображается	1	1
453	и о	1	1
454	н ф	1	1
455	в виду	2	1
456	нового стиля	1	1
457	только при	1	1
458	в собственном	1	1
459	россии в	1	1
460	то время	4	1
461	на том	1	1
462	и сам	1	1
463	г д	2	1
464	можно было	1	1
465	здесь он	1	1
466	представляют собою	3	1
467	они непосредственно	1	1
468	часто в	1	1
469	подобные же	1	1
470	разного рода	1	1
471	основана на	1	1
472	если бы	4	1
473	и вообще	1	1
474	по мере	1	1
475	стремление к	1	1
476	имеет много	1	1
477	его через	1	1
478	что значит	1	1
479	но здесь	1	1
480	сказывается и	1	1
481	русской историей	1	1
482	вот почему	1	1
483	в раннем	1	1
484	стихи как	2	1
485	внимание на	2	1
486	можно сказать	4	1
487	и который	1	1
488	к нему	4	1
489	не могло	1	1
490	и во	2	1
491	говорить об	1	1
492	раньше чем	3	1
493	во втором	2	1
494	во всей	1	1
495	в форме	2	1
496	сомнения в	1	1
497	кто в	1	1
498	это несомненно	3	1
499	было бы	7	1
500	это приводит	1	1
501	не так	3	1
502	что здесь	4	1
503	дело так	1	1
504	что очень	1	1
505	что он	19	1
506	и так	1	1
507	до нас	2	1
508	он уже	1	1
509	который в	1	1
510	это слово	3	1
511	точка зрения	4	1
512	через их	1	1
513	том чтобы	2	1
514	вот что	3	1
515	с которыми	2	1
516	песенного типа	1	1
517	есть в	2	1
518	уже в	3	1
519	в значении	1	1
520	только тогда	2	1
521	не дает	1	1
522	но совершенно	1	1
523	только одно	1	1
524	время во	1	1
525	всяком случае	4	1
526	и один	1	1
527	их посредство	1	1
528	даже к	1	1
529	т п	6	1
530	может служить	1	1
531	не сохранилось	1	1
532	он известен	1	1
533	заметить что	2	1
534	от того	2	1
535	было воспринято	1	1
536	следует признать	1	1
537	хотел бы	1	1
538	смерти и	1	1
539	не противоречит	1	1
540	в очень	1	1
541	возможно что	1	1
542	влияние на	1	1
543	как у	1	1
544	к которому	3	1
545	еще и	1	1
546	тому как	1	1
547	что не	2	1
548	этой группы	1	1
549	что для	3	1
550	иногда это	1	1
551	говорит о	1	1
552	и пытался	1	1
553	связано с	5	1
554	по тем	1	1
555	же состоит	1	1
556	этому времени	1	1
557	однако и	1	1
558	ниже в	1	1
559	с которым	3	1
560	долгое время	1	1
561	с м	1	1
562	г где	1	1
563	которые по	1	1
564	свое внимание	1	1
565	совершенно очевидно	1	1
566	здесь следует	1	1
567	в одно	1	1
568	мы знаем	1	1
569	если не	1	1
570	уже давно	1	1
571	но этого	1	1
572	смысл который	1	1
573	первые годы	1	1
574	из которых	4	1
575	в пределах	1	1
576	в данном	1	1
577	такая точка	1	1
578	наряду с	1	1
579	в той	1	1
580	же можно	1	1
581	ко всему	1	1
582	два раза	1	1
583	был более	1	1
584	быть не	2	1
585	есть и	1	1
586	что мы	3	1
587	очень большой	2	1
588	но для	1	1
589	кроме того	3	1
590	это как	1	1
591	не является	3	1
592	очень интересный	1	1
593	много но	1	1
594	при таком	1	1
595	ничего а	1	1
596	а к	1	1
597	совершенно иное	1	1
598	в двух	1	1
599	в отдельных	4	1
600	и все	1	1
601	или нет	1	1
602	люди в	1	1
603	объясняется тем	1	1
604	отсюда же	1	1
605	и различные	1	1
606	на такой	1	1
607	в период	1	1
608	слово в	2	1
609	а б	4	1
610	не знает	1	1
611	сказать что	4	1
612	уверенности что	1	1
613	с русской	1	1
614	но можно	1	1
615	время но	1	1
616	является и	1	1
617	становится очевидным	1	1
618	и две	1	1
619	в работах	1	1
620	жизни и	1	1
621	также не	1	1
622	г о	1	1
623	они не	1	1
624	можно назвать	4	1
625	как на	6	1
626	во всяком	4	1
627	все что	1	1
