N	2gram	Potebnia_M_1	Problemy
1	и не	18	31
2	и в	39	29
3	в его	5	24
4	может быть	27	24
5	в этом	15	22
6	а не	21	22
7	в нем	20	19
8	точки зрения	8	19
9	как бы	6	19
10	для него	4	18
11	не только	21	15
12	то что	10	15
13	то же	6	14
14	не как	1	14
15	и его	5	14
16	рядом с	1	14
17	но и	20	14
18	с точки	3	13
19	уже не	2	13
20	таким образом	13	12
21	как и	9	12
22	не может	22	12
23	в самом	3	10
24	этом смысле	4	10
25	в то	4	10
26	только в	25	10
27	в одном	8	10
28	там где	4	10
29	все эти	1	9
30	с его	1	9
31	все же	6	9
32	это не	7	9
33	если бы	14	9
34	в единство	1	9
35	себе самом	1	9
36	же время	4	9
37	о нем	1	9
38	идеи в	1	9
39	но не	8	9
40	по отношению	13	8
41	что в	22	8
42	по себе	10	8
43	в каждом	4	8
44	как не	1	8
45	в том	26	8
46	что он	1	8
47	потому что	52	8
48	в своем	3	8
49	в своей	3	8
50	отношению к	13	8
51	а как	2	7
52	и на	1	7
53	за пределы	2	7
54	и как	6	7
55	но в	9	7
56	в себе	13	7
57	зрения на	1	7
58	входит в	1	7
59	с другими	1	7
60	том что	16	7
61	не в	15	7
62	вовсе не	5	7
63	она не	3	7
64	так и	13	7
65	прежде всего	4	7
66	а в	5	7
67	одним из	2	6
68	самом деле	1	6
69	так же	5	6
70	в одной	1	6
71	как в	10	6
72	в целом	2	6
73	что она	1	6
74	в мире	3	6
75	его в	1	6
76	несмотря на	5	6
77	в самой	3	6
78	могут быть	9	6
79	к нему	1	6
80	говорит он	4	6
81	на мир	1	6
82	в единстве	2	6
83	был бы	1	6
84	так как	21	6
85	и потому	5	6
86	не могут	4	6
87	все это	1	6
88	на самом	1	5
89	должна быть	3	5
90	в зависимости	1	5
91	той же	3	5
92	зависимости от	1	5
93	у него	1	5
94	с их	1	5
95	перед нами	1	5
96	он не	3	5
97	но все	2	5
98	сознание и	1	5
99	было бы	12	5
100	мысли и	9	5
101	в сущности	2	5
102	или как	1	5
