N	3gram	Bakhtin_Pr_1	Sovremen
1	мы не можем	1	6
2	с точки зрения	15	5
3	в каждом отдельном	1	5
4	в зависимости от	3	4
5	не может быть	3	4
6	с самого начала	2	3
7	друг с другом	3	2
8	во всяком случае	3	2
9	в отличие от	2	2
10	может быть и	1	2
11	то же самое	1	2
12	можно говорить об	1	1
13	зависимости от различных	1	1
14	несмотря на кажущуюся	1	1
15	мы видим не	1	1
16	между всеми элементами	1	1
17	в известном смысле	1	1
18	и в этом	3	1
19	и есть то	1	1
20	по крайней мере	2	1
21	не могут быть	1	1
22	всяком случае не	1	1
23	не в том	1	1
24	ни в один	1	1
25	оно может быть	1	1
26	какой бы то	1	1
27	дело в том	1	1
28	по отношению к	11	1
29	равно как и	1	1
30	на самом деле	3	1
31	он может быть	2	1
32	в этом смысле	9	1
33	так же как	1	1
34	теперь мы должны	1	1
35	данном случае и	1	1
36	до сих пор	2	1
37	то же время	7	1
38	они не могут	1	1
39	раз и навсегда	2	1
40	и в то	3	1
41	сами по себе	3	1
42	образом все элементы	1	1
43	со всеми ее	1	1
44	вопрос о принципиальной	1	1
45	может быть иногда	1	1
46	бы то ни	3	1
47	и именно в	1	1
48	таким образом все	2	1
49	прежде всего необходимо	1	1
50	но все эти	1	1
51	можно было бы	3	1
52	и не может	2	1
53	в самом деле	2	1
54	но все же	1	1
55	что дело идет	1	1
56	для этих процессов	1	1
57	может быть только	1	1
58	в то же	7	1
59	мы видим что	1	1
60	в себе в	1	1
61	в том что	7	1
62	в данном случае	2	1
63	на этот вопрос	1	1
64	она не может	1	1
65	дело идет о	2	1
66	то ни было	2	1
67	именно в том	2	1
68	если бы эти	1	1
