N	4gram	Vinokur_St_1	Russkaja
1	в то же время	4	10
2	что бы то ни	1	3
3	во что бы то	1	3
4	бы то ни стало	1	3
5	и в том и	1	2
6	только в том случае	1	2
7	этого прежде всего необходимо	1	1
8	дело в том что	4	1
9	без всякого давления со	1	1
10	может быть уверен в	1	1
11	само собой разумеется что	1	1
12	в том числе и	2	1
13	что с точки зрения	1	1
14	быть уверен в том	1	1
15	говорить о том что	1	1
16	во всяком случае не	1	1
17	точно так же и	1	1
18	уверен в том что	1	1
19	не трудно видеть что	1	1
20	только с точки зрения	1	1
21	но как бы ни	1	1
22	и в этом случае	2	1
23	заключается в том что	2	1
24	но в то же	2	1
25	всякого давления со стороны	1	1
26	также и то что	1	1
27	для этого прежде всего	1	1
