N	4gram	Losev_Dial_4	Vvedenie
1	в то же время	6	6
2	и т д но	1	5
3	не что иное как	8	4
4	и тем не менее	1	3
5	но в то же	2	3
6	дело в том что	1	2
7	и т д все	2	2
8	есть не что иное	5	2
9	и т д в	1	2
10	одной и той же	3	2
11	заключается вовсе не в	1	1
12	т д все это	1	1
13	и именно в этом	1	1
14	но все же это	1	1
15	по себе не есть	1	1
16	уже о том что	1	1
17	говоря уже о том	1	1
18	и в этом смысле	2	1
19	и т д и	3	1
20	все же это не	1	1
21	можно сказать что в	1	1
22	сама по себе не	1	1
23	в связи с этим	1	1
24	с этой точки зрения	2	1
25	она есть не что	1	1
26	все т е все	1	1
27	возможно только потому что	1	1
28	не может быть в	1	1
29	вовсе не в том	2	1
30	не говоря уже о	3	1
31	в самом же начале	1	1
