N	3gram	Losev_Prob_4	FransuaR
1	в то же	2	8
2	в конце концов	1	4
3	и в то	1	4
4	более или менее	2	3
5	в том числе	1	3
6	для того чтобы	2	3
7	это и есть	1	3
8	с другой стороны	6	3
9	с самого начала	1	3
10	с точки зрения	11	2
11	на самом же	2	2
12	том числе и	1	2
13	и в других	2	2
14	с одной стороны	1	2
15	самом же деле	2	2
16	не только в	4	2
17	в то время	2	2
18	о том что	3	2
19	то есть в	6	2
20	если бы он	1	1
21	а следовательно и	1	1
22	он как и	1	1
23	само собой разумеется	1	1
24	что это и	1	1
25	и всякого рода	1	1
26	дело в том	1	1
27	здесь перед нами	5	1
28	что это не	1	1
29	между прочим и	1	1
30	то же самое	6	1
31	но все это	1	1
32	до сих пор	1	1
33	и не может	1	1
34	как мы сказали	1	1
35	в чем не	1	1
36	и то что	1	1
37	то что тот	1	1
38	за то что	1	1
39	в этом же	1	1
40	одно и то	1	1
41	в это время	1	1
42	то время как	2	1
43	на эту тему	1	1
44	в данном случае	5	1
45	на первый взгляд	1	1
46	ни в чем	1	1
47	а также и	2	1
48	и в нашем	1	1
49	и как бы	1	1
50	оказывается вовсе не	1	1
51	в связи с	3	1
52	в самой жизни	1	1
53	это не значит	1	1
54	и все они	2	1
55	так же и	1	1
56	так и в	1	1
57	все эти образы	2	1
58	далеко не все	1	1
59	и точном смысле	1	1
60	в нашем смысле	10	1
61	говорить о том	1	1
62	в свою очередь	1	1
63	и независимо от	2	1
64	мы не знаем	1	1
65	но даже и	4	1
66	здесь также и	2	1
67	конечно не только	1	1
68	тех или иных	3	1
69	и весь этот	1	1
70	на самом деле	3	1
71	в буквальном смысле	2	1
72	в том что	8	1
73	к тому же	2	1
74	в этой картине	1	1
