N	2gram	Medvedev_S_1	DiskursI
1	не только	3	28
2	в том	5	23
3	том что	2	19
4	может быть	2	17
5	как и	1	16
6	и в	3	16
7	в этом	5	15
8	еще не	2	14
9	но и	2	14
10	но не	1	11
11	прежде всего	1	11
12	и не	1	11
13	далеко не	2	10
14	с другой	1	10
15	по отношению	2	9
16	не может	1	9
17	с одной	1	9
18	одной стороны	1	9
19	в частности	2	9
20	отношению к	2	9
21	отнюдь не	1	8
22	о том	1	8
23	так и	1	8
24	не было	1	7
25	то же	2	7
26	не в	3	7
27	в его	3	7
28	только в	2	7
29	и как	1	6
30	в силу	1	5
31	в котором	1	5
32	в процессе	1	5
33	по природе	2	5
34	а с	1	5
35	в данном	1	5
36	как бы	2	5
37	а в	1	5
38	то что	2	5
39	в своей	1	5
40	и о	1	4
41	в целом	1	4
42	в них	1	4
43	же время	1	4
44	между тем	1	4
45	что он	1	4
46	связи с	1	4
47	далеко еще	1	4
48	что в	2	4
49	и потому	1	3
50	столь же	1	3
51	перед нами	1	3
52	это не	1	3
53	по себе	1	3
54	в то	1	3
55	таким образом	2	3
56	ли не	1	3
57	в строгом	1	3
58	хотя бы	1	3
59	тем что	1	3
60	именно в	1	3
61	один из	1	3
62	все же	1	3
63	и есть	1	2
64	в сущности	1	2
65	между собой	1	2
66	сказать и	1	2
67	но как	1	2
68	за пределы	2	2
69	жанра и	1	2
70	в этой	1	2
71	строгом значении	1	2
72	он ни	1	2
73	и по	1	2
74	в каждом	1	2
75	иначе говоря	1	2
76	о литературе	3	2
77	не от	1	2
78	по крайней	1	2
79	жанр как	1	2
80	дело не	2	2
81	в наше	1	2
82	и его	1	2
83	крайней мере	1	2
84	же самое	1	2
85	во всяком	1	2
86	и что	2	2
87	наше время	1	2
88	в литературоведении	2	2
89	или даже	2	2
90	никогда не	1	2
91	к которому	2	2
92	зависит от	1	2
93	более чем	3	2
94	они не	1	2
95	могло и	1	1
96	науки о	1	1
97	это и	2	1
98	и должны	1	1
99	но она	1	1
100	конечном счете	1	1
101	в противном	1	1
102	вопросом о	1	1
103	тем же	1	1
104	что это	1	1
105	право на	1	1
106	что она	1	1
107	противном случае	1	1
108	собой не	1	1
109	новое и	1	1
110	и заключается	2	1
111	в мире	1	1
112	входящие в	1	1
113	на все	1	1
114	можно принять	1	1
115	субъект может	1	1
116	со своими	1	1
117	более не	1	1
118	мы не	1	1
119	в этих	1	1
120	как совокупность	1	1
121	и более	1	1
122	том и	1	1
123	не должна	1	1
124	литературы как	1	1
125	даже не	1	1
126	образом в	1	1
127	но только	1	1
128	литературного развития	1	1
129	как будто	2	1
130	что на	1	1
131	точке зрения	1	1
132	и должно	1	1
133	когда мы	1	1
134	объекта и	1	1
135	только то	1	1
136	те же	1	1
137	он говорит	1	1
138	том как	1	1
139	истории литературы	10	1
140	на что	1	1
141	должно было	1	1
142	в конечном	1	1
143	и остаются	1	1
144	наконец в	1	1
145	и мы	2	1
146	система не	1	1
147	в виде	1	1
148	очевидно что	2	1
149	всяком случае	1	1
150	в конце	2	1
151	может служить	1	1
152	выходит за	1	1
153	искусство слова	1	1
154	в области	1	1
155	было бы	2	1
156	еще и	1	1
157	в любой	1	1
158	в связи	1	1
159	с помощью	1	1
160	словесного творчества	1	1
161	в область	1	1
162	научной мысли	1	1
163	исторической поэтики	1	1
164	спросить о	1	1
165	в чем	1	1
166	в смысле	2	1
167	в результате	2	1
168	это как	1	1
169	развития и	1	1
170	или нет	1	1
171	тем более	2	1
172	мы должны	1	1
173	или не	1	1
