N	3gram	Bakhtin_fo_1	DiskursI
1	в том что	2	13
2	по отношению к	3	9
3	с одной стороны	2	9
4	по природе своей	2	5
5	о том что	1	5
6	в отличие от	2	4
7	то же время	9	4
8	к тому же	2	4
9	той или иной	2	3
10	не может быть	3	3
11	и как бы	1	3
12	в свою очередь	1	3
13	существенную роль в	2	3
14	в то же	6	3
15	по своей природе	1	2
16	и того же	5	2
17	том что в	1	2
18	и в особенности	2	2
19	в том числе	4	2
20	в соответствии с	2	2
21	одной стороны и	2	2
22	и не только	2	2
23	сами по себе	1	2
24	том числе и	2	2
25	в значительной степени	1	2
26	в данном случае	1	2
27	не только в	2	2
28	не было в	1	2
29	но в качестве	1	2
30	то есть в	1	2
31	но отнюдь не	1	2
32	одного и того	5	2
33	отнюдь не предполагает	1	1
34	всегда строится на	1	1
35	здесь как и	1	1
36	и может быть	1	1
37	в этом случае	1	1
38	и в различных	1	1
39	на том что	1	1
40	еще и в	1	1
41	в одном ряду	1	1
42	точка зрения на	1	1
43	по исторической поэтике	1	1
44	его таким образом	1	1
45	прежде всего в	1	1
46	дело в том	2	1
47	громадное значение в	1	1
48	также и в	2	1
49	строится на мотивах	1	1
50	как раз и	2	1
51	то есть к	1	1
52	мотивах превращения и	1	1
53	с точки зрения	2	1
54	не было и	2	1
55	по себе они	1	1
56	до сих пор	3	1
57	сказать что жанр	1	1
58	говорит о том	1	1
59	и в то	5	1
60	в строгом смысле	2	1
61	в последующие века	1	1
62	тех случаях когда	1	1
63	вместе с тем	2	1
64	в истории этого	1	1
65	одно и то	3	1
66	не могло быть	3	1
67	что во всех	1	1
68	в xvii веке	2	1
69	превращения и тождества	1	1
70	уже одно это	1	1
71	и т.д эта	1	1
72	значительную роль в	1	1
73	и в том	1	1
74	в основе этих	1	1
75	автора и читателей	1	1
76	в одно и	3	1
77	еще не было	1	1
78	до нас в	3	1
79	во всех этих	1	1
80	отца к сыну	1	1
81	в связи с	5	1
82	и не могло	1	1
83	для подглядывания и	1	1
84	весьма существенную роль	1	1
85	во всяком случае	1	1
86	в новое время	1	1
87	то что происходило	1	1
88	было и не	1	1
89	до наших дней	1	1
90	под углом зрения	2	1
91	в тех случаях	1	1
92	в этом отношении	3	1
93	дошли до нас	1	1
94	от отца к	1	1
95	в нем нет	2	1
96	только в организации	1	1
97	до известной степени	1	1
98	то есть все	1	1
99	так и в	1	1
100	поздней стадии развития	1	1
101	образ сказочного человека	1	1
102	времени и пространства	4	1
103	с самого начала	2	1
104	или во всяком	1	1
105	и все прочие	1	1
106	иное значение чем	1	1
107	на мотивах превращения	1	1
108	и то же	3	1
109	и прежде всего	2	1
110	но все же	2	1
111	во всех его	1	1
112	истории этого жанра	1	1
113	как и в	2	1
114	в себе не	1	1
