N	2gram	Kanaev_Sov_1	formyVre
1	и в	7	46
2	в этом	7	22
3	прежде всего	5	14
4	вовсе не	1	13
5	и его	1	12
6	во всех	1	11
7	только в	1	11
8	не только	4	11
9	точки зрения	12	10
10	в том	4	10
11	но в	3	10
12	как бы	4	10
13	и для	1	9
14	не в	3	9
15	вместе с	4	9
16	и не	6	9
17	мы уже	1	9
18	у него	2	9
19	в связи	1	8
20	как и	6	8
21	жизни и	4	8
22	связи с	1	8
23	то же	3	8
24	в его	2	8
25	с точки	5	8
26	из них	4	8
27	в одном	3	7
28	так сказать	2	7
29	может быть	12	7
30	все же	3	6
31	еще не	3	6
32	и наконец	5	6
33	при этом	3	6
34	и все	3	6
35	и во	2	6
36	здесь в	1	6
37	те же	1	6
38	его в	1	6
39	никогда не	1	6
40	как мы	2	6
41	человека в	1	6
42	все это	3	6
43	так как	4	6
44	все эти	5	5
45	но не	1	5
46	что в	2	5
47	в дальнейшем	4	5
48	в то	1	5
49	с этим	2	5
50	должно быть	1	5
51	в нем	3	5
52	он не	1	5
53	по существу	1	5
54	и у	1	5
55	в своем	1	5
56	в себе	3	4
57	же время	1	4
58	жизни в	1	4
59	же в	1	4
60	и их	1	4
61	отнюдь не	3	4
62	с ним	1	4
63	друг с	2	4
64	все его	1	4
65	с другом	2	4
66	из этих	2	4
67	человека и	1	4
68	еще более	2	4
69	в мире	1	4
70	их в	4	4
71	о том	1	4
72	а не	3	4
73	уже в	3	4
74	конечно не	1	4
75	том что	1	4
76	в другом	1	3
77	таким образом	11	3
78	в этот	1	3
79	не было	1	3
80	кроме того	1	3
81	точка зрения	1	3
82	в большинстве	1	3
83	с помощью	4	3
84	это значит	1	3
85	а в	4	3
86	а затем	1	3
87	нет и	4	3
88	и даже	2	3
89	и прежде	1	3
90	в совершенно	1	3
91	та же	1	3
92	и они	2	3
93	тот же	2	3
94	не является	1	3
95	весь мир	1	3
96	том как	1	3
97	хотя и	1	3
98	уже не	2	3
99	мы будем	1	3
100	роль в	2	3
101	как у	1	3
102	того же	1	3
103	все они	1	3
104	к этому	1	3
105	же самое	2	3
106	и по	2	3
107	форма в	2	2
108	дальнейшем мы	1	2
109	не знает	1	2
110	во всяком	2	2
111	очень часто	1	2
112	говорить о	2	2
113	не может	17	2
114	так же	1	2
115	утверждает что	1	2
116	рядом с	1	2
117	и становится	1	2
118	одна и	1	2
119	сих пор	1	2
