N	2gram	Propp_Isto_5	Analitik
1	в качестве	7	31
2	может быть	17	29
3	в том	6	27
4	не может	6	22
5	и не	11	21
6	в частности	7	19
7	и в	25	18
8	но и	13	17
9	а не	2	17
10	представляет собой	7	16
11	отнюдь не	1	15
12	не только	13	15
13	не в	6	14
14	в этом	10	13
15	как и	7	13
16	в его	12	13
17	при этом	1	12
18	том что	8	12
19	в себе	1	11
20	состоит в	1	11
21	но не	5	10
22	то же	4	9
23	в то	3	9
24	а в	3	9
25	есть не	1	8
26	но в	1	8
27	том чтобы	2	7
28	тем самым	1	7
29	к тому	1	7
30	особого рода	1	7
31	мы имеем	14	6
32	по отношению	2	6
33	отличие от	1	6
34	в самом	1	6
35	это не	6	6
36	точки зрения	2	6
37	в своей	2	6
38	в отличие	1	6
39	в основе	1	6
40	должен быть	2	6
41	в себя	3	6
42	же время	1	6
43	только в	7	6
44	себя в	6	6
45	то что	7	6
46	или иной	1	6
47	прежде всего	6	6
48	в их	1	5
49	и на	8	5
50	и как	3	5
51	в целом	3	5
52	в этой	3	5
53	и его	9	5
54	о том	7	5
55	сводится к	1	5
56	такого рода	1	5
57	как бы	2	5
58	отношению к	2	5
59	что в	8	5
60	того же	2	4
61	из того	1	4
62	все же	10	4
63	с другими	4	4
64	не всегда	4	4
65	с точки	1	4
66	и более	1	4
67	по себе	2	4
68	и соответственно	1	4
69	могут быть	6	4
70	с ним	4	4
71	как правило	1	4
72	на вопрос	1	4
73	с другой	9	4
74	того что	2	4
75	уже не	11	4
76	для того	3	4
77	вместе с	22	4
78	из которых	2	4
79	в литературе	1	4
80	и т	20	3
81	одним из	2	3
82	и есть	1	3
83	между двумя	1	3
84	место в	1	3
85	если в	3	3
86	что как	1	3
87	и к	1	3
88	в нем	7	3
89	он не	4	3
90	в силу	1	3
91	подобно тому	1	3
92	таким образом	9	3
93	при встрече	1	3
94	даже в	2	3
95	смысл и	1	3
96	в ходе	1	3
97	в котором	1	3
98	при рассмотрении	1	3
99	дело не	1	3
100	того чтобы	3	3
101	о нем	3	3
102	в таком	1	3
103	как будто	1	3
104	в состав	1	3
105	если бы	2	3
106	означает что	2	3
107	а также	1	3
108	к нему	3	3
109	еще не	8	3
110	это означает	1	3
111	с одной	7	3
112	вопроса о	1	3
113	от себя	2	3
114	никто не	3	3
115	что и	6	3
116	одной стороны	7	3
117	а именно	4	3
118	а с	1	3
119	что не	1	3
120	человек в	1	3
121	тому как	1	3
122	быть не	1	3
123	что мы	2	3
124	встрече с	1	3
125	и все	3	3
126	хотя бы	1	3
127	что он	22	3
128	том числе	1	3
129	самом деле	2	2
130	на самом	1	2
131	он может	2	2
132	едва ли	1	2
133	также и	1	2
134	той же	1	2
135	а как	2	2
136	на место	1	2
137	на себя	3	2
138	данном случае	2	2
139	на основе	1	2
140	то он	1	2
141	отношение к	1	2
142	как говорит	1	2
143	до его	2	2
144	как к	1	2
145	как уже	1	2
146	его к	3	2
147	в противоположность	1	2
148	то в	2	2
149	в которой	4	2
150	все эти	8	2
151	думать что	1	2
152	свидетельствует о	1	2
153	и по	2	2
154	на этом	3	2
155	и с	3	2
156	из них	2	2
157	вовсе не	2	2
158	так как	11	2
159	несмотря на	2	2
160	для чего	1	2
161	такой же	2	2
162	перед собой	1	2
163	для него	1	2
164	художественного творчества	1	2
165	этого текста	1	2
166	вопрос о	2	2
167	только для	1	2
168	для этого	1	2
169	тогда когда	2	2
170	в процессе	1	2
171	никогда не	3	2
172	потому что	7	2
173	в сознании	1	2
174	как мы	5	2
175	роль в	2	2
176	и о	1	2
177	здесь не	1	2
178	в пределах	4	2
179	представляют собой	3	2
180	в искусстве	1	2
181	и сам	2	2
182	особенно в	2	2
