N	3gram	Nazirov_Tv_2	Mirosoze
1	не может быть	3	17
2	записок из подполья	1	5
3	у достоевского есть	1	5
4	о великом инквизиторе	3	4
5	в творчестве достоевского	4	4
6	у достоевского нет	2	4
7	это и есть	1	4
8	потому что в	1	3
9	в братьях карамазовых	6	3
10	у достоевского это	1	2
11	и ивана карамазова	1	2
12	по отношению к	3	2
13	до сих пор	3	2
14	и не может	2	2
15	в его романах	1	2
16	идей у достоевского	1	2
17	в том смысле	1	2
18	в них нет	1	2
19	xix века в	1	2
20	как будто бы	1	2
21	не могут быть	1	2
22	бога и дьявола	1	2
23	это не значит	1	2
24	в дневнике писателя	2	2
25	он живет в	1	2
26	достоевского прежде всего	1	2
27	в то время	1	2
28	ивана карамазова и	2	2
29	тем что он	1	2
30	в высшей степени	1	2
31	достоевского нет ничего	1	2
32	нет и не	1	1
33	никогда не было	2	1
34	начале xix века	1	1
35	с настасьей филипповной	1	1
36	инквизиторе иван карамазов	1	1
37	кто бы он	1	1
38	в ином мире	1	1
39	в самом деле	2	1
40	в записках из	3	1
41	в начале xix	1	1
42	если он не	1	1
43	так и не	1	1
44	может быть назван	1	1
45	у достоевского в	3	1
46	бы он ни	1	1
47	в отличие от	2	1
48	в романах достоевского	12	1
49	в наше время	2	1
50	начале xx века	1	1
51	и т п	2	1
52	униженных и оскорбленных	1	1
53	но это не	1	1
54	он ни был	1	1
55	в нем нет	1	1
56	сам достоевский в	1	1
57	записках из подполья	3	1
58	достоевского нет никаких	1	1
59	красота спасет мир	1	1
60	всегда и везде	1	1
61	это прежде всего	2	1
62	что красота спасет	1	1
63	достоевский никогда не	2	1
64	есть одно только	1	1
65	великом инквизиторе иван	1	1
66	не только для	1	1
67	у достоевского мы	1	1
68	во всяком случае	2	1
69	человека на путях	1	1
70	достоевский не только	1	1
71	к ней в	1	1
72	и я бы	1	1
73	достоевского как и	1	1
74	как и всякая	1	1
75	записки из подполья	2	1
76	и в том	1	1
77	что он был	1	1
78	в начале xx	1	1
79	том смысле что	1	1
80	нет ничего кроме	1	1
81	преступления и наказания	2	1
82	в мире и	1	1
83	но у достоевского	2	1
84	раскольников не был	1	1
85	и никогда не	1	1
86	нужно сказать что	1	1
87	на путях свободы	1	1
88	и всякий раз	1	1
89	о том что	2	1
90	и ту же	1	1
91	жизни идей в	3	1
92	не значит что	1	1
93	можно было бы	1	1
94	и сам достоевский	1	1
95	и революционный социализм	1	1
96	одну и ту	1	1
97	в том что	2	1
98	была для него	1	1
99	не так как	1	1
