N	2gram	Bakhtin_sl_1	OGranits
1	и в	41	13
2	и его	14	12
3	прежде всего	8	9
4	может быть	14	8
5	не может	14	8
6	и не	16	8
7	в его	13	7
8	и их	1	7
9	точки зрения	16	7
10	эстетический объект	1	7
11	стилистических приемов	1	6
12	только в	6	6
13	как бы	12	6
14	не только	16	6
15	таким образом	9	6
16	художественного произведения	1	5
17	языка и	12	5
18	в материале	1	5
19	все же	7	5
20	и наконец	4	5
21	в поэзии	3	5
22	с точки	8	5
23	в процессе	4	5
24	хотя бы	3	5
25	и эта	2	5
26	мы не	2	4
27	произведения как	3	4
28	социальной группы	2	4
29	слов и	2	4
30	на фоне	7	4
31	но в	8	4
32	то же	14	4
33	лишь в	4	4
34	в сознании	2	4
35	в своей	7	4
36	было бы	3	4
37	все это	5	4
38	только и	1	4
39	в двух	1	4
40	не является	2	4
41	в каждом	4	4
42	связана с	2	3
43	и то	2	3
44	поэтической речи	1	3
45	в ее	2	3
46	в пределах	14	3
47	так и	11	3
48	при анализе	1	3
49	в их	4	3
50	за пределы	4	3
51	с этим	3	3
52	в которой	4	3
53	в себе	3	3
54	языка как	4	3
55	к одному	1	3
56	не как	4	3
57	в одном	2	3
58	так как	3	3
59	одно и	2	3
60	но и	16	3
61	слово в	10	3
62	как и	4	3
63	и уже	1	3
64	точку зрения	3	3
65	не в	7	3
66	да и	1	3
67	поэтического произведения	1	3
68	и для	4	3
69	никогда не	3	3
70	и все	4	3
71	не столько	1	3
72	композиции в	1	2
73	смысле слова	2	2
74	и др	14	2
75	данном случае	3	2
76	представим себе	1	2
77	зависимости от	3	2
78	и может	3	2
79	роль в	2	2
80	конечно в	1	2
81	мы уже	2	2
82	те же	2	2
83	есть не	1	2
84	не исчерпывается	2	2
85	если бы	1	2
86	и делают	1	2
87	языковых форм	1	2
88	и стиль	2	2
89	к предмету	4	2
90	с самого	1	2
91	в ней	4	2
92	а также	2	2
93	и композиции	1	2
94	между тем	2	2
95	категорий но	1	2
96	в общем	1	2
97	нуждается в	1	2
98	в языке	5	2
99	лингвистики в	1	2
100	что они	2	2
101	наконец в	2	2
102	и следовательно	7	2
103	может иметь	1	2
104	его на	1	2
105	как в	8	2
106	в данном	3	2
107	в этом	12	2
108	в том	3	2
109	мы видим	2	2
110	тот же	1	2
111	с ними	3	2
112	в действительности	1	2
113	или иного	2	2
114	все явления	1	2
115	от этого	2	2
116	в этот	1	2
117	в целом	2	2
118	и тем	2	2
119	же слово	3	2
120	все эти	9	2
121	с одной	4	2
122	в нем	30	2
123	связанные с	3	2
124	при этом	6	2
125	языка но	4	2
126	и социально	1	2
127	для него	3	2
128	в другом	2	2
129	вовсе не	7	2
130	в зависимости	3	2
131	о языке	1	2
132	в них	6	2
133	связанных с	4	2
134	литературного языка	20	2
135	с другой	5	2
136	а как	2	2
137	в самом	5	2
138	входит в	4	2
139	того или	2	2
140	может стать	1	2
141	как индивидуальное	1	2
142	одной стороны	4	2
143	он только	1	2
144	литературное произведение	1	2
145	более того	3	2
146	не на	5	2
147	а не	15	2
148	другой стороны	4	2
149	в руках	1	2
150	там где	4	2
151	несмотря на	1	2
152	том что	2	2
153	с помощью	1	2
154	от своего	1	2
155	и ее	3	2
156	так же	2	2
157	в отношении	6	2
158	в языковом	4	2
159	в течение	1	2
160	с этой	3	2
161	слова и	13	2
162	не менее	1	2
163	самого начала	1	2
164	форм и	3	2
165	на язык	2	2
166	пути к	1	2
167	от всех	1	2
168	бы в	1	2
169	во всем	1	2
170	а в	6	2
171	нет ничего	1	2
172	героя и	1	2
173	и к	5	2
174	могут быть	19	2
175	поэтического языка	3	2
176	каждое слово	4	2
177	к тому	3	2
178	данную эпоху	1	1
179	и это	1	1
180	оно может	2	1
181	от произведения	1	1
182	одним из	4	1
183	также и	3	1
184	в словесной	1	1
185	же как	2	1
186	пределах того	4	1
187	и через	1	1
188	себя как	1	1
189	в виду	1	1
190	того же	6	1
191	выражения в	1	1
192	как известно	1	1
193	словами и	1	1
194	науки о	1	1
195	преломления в	1	1
196	самый предмет	1	1
197	и есть	1	1
198	в себя	1	1
199	ту же	4	1
200	индивидуальное высказывание	1	1
201	включает в	1	1
202	сознания с	1	1
203	и до	1	1
204	с языком	2	1
205	не имеют	1	1
206	ведь и	1	1
207	на том	2	1
208	не дано	1	1
209	можно было	2	1
210	остается устойчивым	1	1
211	в нескольких	1	1
212	в несколько	1	1
213	особенно в	1	1
214	или на	1	1
215	монологического высказывания	1	1
216	мы имеем	1	1
217	принимая его	1	1
218	и о	2	1
219	но у	1	1
220	стиля в	2	1
221	как стиль	1	1
222	и философия	1	1
223	разговорного языка	1	1
224	для этого	1	1
225	из одного	2	1
226	выходит за	3	1
227	этой концепции	1	1
228	подхода к	5	1
229	его за	1	1
230	связанное с	1	1
231	с ее	4	1
232	сводится к	1	1
233	языковой жизни	10	1
234	но даже	1	1
235	или только	1	1
236	в действительной	1	1
237	как свой	1	1
238	и он	1	1
239	как замкнутое	1	1
240	слово не	2	1
241	следовательно в	3	1
242	нем с	1	1
243	и что	1	1
244	произведение и	1	1
245	еще не	4	1
246	поэтическое произведение	1	1
247	в широком	2	1
248	столь же	2	1
249	время в	1	1
250	осмысления и	2	1
251	в различных	1	1
252	язык сплошь	1	1
253	в эстетической	1	1
254	и специфические	1	1
255	данного языка	1	1
256	проблем стилистики	1	1
257	и существенного	1	1
258	изучении художественного	1	1
259	к нему	5	1
260	на самом	2	1
261	но не	2	1
262	или иные	3	1
263	точное и	1	1
264	и сквозь	1	1
265	переходит в	3	1
266	и остаются	1	1
267	как своеобразную	1	1
268	борьба с	1	1
269	в помощи	1	1
270	отношение к	7	1
271	слову в	2	1
272	шаблонов и	1	1
273	и место	1	1
274	в едином	1	1
275	богатство и	1	1
276	нет и	1	1
277	или иное	1	1
278	в другой	2	1
279	в свои	1	1
280	и речи	2	1
281	смысловой и	1	1
282	на то	1	1
283	один и	1	1
284	в художественной	1	1
285	в истории	3	1
286	в одной	1	1
287	время ощущается	1	1
288	в своем	3	1
289	как из	1	1
290	то или	1	1
291	по своей	1	1
292	один из	4	1
293	системой языка	1	1
294	пушкина или	1	1
295	моменты в	1	1
296	стилистики в	1	1
297	явления как	1	1
298	выпадают из	1	1
299	стилистика и	2	1
300	его к	1	1
301	одной из	3	1
302	учитывает и	1	1
303	ценностный кругозор	1	1
304	более или	3	1
305	есть его	1	1
306	тенденциям и	1	1
307	чем его	1	1
308	в значительной	1	1
