N	2gram	Berdyaev_N_1	slovoVRo
1	и в	16	39
2	может быть	7	37
3	и его	1	33
4	не только	5	24
5	и не	11	22
6	но и	3	21
7	не может	16	20
8	в нем	5	19
9	в этом	7	16
10	все это	5	16
11	так и	2	15
12	а не	17	14
13	отличие от	1	13
14	как в	3	13
15	слова в	1	13
16	во всех	3	12
17	в отличие	1	12
18	в истории	3	11
19	и с	2	9
20	не в	6	9
21	оно не	1	8
22	себя в	2	8
23	прежде всего	4	8
24	еще не	3	7
25	с его	6	7
26	в этих	1	7
27	с ним	1	7
28	никогда не	6	7
29	могут быть	2	7
30	в его	1	7
31	и даже	2	7
32	и потому	4	7
33	в сущности	1	6
34	но не	2	6
35	в своем	1	6
36	и к	5	6
37	но в	2	6
38	все эти	2	6
39	значительной степени	1	6
40	в них	4	6
41	как и	7	6
42	она не	3	6
43	в значительной	1	6
44	в большинстве	1	6
45	жизни и	8	6
46	человека в	1	5
47	это не	4	5
48	том что	2	5
49	по себе	1	5
50	не могут	1	5
51	но все	1	5
52	мира и	2	5
53	с другой	3	5
54	в том	8	5
55	с одной	2	5
56	конечно не	3	5
57	уже не	2	5
58	и их	1	5
59	одной стороны	2	5
60	большинстве случаев	1	5
61	и для	4	5
62	только в	1	5
63	и все	4	5
64	в зависимости	1	4
65	и на	2	4
66	с другими	1	4
67	в новое	3	4
68	ни в	6	4
69	не менее	4	4
70	в то	2	4
71	одна из	2	4
72	в основе	3	4
73	эти формы	3	4
74	во всем	1	4
75	зависимости от	1	4
76	для этого	2	4
77	для всех	1	4
78	так как	1	4
79	себя и	1	4
80	и мир	1	4
81	xix века	5	4
82	в той	1	4
83	в смысле	2	4
84	а в	2	4
85	как это	2	3
86	должна быть	3	3
87	человека и	3	3
88	говорить о	1	3
89	в чем	1	3
90	к новому	7	3
91	с их	2	3
92	человеке и	1	3
93	не с	1	3
94	лишь в	6	3
95	не столько	1	3
96	в ней	5	3
97	а также	1	3
98	к нему	1	3
99	у него	2	3
100	в свою	1	3
101	может иметь	1	3
102	связано с	1	3
103	стремится к	3	3
104	слова все	1	3
105	и от	2	3
106	но это	6	3
107	что в	9	3
108	хотя бы	2	3
109	сказать что	3	3
110	во всяком	1	3
111	новое время	4	2
112	это и	2	2
113	ведь и	2	2
114	мы уже	1	2
115	мы не	2	2
116	о формах	1	2
117	но она	2	2
118	с ее	5	2
119	всех сторон	4	2
120	на них	1	2
121	не был	1	2
122	менее всего	1	2
123	в новом	2	2
124	за пределы	3	2
125	с этим	2	2
126	хотя и	2	2
127	в себе	2	2
128	эпохи и	4	2
129	роль в	2	2
130	единству и	1	2
131	он не	8	2
132	и более	1	2
133	людей и	1	2
134	в нее	1	2
135	значение в	1	2
136	но он	1	2
137	и общества	2	2
138	того чтобы	2	2
139	к ней	1	2
140	в области	1	2
