N	4gram	Losev_Prob_1	Vvedenie
1	о том что такое	1	5
2	не что иное как	2	4
3	и тем не менее	8	3
4	но в то же	1	3
5	и в самом деле	1	3
6	дело в том что	3	2
7	и т д все	1	2
8	есть не что иное	2	2
9	заключается в том что	1	2
10	т д все это	1	1
11	думать так значило бы	1	1
12	одного и того же	2	1
13	вообще и т д	1	1
14	еще и потому что	1	1
15	именно в этом смысле	1	1
16	и т д и	4	1
17	одно и то же	1	1
18	для того чтобы этот	1	1
19	в связи с этим	1	1
20	если бы оно было	1	1
21	не сам по себе	1	1
22	с тем что в	1	1
23	как бы ее ни	1	1
24	и в этом отношении	1	1
25	и до наших дней	1	1
26	то более то менее	1	1
27	для того чтобы действительно	1	1
28	то же самое и	1	1
29	которая вырастает на почве	1	1
30	в этом смысле и	2	1
31	не говоря уже о	1	1
