N	2gram	Medvedev_S_1	KulturaY
1	и в	3	23
2	в том	5	22
3	не только	3	17
4	в этом	5	16
5	было бы	2	16
6	в области	1	14
7	может быть	2	14
8	что в	2	13
9	в его	3	11
10	том что	2	11
11	и не	1	10
12	еще не	2	9
13	прежде всего	1	9
14	таким образом	2	9
15	хотя бы	1	9
16	все эти	1	7
17	те же	1	7
18	и что	2	7
19	с другой	1	7
20	в данном	1	7
21	не может	1	6
22	так и	1	6
23	связи с	1	6
24	с помощью	1	6
25	по себе	1	6
26	в силу	1	6
27	то же	2	6
28	только в	2	6
29	ничего не	1	6
30	для этого	1	6
31	о том	1	6
32	что он	1	6
33	все же	1	5
34	в связи	1	5
35	вовсе не	1	5
36	и есть	1	5
37	не в	3	5
38	а в	1	5
39	и должно	1	5
40	как и	1	5
41	в чем	1	5
42	тем что	1	5
43	далеко не	2	5
44	тем более	2	5
45	что она	1	5
46	как бы	2	5
47	для нас	3	4
48	только как	2	4
49	в целом	1	4
50	только тогда	1	4
51	не было	1	4
52	в сущности	1	4
53	в своей	1	4
54	вопросом о	1	4
55	между тем	1	4
56	и о	1	4
57	один из	1	4
58	одной стороны	1	4
59	с одной	1	4
60	тому что	1	4
61	то что	2	4
62	столь же	1	4
63	когда мы	1	3
64	должна быть	2	3
65	что это	1	3
66	я и	1	3
67	мы не	1	3
68	только то	1	3
69	но не	1	3
70	и только	3	3
71	время в	1	3
72	но как	1	3
73	это не	1	3
74	но и	2	3
75	они не	1	3
76	это и	2	3
77	отнюдь не	1	3
78	что на	1	3
79	в то	1	3
80	мы должны	1	3
81	очевидно что	2	3
82	а с	1	3
83	именно в	1	3
84	в процессе	1	3
85	в результате	2	3
86	по отношению	2	3
87	по существу	2	3
88	как же	3	3
89	связь между	1	3
90	и более	1	3
91	главным образом	2	2
92	значении слова	1	2
93	а вот	1	2
94	во всяком	1	2
95	именно на	1	2
96	перейти к	1	2
97	но сам	1	2
98	эти два	1	2
99	в область	1	2
100	отношению к	2	2
101	на этот	1	2
102	она может	2	2
103	дает нам	1	2
104	дело не	2	2
105	не дает	1	2
106	и как	1	2
107	его в	1	2
108	иначе говоря	1	2
109	а тем	1	2
110	в таких	1	2
111	быть не	1	2
112	может служить	1	2
113	остается в	1	2
114	более чем	3	2
115	в этих	1	2
116	за пределы	2	2
117	сама по	1	2
118	тем же	1	2
119	что все	1	2
120	что эти	1	2
121	в котором	1	2
122	еще и	1	2
123	в частности	2	2
124	все это	7	2
125	никак не	1	2
126	конечно не	1	2
127	только для	1	2
128	ни на	1	2
129	же это	1	2
130	можно будет	1	2
131	может не	1	1
132	по природе	2	1
133	понимать что	1	1
134	но она	1	1
135	наше время	1	1
136	всему этому	1	1
137	же время	1	1
138	как будто	2	1
139	научной мысли	1	1
140	на тех	1	1
141	ровно ничего	1	1
142	крайней мере	1	1
143	это вовсе	1	1
144	в виде	1	1
145	науки о	1	1
146	даже в	1	1
147	и должны	1	1
148	тех кто	1	1
149	друг от	1	1
150	в смысле	2	1
151	и мы	2	1
152	от друга	1	1
153	на ней	1	1
154	между ними	1	1
155	бы видеть	1	1
156	ли не	1	1
157	или даже	2	1
158	в строгом	1	1
159	между собой	1	1
160	пришлось бы	1	1
161	но только	1	1
162	в него	1	1
163	системы как	1	1
164	изучать в	1	1
165	будет тем	1	1
166	никогда не	1	1
167	не выходит	1	1
168	она должна	1	1
169	противном случае	1	1
170	от общих	1	1
171	и его	1	1
172	влияет на	1	1
173	что без	1	1
174	пишет он	1	1
175	конечном счете	1	1
176	в противном	1	1
177	история литературы	1	1
178	не должна	1	1
179	и потому	1	1
180	всяком случае	1	1
181	это же	1	1
182	в те	1	1
183	конечно только	1	1
184	в конечном	1	1
185	наука но	1	1
186	вряд ли	1	1
187	по крайней	1	1
188	одно дело	2	1
189	или нет	1	1
190	бы о	1	1
191	искусство слова	1	1
192	и будет	1	1
193	слишком много	1	1
194	представить себе	1	1
195	стр в	1	1
196	легко но	1	1
197	тогда и	1	1
198	в систему	1	1
199	формальный метод	1	1
200	для наших	1	1
201	основной вопрос	1	1
202	выходит за	1	1
203	литературе и	1	1
204	в каждом	1	1
205	метод и	2	1
206	перед нами	1	1
207	чуть ли	1	1
208	жанра и	1	1
209	не место	1	1
210	в лучшем	1	1
211	зависит от	1	1
212	литературы и	2	1
213	же самое	1	1
214	далеко еще	1	1
215	так называемым	1	1
