N	2gram	Bakhtin_Pr_2	Mirosoze
1	и в	45	46
2	у достоевского	14	34
3	в нем	20	22
4	у него	6	22
5	может быть	18	21
6	в этом	20	20
7	не только	16	18
8	и не	42	18
9	никогда не	17	18
10	для него	9	18
11	но и	15	15
12	не может	24	15
13	человека в	5	14
14	как и	14	13
15	ведет к	2	13
16	иван карамазов	1	13
17	а не	10	13
18	не есть	2	13
19	друг друга	7	12
20	к человеку	1	12
21	прежде всего	11	12
22	потому что	8	12
23	и он	3	11
24	не было	2	11
25	но он	1	11
26	в ней	7	11
27	у нас	2	11
28	но в	6	10
29	та же	1	10
30	в себе	5	10
31	он не	9	10
32	достоевский был	1	9
33	не в	8	9
34	не знает	4	9
35	и есть	1	8
36	отношение к	8	8
37	в своем	5	8
38	на земле	1	8
39	так как	5	8
40	если нет	2	8
41	она не	5	8
42	переходит в	2	8
43	как бы	15	8
44	но это	2	8
45	для достоевского	4	8
46	человека и	2	7
47	связана с	1	7
48	ивана карамазова	4	7
49	в мире	3	7
50	как в	4	7
51	и к	2	7
52	в нашем	2	7
53	в этой	1	7
54	человек не	1	7
55	хотя бы	5	7
56	и потому	6	7
57	и для	2	7
58	что он	7	7
59	достоевского есть	1	6
60	в бесах	1	6
61	в русской	2	6
62	не могу	1	6
63	он сам	6	6
64	и здесь	2	6
65	жизнь в	1	6
66	так же	5	6
67	того что	3	6
68	и там	1	6
69	жизни и	15	6
70	то же	5	5
71	есть не	1	5
72	я не	6	5
73	друг к	3	5
74	в самом	13	5
75	бы и	3	5
76	и вот	2	5
77	что она	4	5
78	что все	3	5
79	к другу	3	5
80	в своей	6	5
81	в отношении	1	5
82	в конце	4	5
83	достоевский не	3	5
84	русский народ	2	5
85	во всем	1	5
86	и его	8	5
87	к тому	1	5
88	те же	2	5
89	это не	3	5
90	один из	2	5
91	в его	22	5
92	него нет	3	5
93	для того	1	5
94	то что	5	5
95	образ и	1	5
96	и все	1	5
97	с его	8	4
98	есть что-то	1	4
99	думать что	1	4
100	не принимаю	1	4
101	в жизни	3	4
102	том что	7	4
103	жизнь и	3	4
104	тому что	1	4
105	не имеет	3	4
106	свободы и	1	4
107	того чтобы	1	4
108	только и	1	4
109	перед ним	2	4
110	должны быть	1	4
111	они и	2	4
112	что у	4	4
113	так и	3	4
114	для этого	3	4
115	себя в	2	4
116	уже не	6	4
117	что и	5	4
118	в свою	1	4
119	они не	2	4
120	до конца	7	4
121	что в	6	4
122	все что	3	4
123	же как	4	3
124	это и	1	3
125	высшей степени	1	3
126	той же	1	3
127	они были	1	3
128	и на	7	3
129	в чем	2	3
130	менее всего	1	3
131	достоевского не	8	3
132	идея и	1	3
133	он в	1	3
134	творчество достоевского	1	3
135	как он	4	3
136	идеи и	4	3
137	в каждом	4	3
138	и с	7	3
139	его в	3	3
140	с самим	2	3
141	на почве	4	3
142	ни в	2	3
143	в них	4	3
144	в высшей	1	3
145	все равно	1	3
146	всю жизнь	1	3
147	для чего	1	3
148	что было	1	3
149	сам достоевский	2	3
150	любви и	1	3
151	того как	3	3
152	и всегда	2	3
153	и ивана	1	3
154	людей и	2	3
155	достоевский в	5	3
156	только с	1	3
157	достоевским в	2	3
158	себя и	2	3
159	в образе	3	3
160	достоевского о	1	3
161	если бы	2	3
162	с ним	8	3
163	и перед	1	3
164	и должно	1	3
165	о том	3	3
166	не стоит	1	3
167	самого достоевского	2	3
168	что они	3	3
169	в том	8	3
170	только в	9	3
171	есть в	8	3
172	не так	2	3
173	творчестве достоевского	1	3
174	и никогда	1	3
175	тем что	2	3
176	от того	2	3
177	до сих	2	3
178	считает себя	1	3
179	с которым	1	3
180	человек в	3	3
181	в подростке	1	3
182	в творчестве	1	3
183	жизни в	2	3
184	и нет	1	3
185	сих пор	2	3
186	и от	3	3
187	лишь как	1	3
188	отношении к	1	3
189	сказать что	5	3
190	есть и	3	3
191	в своих	4	3
192	и человек	1	3
193	я и	3	2
194	великом инквизиторе	1	2
195	нем нет	1	2
196	отношения к	2	2
197	в обычном	1	2
198	достоевского в	4	2
199	поэтому он	1	2
200	не имеют	1	2
201	лишь одна	1	2
202	с таким	1	2
203	его не	1	2
204	в сфере	2	2
205	идеей и	1	2
206	из подполья	4	2
207	принадлежит к	1	2
208	которая ведет	1	2
209	для нашей	1	2
210	же что	3	2
211	не от	1	2
212	не был	2	2
213	в дневнике	1	2
214	во всех	4	2
215	землю и	1	2
216	по отношению	8	2
217	есть по	1	2
218	она есть	1	2
219	преступление и	2	2
220	в центре	1	2
221	под его	1	2
222	как к	2	2
223	в мысли	1	2
224	хотя и	2	2
225	от этого	1	2
226	от своей	1	2
227	то в	1	2
228	в которой	2	2
229	по достоевскому	3	2
230	момент его	1	2
231	бы не	3	2
232	и тот	1	2
233	достоевского а	1	2
234	в братьях	2	2
235	но на	2	2
236	замыкается в	1	2
237	и если	1	2
238	на его	5	2
239	иваном карамазовым	1	2
240	одной и	1	2
241	на этом	1	2
242	еще более	1	2
243	тут не	2	2
244	лишь в	2	2
245	в единую	1	2
246	федора павловича	1	2
247	еще вернемся	1	2
248	то все	1	2
249	стоит на	1	2
250	достоевского и	2	2
251	а за	2	2
252	не всегда	1	2
253	очень важное	1	2
254	чем в	1	2
255	должно быть	4	2
256	достоевского нет	1	2
257	в этих	4	2
258	как раскольников	1	2
259	точки зрения	19	2
260	ее в	2	2
261	место в	1	2
262	них есть	1	2
263	от его	2	2
264	то перед	1	2
265	и той	3	2
266	которые в	2	2
267	сам он	2	2
268	что есть	1	2
269	в атмосфере	1	2
270	а от	1	2
271	тогда когда	1	2
272	правда в	2	2
273	не овладевает	1	2
274	идеи не	2	2
275	человека от	2	2
276	ничего не	3	2
277	жизни не	1	2
278	связи с	1	2
279	как будто	1	2
280	в основе	2	2
281	нет ни	3	2
282	всегда есть	1	2
283	самим собою	1	2
284	свои силы	1	2
285	можно было	2	2
286	еще в	1	2
287	по себе	8	2
288	вот почему	3	2
289	и поэтому	1	2
290	и та	1	2
291	и что	2	2
292	как ее	2	2
293	в сущности	7	2
294	к нему	11	2
295	это лишь	2	2
296	все время	3	2
297	подобно тому	2	2
298	но с	3	2
299	своей идеи	1	2
300	мы видим	2	2
301	тот же	2	2
302	бы его	1	2
303	а лишь	3	2
304	равно что	1	2
305	он уже	2	2
306	герои достоевского	2	2
307	так что	2	2
308	же и	1	2
309	со своим	1	2
310	уже в	4	2
311	ни одного	3	2
312	и других	3	2
313	человека на	1	2
314	и мир	5	2
315	не о	2	2
316	братьях карамазовых	2	2
317	противоречии с	1	2
318	лишь один	1	2
319	почему достоевский	1	2
320	были бы	2	2
321	или иной	3	2
322	идея о	1	2
323	как у	2	2
324	что человек	1	2
325	мы еще	1	2
326	подполья и	1	2
327	что не	5	2
328	превращается в	4	2
329	и своего	1	2
330	и раскольников	1	2
331	человеческой жизни	2	2
332	личности в	3	2
333	в идиоте	1	2
334	вместе с	1	2
335	в человеке	10	2
336	другу и	1	2
337	не видел	1	2
338	тому как	2	2
339	я никогда	1	2
340	что же	4	2
341	да и	1	2
342	из этой	1	2
343	другого человека	1	2
344	всякий человек	1	2
345	но для	1	2
346	его собственная	1	2
347	в более	1	2
348	раскрывает в	1	2
349	сознания и	6	2
350	его с	2	2
351	ее и	1	2
352	и самое	2	2
353	бы в	5	2
354	дневнике писателя	1	2
355	а в	3	2
356	человеческой природой	1	2
357	к самому	1	2
358	к самым	1	2
359	это все	1	2
360	жизни а	1	2
361	отношению к	8	2
362	и эта	3	2
363	лишь из	1	1
364	в исключительные	1	1
365	и аглая	1	1
366	самом деле	4	1
367	он может	2	1
368	бы для	1	1
369	мере в	1	1
370	с идеей	2	1
371	свою идею	1	1
372	человеческой души	1	1
373	человека достоевский	1	1
374	должна быть	3	1
375	значение но	1	1
376	элемент но	1	1
377	петра верховенского	1	1
378	мы не	1	1
379	выбора и	1	1
380	преступления и	1	1
381	что если	3	1
382	выходит из	1	1
383	не была	1	1
384	души достоевский	1	1
385	еще до	1	1
386	говорить о	1	1
387	и над	1	1
388	на практике	1	1
389	открыть в	1	1
390	х годов	2	1
391	и ее	7	1
392	не знают	2	1
393	смотря на	1	1
394	на мир	2	1
395	духе и	1	1
396	на них	2	1
397	определенный предмет	1	1
398	быть в	2	1
399	в преступлении	2	1
400	можно и	1	1
401	не оставляет	3	1
402	художник и	2	1
403	на определенный	1	1
404	форме но	1	1
405	есть своя	1	1
406	не все	1	1
407	друга и	1	1
408	как со	1	1
409	нет и	3	1
410	в свои	1	1
411	за пределы	5	1
412	этом есть	1	1
413	человек мы	1	1
414	сама по	5	1
415	опыт и	1	1
416	его остались	1	1
417	с этим	1	1
418	своей не	1	1
419	романах достоевского	6	1
420	все остальные	1	1
421	и как	2	1
422	вот на	1	1
423	идею ивана	1	1
424	истины и	3	1
425	не хочет	1	1
426	есть утверждение	1	1
427	ни один	3	1
428	в целом	5	1
429	формы в	2	1
430	замкнутым в	1	1
431	все эти	4	1
432	ее свободу	1	1
433	ее как	1	1
434	за человека	1	1
435	однако же	2	1
436	я всю	1	1
437	человека ибо	1	1
438	собственной идеи	1	1
439	нет уж	1	1
440	в плену	1	1
441	только один	1	1
442	не приводит	1	1
443	на то	2	1
444	ответом на	1	1
445	иван и	1	1
446	не преодолевается	1	1
447	все те	2	1
448	перестает быть	3	1
449	они в	1	1
450	по ту	1	1
451	в последний	1	1
452	ведь не	1	1
453	над которым	1	1
454	у толстого	1	1
455	братья карамазовы	2	1
456	не могли	1	1
457	в плане	1	1
458	что ни	1	1
459	еще сохраняется	1	1
460	образ его	1	1
461	как момент	1	1
462	всех своих	1	1
463	может понять	2	1
464	но все	4	1
465	же не	1	1
466	сознание и	4	1
467	прошлое настоящее	1	1
468	в другом	1	1
469	об этом	3	1
470	их и	3	1
471	самим собой	1	1
472	и оформления	1	1
473	входит в	9	1
474	за собою	1	1
475	на протяжении	3	1
476	его личности	2	1
477	достоевского которые	1	1
478	было бы	4	1
479	он есть	2	1
480	всю свою	1	1
481	к миру	1	1
482	начала и	2	1
483	него мысль	1	1
484	и наказания	1	1
485	он несет	1	1
486	не люблю	1	1
487	достоевский и	1	1
488	она и	3	1
489	он из	1	1
490	к которым	1	1
491	может нас	1	1
492	которой он	1	1
493	нигде не	6	1
494	как угодно	1	1
495	в развитии	2	1
496	она неизбежно	1	1
497	идей он	1	1
498	потому и	1	1
499	же я	1	1
500	достоевского но	3	1
501	и становится	2	1
502	которую он	3	1
503	но если	1	1
504	от своего	1	1
505	сторона его	2	1
506	сознания но	2	1
507	можно найти	2	1
508	не подозревает	1	1
509	в котором	7	1
510	с точки	9	1
511	идеи но	3	1
512	прийти к	1	1
513	в другое	2	1
514	в которых	1	1
515	жизни с	1	1
516	не осуществляется	1	1
517	той мере	1	1
518	ее он	1	1
519	значение для	3	1
520	стало быть	3	1
521	одном из	1	1
522	него не	3	1
523	конечно достоевский	1	1
524	она в	1	1
525	не превращает	1	1
526	земле и	1	1
527	любви тут	1	1
528	и более	2	1
529	их в	7	1
530	их личности	2	1
531	и всякую	1	1
532	все три	6	1
533	путь его	1	1
534	в исступлении	1	1
535	с раскольниковым	3	1
536	иной раз	1	1
537	не встречает	1	1
538	к этим	1	1
539	не по	3	1
540	ли бы	1	1
541	или как	1	1
542	нее нет	1	1
543	и будущее	1	1
544	мыслей и	1	1
545	ту сторону	1	1
546	есть то	1	1
547	своей природе	1	1
548	бы свою	1	1
549	наоборот он	1	1
550	и идеал	1	1
551	одного духа	1	1
552	и алеша	2	1
553	ему и	1	1
554	xix веке	2	1
555	и теперь	1	1
556	был так	1	1
557	в сознании	2	1
558	сами не	1	1
559	хочет быть	1	1
560	того же	1	1
561	до того	1	1
562	уже и	1	1
563	простым материалом	1	1
564	что на	1	1
565	него но	1	1
566	не потому	2	1
567	записок из	1	1
568	бытия не	1	1
569	в нее	1	1
570	есть у	2	1
571	в момент	3	1
572	человека очень	1	1
573	не могут	1	1
574	своей книге	1	1
575	лежит в	2	1
576	бы он	2	1
577	отличается от	1	1
578	для такого	1	1
579	и любить	1	1
580	мысли о	1	1
581	как человек	2	1
582	он видит	1	1
583	по сравнению	2	1
584	все еще	1	1
585	своего отца	1	1
586	человека нет	1	1
587	для себя	3	1
588	и версилов	1	1
589	от человека	1	1
590	зосимы в	1	1
591	как не	5	1
592	человеку в	1	1
593	не хочу	2	1
594	мне нет	1	1
595	всего этого	3	1
596	в ее	3	1
597	к нам	2	1
598	его художественного	4	1
599	говорит об	1	1
600	же идея	2	1
601	говорили что	1	1
602	в пределах	4	1
603	приводит к	1	1
604	идиоте мышкин	1	1
605	дано в	1	1
606	сама идея	1	1
607	в xix	2	1
608	как с	1	1
609	природе своей	2	1
610	и сам	3	1
611	на нее	1	1
612	не с	1	1
613	сознание а	1	1
614	по природе	3	1
615	живет в	1	1
616	его героев	1	1
617	которая была	1	1
618	и каждый	1	1
619	она была	1	1
620	мира и	1	1
621	преступлений и	1	1
622	но у	3	1
623	вступил в	1	1
624	целом мире	1	1
625	в эпоху	1	1
626	в словах	2	1
627	сама она	1	1
628	мысль не	3	1
629	оценок и	1	1
630	с человеком	1	1
631	находится в	2	1
632	сознание не	1	1
633	именно потому	1	1
634	но к	1	1
635	в самой	3	1
636	достоевского все	1	1
637	остались одни	1	1
638	плане в	1	1
639	все в	1	1
640	это в	1	1
