N	3gram	Propp_Isto_6	Otkroven
1	у него в	1	5
2	для того чтобы	1	3
3	в этом мире	1	2
4	что у него	1	2
5	не может быть	3	2
6	ли сказать что	1	2
7	можно ли сказать	1	2
8	но и в	2	2
9	с тем что	1	2
10	смысле этого слова	1	1
11	в другом месте	1	1
12	том что в	2	1
13	все что связано	1	1
14	как бы в	1	1
15	и в том	1	1
16	о том как	3	1
17	и когда он	1	1
18	между этими двумя	1	1
19	и не может	1	1
20	во всяком случае	2	1
21	после того как	2	1
22	о том что	4	1
23	но никогда не	1	1
24	в том что	5	1
25	а иногда и	1	1
26	на то что	1	1
27	и на нем	1	1
28	и с чего	1	1
29	не в форму	1	1
30	и то что	1	1
31	друг с другом	1	1
32	не потому ли	1	1
33	как и в	2	1
34	от того что	1	1
35	он подошел к	1	1
