N	2gram	Losev_Vlad_3	Mirosoze
1	и в	40	46
2	в нем	3	22
3	у него	24	22
4	может быть	8	21
5	в этом	16	20
6	и не	25	18
7	для него	8	18
8	не только	25	18
9	никогда не	11	18
10	не может	14	15
11	но и	18	15
12	как и	7	13
13	а не	8	13
14	не есть	10	13
15	друг друга	2	12
16	прежде всего	10	12
17	потому что	11	12
18	к человеку	1	12
19	но он	1	11
20	не было	5	11
21	и он	1	11
22	у нас	5	11
23	в ней	5	11
24	в себе	9	10
25	та же	1	10
26	он не	8	10
27	но в	4	10
28	не в	3	9
29	он был	2	9
30	если нет	3	8
31	она не	2	8
32	человека к	1	8
33	на земле	1	8
34	в своем	8	8
35	и есть	1	8
36	так как	7	8
37	как бы	3	8
38	но это	6	8
39	человеческой личности	1	7
40	хотя бы	6	7
41	в нашем	2	7
42	как в	1	7
43	человек не	1	7
44	человека и	3	7
45	и потому	10	7
46	в этой	8	7
47	и для	3	7
48	в мире	2	7
49	и к	2	7
50	что он	5	7
51	и здесь	6	6
52	вопрос о	4	6
53	жизни и	1	6
54	так же	8	6
55	что это	9	6
56	он сам	2	6
57	там и	1	6
58	во христе	1	6
59	того что	7	6
60	доходит до	1	6
61	и вот	1	5
62	в духе	3	5
63	и все	4	5
64	в конце	12	5
65	в своей	9	5
66	бы и	4	5
67	те же	1	5
68	совсем не	5	5
69	есть не	2	5
70	к тому	7	5
71	это не	3	5
72	что она	2	5
73	то же	4	5
74	то что	28	5
75	в его	14	5
76	привести к	1	5
77	и его	10	5
78	в отношении	5	5
79	во всем	6	5
80	для того	2	5
81	есть прежде	2	5
82	один из	1	5
83	что все	7	5
84	добра и	1	5
85	по преимуществу	2	5
86	в самом	4	5
87	бога и	1	5
88	него нет	1	5
89	я не	3	5
90	тот кто	1	5
91	и это	6	5
92	свободу и	1	5
93	самого себя	2	4
94	его на	1	4
95	должны быть	1	4
96	они не	1	4
97	так и	6	4
98	думать что	1	4
99	в жизни	2	4
100	жизни это	1	4
101	в свою	1	4
102	вечной жизни	1	4
103	что в	17	4
104	к чему	1	4
105	у них	1	4
