N	3gram	Losev_Dial_3	Komedia
1	в том что	3	9
2	в то время	4	5
3	с другой стороны	2	5
4	к тому же	2	5
5	то время как	4	4
6	в одном из	1	4
7	то же время	1	4
8	в то же	1	4
9	и т д	23	4
10	в этом отношении	1	3
11	речь идет о	1	3
12	с одной стороны	3	3
13	о том что	5	3
14	из всего этого	1	2
15	не говоря уже	2	2
16	то же самое	1	2
17	говоря уже о	2	2
18	до сих пор	1	2
19	т е в	4	2
20	как и в	3	2
21	то ни было	1	2
22	каждый из них	1	2
23	бы то ни	1	2
24	во всяком случае	2	2
25	и таким образом	1	2
26	на то что	3	2
27	я думаю что	1	1
28	том что в	1	1
29	что иное как	6	1
30	хотя и не	2	1
31	в силу этого	2	1
32	как раз на	1	1
33	более или менее	1	1
34	и даже не	1	1
35	подобно тому как	4	1
36	же как и	1	1
37	с этой точки	2	1
38	и не только	3	1
39	следовательно и в	1	1
40	ничего не известно	1	1
41	в зависимости от	2	1
42	сам по себе	5	1
43	это вовсе не	1	1
44	т е явление	1	1
45	с тех пор	2	1
46	в коем случае	3	1
47	в применении к	1	1
48	так же как	2	1
49	в данном случае	1	1
50	с огромной силой	1	1
51	только в виде	1	1
52	так или иначе	2	1
53	и в том	1	1
54	не мог бы	1	1
55	что к нему	1	1
56	этой точки зрения	2	1
57	ни в чем	1	1
58	в сущности и	2	1
59	что у него	1	1
60	ни в коем	3	1
61	и прежде всего	3	1
62	не что иное	6	1
63	к нему с	1	1
64	бы только один	1	1
65	к тому что	2	1
66	тем не менее	10	1
67	и все это	1	1
68	при всем том	1	1
69	ибо и сама	1	1
70	вопрос о взаимоотношении	1	1
