N	2gram	Losev_Dial_3	BTomashe
1	у нас	4	3
2	и не	27	2
3	больше чем	1	2
4	все это	6	2
5	в ней	2	2
6	не то	1	2
7	крайней мере	5	1
8	об исторических	1	1
9	только ли	2	1
10	за пределы	3	1
11	тем более	3	1
12	говорить о	4	1
13	бы только	2	1
14	об этом	6	1
15	и в	24	1
16	не вполне	2	1
17	и о	3	1
18	к ней	1	1
19	что все	14	1
20	говорить не	2	1
21	с другой	4	1
22	на самом	1	1
23	из ее	1	1
24	и нет	7	1
25	было бы	5	1
26	все же	3	1
27	всяком случае	2	1
28	по этим	1	1
29	ли по	1	1
30	свести к	1	1
31	кроме того	6	1
32	никак не	2	1
33	между ними	1	1
34	точке зрения	1	1
35	меньше чем	2	1
36	еще не	2	1
37	и на	3	1
38	одной из	1	1
39	должна быть	6	1
40	прежде всего	8	1
41	в данном	2	1
42	и во	2	1
43	так и	5	1
44	не было	3	1
45	то как	2	1
46	его не	2	1
47	не мешало	1	1
48	совершенно не	2	1
49	далеко не	1	1
50	не о	2	1
51	всего в	1	1
52	а не	26	1
53	что в	7	1
54	другой стороны	2	1
55	творчества и	1	1
56	также не	3	1
57	и ее	3	1
58	по крайней	5	1
59	отнюдь не	10	1
60	таким образом	13	1
61	вопрос о	5	1
62	и более	1	1
63	и потому	2	1
64	не только	23	1
65	во всяком	2	1
66	целиком в	1	1
67	мешало бы	1	1
