N	4gram	Tiupa_Lite_1	SlovoVZh
1	дело в том что	2	4
2	бы то ни было	1	3
3	эти и подобные им	1	2
4	людьми лишь отраженные и	1	1
5	отношения между людьми лишь	1	1
6	все более и более	1	1
7	и закрепленные в словесном	1	1
8	но в то же	1	1
9	отраженные и закрепленные в	1	1
10	со специфической социальной структурой	1	1
11	в то же время	5	1
12	между людьми лишь отраженные	1	1
13	события со специфической социальной	1	1
14	закрепленные в словесном материале	1	1
15	то же время не	1	1
16	одним и тем же	1	1
17	художественного события со специфической	1	1
18	лишь отраженные и закрепленные	1	1
19	какой бы то ни	1	1
