N	2gram	Ircho_Kome_1	Formalny
1	т е	13	34
2	и в	22	24
3	в его	5	23
4	прежде всего	5	22
5	и не	8	20
6	так и	5	18
7	точки зрения	4	16
8	не может	2	16
9	в этом	3	15
10	в нем	4	14
11	может быть	9	14
12	таким образом	8	13
13	и т	9	12
14	в своем	1	11
15	как и	9	11
16	в их	4	11
17	не менее	3	11
18	в ней	1	10
19	то же	6	10
20	вовсе не	2	10
21	и ее	3	10
22	и его	8	10
23	в то	10	9
24	и потому	1	9
25	все это	5	9
26	и на	3	8
27	как в	5	8
28	т д	4	8
29	и с	3	8
30	не в	6	8
31	же время	4	8
32	именно в	4	8
33	то что	2	8
34	в свою	2	8
35	на самом	1	7
36	с ее	2	7
37	не только	10	7
38	место в	3	7
39	жизни и	1	7
40	до конца	2	7
41	но и	11	7
42	еще не	2	6
43	отнюдь не	1	6
44	более или	1	6
45	в целом	3	6
46	в этой	7	6
47	как бы	1	6
48	или менее	2	6
49	в идеологическом	1	6
50	и здесь	2	6
51	до сих	2	6
52	в том	11	6
53	было бы	2	6
54	как это	3	6
55	сих пор	2	6
56	и все	3	6
57	а в	6	6
58	бы ни	1	5
59	хотя бы	1	5
60	во всех	1	5
61	но в	4	5
62	в самом	2	5
63	при этом	5	5
64	по себе	1	5
65	у нас	3	5
66	как мы	4	5
67	непосредственно в	1	5
68	в литературе	1	5
69	того что	1	5
70	только на	1	5
71	со стороны	2	5
72	с другой	5	5
73	и др	1	5
74	формы и	1	5
75	по отношению	3	4
76	в истории	5	4
77	независимо от	2	4
78	и к	1	4
79	в которой	6	4
80	главным образом	3	4
81	в мире	1	4
82	друг друга	1	4
83	как на	1	4
84	для этого	2	4
85	познания и	1	4
86	всяком случае	2	4
87	с одной	3	4
88	т п	5	4
89	одной стороны	3	4
90	в частности	3	4
91	отношению к	3	4
92	с этой	1	4
93	что в	6	4
94	к этой	1	4
95	так же	3	4
96	во всяком	2	4
97	культуры и	1	3
98	мы не	3	3
99	по аналогии	1	3
100	зависимости от	1	3
101	бы то	2	3
102	но не	2	3
103	в общем	1	3
104	отношение к	3	3
105	все же	3	3
106	когда он	1	3
107	целый ряд	1	3
108	и как	3	3
109	в себе	2	3
110	он не	3	3
111	об отражении	1	3
112	так например	1	3
113	в каждом	1	3
114	то ни	2	3
115	на все	2	3
116	его в	3	3
117	в жизни	1	3
118	в них	3	3
119	со всей	1	3
120	они не	1	3
121	в отношении	6	3
122	не по	1	3
123	всего в	3	3
124	к тому	6	3
125	ясно что	4	3
126	особенно в	1	3
127	жизнь и	1	3
128	аналогии с	2	3
129	бы в	1	3
130	говорит он	1	3
131	наконец в	1	3
132	один из	5	3
133	в большинстве	1	3
134	и других	7	3
135	в особенности	1	3
136	и даже	5	3
137	в области	2	3
138	его как	1	3
139	смысле этого	1	3
140	этого слова	1	3
141	в основном	1	3
142	но это	2	3
143	у них	1	3
144	же в	4	3
145	что он	6	3
146	в применении	1	2
147	же как	3	2
148	чтобы не	1	2
149	применении к	1	2
150	и это	1	2
151	тех же	2	2
152	в зависимости	1	2
153	в году	3	2
154	а как	1	2
155	вопрос о	3	2
156	эстетики и	1	2
157	на кого	2	2
158	не найдем	1	2
159	а только	1	2
160	друг от	1	2
161	за пределы	2	2
162	чем же	2	2
163	идет о	3	2
164	с этим	1	2
165	однако не	1	2
166	в действительности	2	2
167	не приходится	1	2
168	он в	1	2
169	остановиться на	1	2
170	и те	1	2
171	не могла	1	2
172	на его	5	2
173	к миру	1	2
174	и вот	4	2
175	и более	1	2
176	действительности на	1	2
177	но все	1	2
178	является конечно	1	2
179	начала и	1	2
180	отражение в	1	2
181	в новое	2	2
182	ни в	6	2
183	в самую	1	2
184	с тем	1	2
185	мы видели	2	2
186	жизни но	1	2
187	в эту	1	2
188	не так	1	2
189	почти не	2	2
190	на всю	3	2
191	на него	4	2
192	следовательно и	1	2
193	ничего не	3	2
194	одна из	2	2
195	к ней	2	2
196	за исключением	3	2
197	во всем	1	2
198	убедиться в	1	2
199	может и	1	2
200	от того	1	2
201	от их	1	2
202	еще одна	1	2
203	стремлением к	1	2
204	его с	1	2
205	от друга	1	2
206	всего этого	2	2
207	в науке	1	2
208	или для	1	2
209	приводит к	1	2
210	каждого из	1	2
211	еще в	5	2
212	с ним	1	2
213	и что	1	2
214	к действительности	1	2
215	между тем	5	2
216	ее от	1	2
217	что и	4	2
218	вполне понятно	1	2
219	в лице	1	2
220	только в	3	2
221	мира как	1	2
222	ни одного	1	2
223	не дает	1	2
224	большинстве случаев	1	2
225	в душе	1	2
226	в одном	8	2
227	в современном	1	2
228	о другой	1	2
229	как раз	3	2
230	даже и	1	2
231	или иначе	1	2
232	вопрос об	1	2
233	здесь в	3	2
234	чтобы убедиться	1	2
235	мира в	1	2
236	все более	3	2
237	вместе с	2	2
238	и особенно	4	2
239	ко всем	1	2
240	одновременно с	1	2
241	по существу	1	2
242	действительности как	1	2
243	к которому	3	2
244	для этой	1	2
245	в результате	4	2
246	места в	1	2
247	ни было	2	2
248	в своих	2	2
249	отношении к	1	2
250	одной из	3	2
251	от литературы	1	2
252	нас не	1	2
253	новое время	3	1
254	а между	1	1
255	ту же	2	1
256	можно говорить	1	1
257	также и	1	1
258	мы здесь	1	1
259	он может	1	1
260	или к	1	1
261	между двумя	1	1
262	из самых	1	1
263	и внешних	1	1
264	также что	1	1
265	из его	4	1
266	в нашу	1	1
267	высшей степени	1	1
268	едва ли	7	1
269	мы уже	1	1
270	той же	1	1
271	в и	2	1
272	со всех	1	1
273	время от	4	1
274	почти все	1	1
275	и новых	1	1
276	это отношение	1	1
277	х годов	3	1
278	ему в	1	1
279	в каждой	1	1
280	создать из	1	1
281	всех сторон	1	1
282	это время	2	1
283	проявляется в	1	1
284	эта борьба	1	1
285	говоря уже	2	1
286	в чем	3	1
287	тем как	2	1
288	но конечно	1	1
289	предисловии к	1	1
290	совсем не	2	1
291	в данном	1	1
292	к которой	1	1
293	не входит	1	1
294	всего это	1	1
295	отдельных писателей	1	1
296	естественно и	1	1
297	и вовсе	1	1
298	в м	1	1
299	направленная против	1	1
300	тем он	1	1
301	что касается	2	1
302	перед нами	1	1
303	хотя и	3	1
304	и материальной	1	1
305	в этот	1	1
306	то в	1	1
307	в условиях	1	1
308	мы получаем	1	1
309	так или	1	1
310	из этих	1	1
311	сущности и	1	1
312	так в	4	1
313	особое место	1	1
314	как он	1	1
315	на то	3	1
316	идей и	1	1
317	не следует	2	1
318	в поэтике	1	1
319	о принципиальной	1	1
320	тем не	2	1
321	в первой	2	1
322	состоит в	1	1
323	к одному	1	1
324	социального типа	1	1
325	понятий и	1	1
326	действительности к	1	1
327	нашего времени	1	1
328	чтобы в	1	1
329	прошлого века	1	1
330	и по	6	1
331	на этом	2	1
332	людей и	1	1
333	конца и	1	1
334	последнее слово	1	1
335	это конечно	1	1
336	они должны	1	1
337	на этой	1	1
338	время и	2	1
339	к природе	1	1
340	уже знаем	1	1
341	должен был	1	1
342	и тем	2	1
343	за ней	1	1
344	между отдельными	1	1
345	материал для	1	1
346	и каждый	1	1
347	который сам	1	1
348	для них	2	1
349	нет в	1	1
350	героя или	1	1
351	ни одной	2	1
352	в высшей	1	1
353	далеко не	1	1
354	его перед	1	1
355	и уже	1	1
356	как целое	1	1
357	такой же	2	1
358	не мог	3	1
359	в этих	1	1
360	отрыве от	1	1
361	и другие	1	1
362	никаких оснований	1	1
363	можно найти	1	1
364	положительное отношение	1	1
365	в котором	4	1
366	из которой	1	1
367	этому же	1	1
368	в отличие	1	1
369	из конкретных	1	1
370	литературной критики	1	1
371	нас только	1	1
372	в силу	2	1
373	задачу не	1	1
374	но он	2	1
375	друг другу	1	1
376	и эти	1	1
377	и почти	1	1
378	не знает	1	1
379	тому что	1	1
380	и очень	1	1
381	в обоих	1	1
382	самого начала	1	1
383	для каждого	1	1
384	в русской	1	1
385	если в	1	1
386	и притом	2	1
387	к этим	3	1
388	и сама	1	1
389	и социальная	1	1
390	которого он	1	1
391	говорить о	1	1
392	того чтобы	1	1
393	и никакой	1	1
394	его от	1	1
395	вся его	1	1
396	правда в	2	1
397	и без	2	1
398	под этим	1	1
399	на себя	2	1
400	борьба между	1	1
401	по своей	2	1
402	п в	1	1
403	потому что	5	1
404	в сознании	3	1
405	этом отношении	3	1
406	мы и	1	1
407	что на	1	1
408	и из	2	1
409	за его	1	1
410	может показаться	1	1
411	уже о	2	1
412	в духе	1	1
413	не могут	1	1
414	и противопоставление	1	1
415	могут быть	3	1
416	от искусства	1	1
417	по возможности	1	1
418	правильный но	1	1
419	этом они	1	1
420	например на	1	1
421	и о	3	1
422	как один	1	1
423	данном случае	1	1
424	только при	2	1
425	то чтобы	1	1
426	с самого	1	1
427	роль в	1	1
428	если они	2	1
429	что у	2	1
430	в годы	6	1
431	поэтому мы	2	1
432	в образе	3	1
433	в нескольких	1	1
434	в борьбе	1	1
435	вкратце остановиться	1	1
436	мог бы	2	1
437	оно все	1	1
438	подойти к	1	1
439	остаться в	3	1
440	все остальные	3	1
441	связанное с	1	1
442	воли и	1	1
443	о ней	1	1
444	в другом	4	1
445	что новое	1	1
446	одного из	6	1
447	а также	4	1
448	в отрыве	1	1
449	и своей	1	1
450	от них	2	1
451	и во	2	1
452	и гг	6	1
453	в форме	2	1
454	вслед за	2	1
455	как художественное	1	1
456	он подобно	1	1
457	как из	3	1
458	к нему	2	1
459	в двух	1	1
460	два основных	1	1
461	в стороне	1	1
462	который в	2	1
463	по мнению	1	1
464	в предисловии	1	1
465	именно на	2	1
466	так что	1	1
467	для всех	2	1
468	себя в	1	1
469	в виде	3	1
470	за счет	3	1
471	в данной	1	1
472	и этическими	1	1
473	из них	10	1
474	участие в	4	1
475	на чужой	1	1
476	мы знаем	2	1
477	мир в	1	1
478	себе в	1	1
479	никто не	1	1
480	представить себе	1	1
481	так как	4	1
482	у него	3	1
483	принципов и	1	1
484	отличие от	2	1
485	этим же	1	1
486	в руки	1	1
487	даже не	2	1
488	за ними	1	1
489	в н	1	1
490	как у	1	1
491	на ее	1	1
492	его себе	1	1
493	литературу и	1	1
494	не один	1	1
495	но ни	1	1
496	что они	4	1
497	эти две	1	1
498	в ряде	1	1
499	во второй	3	1
500	а с	1	1
501	этой роли	1	1
502	его из	1	1
503	и литературной	1	1
504	к науке	1	1
505	а сам	2	1
506	к своему	1	1
507	одну из	2	1
508	несмотря на	4	1
509	были конечно	1	1
510	к его	1	1
511	была борьба	1	1
512	из которых	2	1
513	по своему	3	1
514	если оно	1	1
515	по поводу	4	1
516	с такой	1	1
517	наряду с	2	1
518	в той	1	1
519	нашу задачу	1	1
520	что же	1	1
521	несколько человек	1	1
522	на какой-то	1	1
523	конце прошлого	1	1
524	художественных вкусов	1	1
525	или оценивая	1	1
526	возникновения и	1	1
527	критики и	1	1
528	тех пор	1	1
529	в это	1	1
530	или хотя	1	1
531	уничтожающей критике	1	1
532	между прочим	2	1
533	романа с	1	1
534	при всем	2	1
535	в более	3	1
536	они так	1	1
537	только одна	1	1
538	и для	1	1
539	общественной и	1	1
540	или в	2	1
541	понять что	1	1
542	мира и	1	1
543	которого они	1	1
544	том что	12	1
545	чтобы понять	1	1
546	это уже	1	1
547	к одной	1	1
548	которую он	2	1
549	еще более	1	1
550	с понятием	1	1
551	зрения в	1	1
552	в г	11	1
553	только что	2	1
554	обстоит дело	1	1
555	же собственно	1	1
556	е в	2	1
557	границу между	1	1
558	с ней	1	1
559	не говоря	2	1
560	сказать что	1	1
561	другой стороны	5	1
562	обычно не	1	1
563	совершенно не	1	1
564	автора в	1	1
565	культуры в	1	1
566	формы его	1	1
567	самом начале	1	1
568	время не	1	1
569	ее в	2	1
570	и эта	1	1
571	это в	1	1
572	к этому	4	1
573	доступ к	1	1
574	этой цели	2	1
575	этой точки	1	1
576	том числе	1	1
577	событий в	1	1
