N	2gram	Tiupa_Narr_1	Marksizm
1	точки зрения	10	34
2	может быть	25	26
3	и не	20	26
4	не может	10	24
5	с точки	2	20
6	и в	19	19
7	и его	5	19
8	таким образом	1	17
9	в этом	17	16
10	как бы	4	15
11	в процессе	1	14
12	как мы	3	13
13	языка и	2	13
14	прежде всего	4	13
15	как и	7	12
16	и пр	1	12
17	так и	9	11
18	связи с	4	11
19	и для	2	11
20	самом деле	2	10
21	в нем	4	10
22	в слове	1	10
23	ни было	3	10
24	и т.п	8	10
25	в самом	1	10
26	внутренней речи	1	9
27	лишь в	1	9
28	только в	4	9
29	для него	2	9
30	в результате	2	9
31	бы то	3	8
32	все же	7	8
33	не только	32	8
34	без исключения	2	8
35	при этом	9	8
36	то ни	3	8
37	до сих	1	8
38	но и	23	8
39	сих пор	1	8
40	то что	11	8
41	во всех	1	7
42	в ее	3	7
43	точка зрения	6	7
44	но в	6	7
45	все эти	2	7
46	то же	4	7
47	бытия в	3	7
48	а не	12	7
49	в связи	2	7
50	так же	2	7
51	отнюдь не	5	6
52	так сказать	1	6
53	мы не	1	6
54	и того	1	6
55	в разрезе	1	6
56	ничего не	2	6
57	в пределах	2	6
58	и здесь	1	6
59	в его	9	6
60	в том	18	6
61	в смысле	1	6
62	другой стороны	4	6
63	того же	1	6
64	гуманитарных наук	1	5
65	отличие от	5	5
66	входит в	1	5
67	одного и	1	5
68	в отличие	5	5
69	не в	14	5
70	те же	4	5
71	и все	2	5
72	в начале	1	5
73	в конце	1	5
74	вовсе не	1	5
75	с другой	8	5
76	именно в	6	5
77	настоящего времени	1	5
78	и потому	2	5
79	хотя бы	4	5
80	переход от	4	4
81	оно может	2	4
82	и на	3	4
83	нет и	2	4
84	как в	7	4
85	и тот	2	4
86	к одному	1	4
87	здесь мы	1	4
88	не будет	3	4
89	было бы	4	4
90	не столько	4	4
91	мысли и	1	4
92	не менее	3	4
93	по себе	5	4
94	всех без	1	4
95	внутренней жизни	1	4
96	не является	8	4
97	в единство	1	4
98	в ней	3	4
99	для второго	1	4
100	еще не	7	4
101	от того	1	4
102	этой проблемы	1	4
103	далеко не	5	4
104	как же	1	4
105	в данном	5	4
106	тот же	1	4
107	а в	11	4
108	жизни в	3	4
109	между ними	2	4
110	и эта	1	4
111	сказать что	4	4
112	что в	3	4
113	на самом	1	3
114	он может	1	3
115	и есть	1	3
116	между двумя	5	3
117	действительности и	1	3
118	а как	1	3
119	в сущности	3	3
120	по отношению	7	3
121	один и	1	3
122	и как	5	3
123	и к	1	3
124	в первом	3	3
125	к другому	2	3
126	но все	4	3
127	различие между	2	3
128	его в	2	3
129	от одного	2	3
130	но именно	1	3
131	он не	3	3
132	том что	14	3
133	и ее	2	3
134	не становится	1	3
135	в котором	1	3
136	более того	1	3
137	место в	1	3
138	является в	1	3
139	в то	3	3
140	к этим	1	3
141	все без	1	3
142	для всего	1	3
143	не имеет	2	3
144	же время	4	3
145	этом отношении	3	3
146	в области	2	3
147	не могут	1	3
148	же самое	1	3
149	не есть	3	3
150	не существует	3	3
151	сводится к	3	3
152	одного из	4	3
153	можно сказать	5	3
154	с другими	1	3
155	здесь в	1	3
156	того что	1	3
157	быть и	1	3
158	одной из	4	3
159	нуждается в	5	3
160	в какой	2	3
161	между тем	3	3
162	не дает	1	3
163	из них	3	3
164	лишь для	1	3
165	или иной	5	3
166	не было	2	3
167	к другой	2	3
168	для первого	1	3
169	и формы	1	3
170	и от	1	3
171	речевого общения	1	3
172	нет ничего	1	3
173	она может	2	3
174	не утрачивая	1	3
175	и при	1	3
176	речи и	1	3
177	совершенно не	2	3
178	первом случае	2	3
179	они еще	1	3
180	это и	3	3
181	одним из	2	2
182	же как	3	2
183	в какой-то	1	2
184	мы уже	1	2
185	точкой зрения	2	2
186	таком случае	2	2
187	совпадает с	1	2
188	и он	3	2
189	свою очередь	3	2
190	в чем	1	2
191	во внешнем	2	2
192	одним словом	1	2
193	не все	5	2
194	данный момент	1	2
195	как к	2	2
196	в своем	2	2
197	в действительности	1	2
198	глава вторая	1	2
199	от этого	1	2
200	то в	6	2
201	друга в	1	2
202	формы в	1	2
203	из этих	3	2
204	в себе	8	2
205	тем не	3	2
206	он ни	1	2
207	должна быть	2	2
208	в понимании	1	2
209	не как	2	2
210	может существовать	1	2
211	можно было	2	2
212	человека в	2	2
213	что все	1	2
214	в другом	1	2
215	и с	4	2
216	и иных	1	2
217	этом смысле	1	2
218	ни в	3	2
219	в общей	2	2
220	от него	1	2
221	жизни но	2	2
222	на первый	2	2
223	имеет место	4	2
224	точку зрения	4	2
225	другом и	2	2
226	и более	1	2
227	зрения и	2	2
228	в русской	1	2
229	и сама	1	2
230	в основе	5	2
231	не могло	2	2
232	одна из	3	2
233	людей так	1	2
234	связь и	1	2
235	и является	1	2
236	точке зрения	1	2
237	у нас	1	2
238	могут быть	3	2
239	числе и	4	2
240	к тому	7	2
241	они и	1	2
242	она не	2	2
243	с ее	3	2
244	в виду	1	2
245	зрения не	1	2
246	речевых жанров	4	2
247	никогда не	3	2
248	по аналогии	1	2
249	мог бы	3	2
250	между собой	2	2
251	если бы	1	2
252	и вообще	1	2
253	и даже	3	2
254	к языку	1	2
255	и т.д	7	2
256	о том	6	2
257	за пределами	1	2
258	и во	1	2
259	этот момент	1	2
260	во втором	4	2
261	что и	1	2
262	и взаимодействия	1	2
263	и только	2	2
264	в литературе	2	2
265	там и	1	2
266	в двух	2	2
267	что он	6	2
268	в качестве	21	2
269	и др	2	2
270	глава первая	1	2
271	речевой акт	2	2
272	мы можем	1	2
273	как раз	2	2
274	тем что	3	2
275	в данный	1	2
