1	о том что	5	9
2	то же время	2	8
3	и т п	18	8
4	в то же	2	8
5	по отношению к	8	8
6	в том что	15	6
7	к тому что	2	4
8	можно было бы	3	4
9	в самом деле	7	4
10	с точки зрения	9	3
11	тем не менее	4	3
12	в связи с	3	3
13	и т д	14	3
14	в этом отношении	5	3
15	и в самом	2	3
16	та или иная	1	3
17	только в том	3	2
18	до сих пор	4	2
19	не только в	1	2
20	того или иного	3	2
21	о том как	3	2
22	не может быть	3	2
23	что же касается	4	2
24	речь идет о	2	2
25	не в том	4	2
26	вместо того чтобы	1	2
27	несет на себе	1	2
28	на то что	2	2
29	для своего времени	1	2
30	так или иначе	2	2
31	в первую очередь	2	2
32	только потому что	6	2
33	самом деле в	1	2
34	все той же	1	1
35	и потому что	2	1
36	нас в том	1	1
37	в том смысле	1	1
38	в иных случаях	2	1
39	было бы ошибочно	1	1
40	в этом смысле	3	1
41	так и в	2	1
42	не только потому	1	1
43	тогда как в	1	1
44	них уже не	1	1
45	для себя и	1	1
46	вбирая в себя	1	1
47	в отличие от	1	1
48	потому что оно	1	1
49	было ясно что	1	1
50	друг от друга	1	1
51	том что он	4	1
52	сами по себе	1	1
53	т п все	1	1
54	ни то ни	1	1
55	и в то	1	1
56	еще и потому	1	1
57	в свою очередь	3	1
58	потому что он	1	1
59	том что когда	1	1
60	это еще не	1	1
61	с этой точки	1	1
62	на себе печать	1	1
63	в свое время	2	1
64	ничего общего с	1	1
65	то ни другое	1	1
66	по своему содержанию	1	1
67	более или менее	3	1
68	том случае если	1	1
69	ни другое не	1	1
70	на том что	1	1
71	не в этом	1	1
72	с одной стороны	1	1
73	на самом деле	2	1
74	том что я	1	1
75	а в том	2	1
76	но все же	2	1
77	в том случае	1	1
78	состоит в том	3	1
79	не случайно ведь	1	1
80	прежде всего на	1	1
81	не укладывается в	1	1
82	убеждает нас в	1	1
83	во всяком случае	5	1
84	которое было ему	1	1
85	вследствие того что	1	1
86	но еще и	1	1
87	не раз он	1	1
88	в первом случае	1	1
89	в себе и	1	1
90	не потому что	3	1
91	на наших глазах	1	1
92	в том и	2	1
93	потому что не	2	1
94	в письме к	1	1
95	с тем что	1	1
96	в это время	1	1
97	и там где	1	1
98	того что он	1	1
99	в стороне от	1	1
100	уже на пороге	1	1
101	этой точки зрения	2	1
102	т е все	1	1
103	к тому чтобы	1	1
