N	3gram	Bakhtin_Pr_5	Tragedij
1	то же время	10	5
2	в то же	10	5
3	так и в	2	3
4	по замыслу достоевского	7	2
5	в записках из	1	2
6	в отличие от	2	2
7	о чем он	1	2
8	в данном случае	1	2
9	но в то	4	2
10	и как бы	1	2
11	между этими двумя	1	2
12	не в силах	2	2
13	о том что	1	2
14	и в самом	3	2
15	но все же	2	2
16	в том что	2	2
17	с первого же	1	2
18	в этом случае	1	1
19	как и его	1	1
20	а между тем	3	1
21	а как самоцель	1	1
22	с отцом и	1	1
23	для чего же	1	1
24	в виде отдельных	1	1
25	понятно что в	1	1
26	потому что сам	2	1
27	я очень хорошо	1	1
28	том что он	1	1
29	ориентацией в мире	1	1
30	же время он	1	1
31	и то в	1	1
32	у него нет	1	1
33	и не может	2	1
34	он вообще не	1	1
35	сам по себе	2	1
36	что он не	1	1
37	мы бы сказали	1	1
38	и то что	1	1
39	за то что	1	1
40	из подполья это	1	1
41	что все это	2	1
42	это как бы	1	1
43	записках из подполья	1	1
44	во всяком случае	4	1
45	в высшей степени	3	1
46	в конце концов	3	1
47	смысле этого слова	2	1
48	и если б	1	1
49	в чем же	1	1
50	и в этом	2	1
51	тем не менее	1	1
52	и пусть пусть	1	1
53	то что он	1	1
54	что я не	1	1
55	в мире достоевского	3	1
56	и с другим	2	1
57	не может быть	3	1
58	если б я	2	1
59	но в конце	1	1
60	как и все	2	1
61	и вместе с	1	1
62	с самого начала	8	1
63	не только не	1	1
64	к ивану карамазову	1	1
65	в самом деле	1	1
66	быть по замыслу	1	1
67	я не хочу	2	1
68	в самом тоне	1	1
69	на всем протяжении	1	1
70	в братьях карамазовых	3	1
71	к тому что	1	1
72	в исповеди ставрогина	1	1
73	как и в	1	1
