N	2gram	Tiupa_Narr_1	Otkroven
1	он не	3	4
2	в самой	1	3
3	от него	1	2
4	для него	2	2
5	достоевского и	1	2
6	различие между	2	2
7	в этом	17	2
8	а не	12	2
9	отношение к	2	1
10	в другом	1	1
11	в самую	2	1
12	он видит	1	1
13	он сам	2	1
14	и пережил	1	1
15	прошел через	1	1
16	которой в	1	1
17	у него	4	1
18	с богом	1	1
19	как и	7	1
20	также и	1	1
21	мысли и	1	1
22	но он	1	1
23	в уста	1	1
24	должен был	1	1
25	говорит о	2	1
26	если бы	1	1
27	его и	1	1
28	и эта	1	1
29	и он	3	1
30	есть не	1	1
31	и в	19	1
32	это не	2	1
33	не есть	3	1
34	но и	23	1
35	не только	32	1
36	одна из	3	1
37	никогда не	3	1
38	было для	1	1
39	его в	2	1
