N	2gram	Propp_Isto_5	ViktorSh
1	в книге	3	3
2	и в	25	2
3	том что	8	2
4	в том	6	2
5	в конце	1	2
6	и только	1	1
7	под влиянием	2	1
8	хотя бы	1	1
9	и не	11	1
10	и его	9	1
11	потому что	7	1
12	я не	1	1
13	даже не	1	1
14	сводится к	1	1
15	самом деле	2	1
16	все это	4	1
17	совершенно ясно	4	1
18	главным образом	1	1
19	в их	1	1
20	как же	1	1
21	с большой	2	1
22	в частности	7	1
23	так в	2	1
24	стоит на	1	1
25	время в	2	1
26	ведь это	1	1
27	в которых	3	1
28	с головой	1	1
29	в самом	1	1
30	только в	7	1
31	то же	4	1
32	говорится в	1	1
33	ясно что	5	1
34	так как	11	1
35	не будем	5	1
36	но это	7	1
37	в этом	10	1
38	они на	1	1
39	на одном	2	1
40	по существу	2	1
41	к этому	2	1
