N	3gram	Vinokur_Ku_1	Psycholo
1	в самом деле	7	18
2	на то что	2	12
3	в том что	15	11
4	и в самом	2	10
5	с точки зрения	9	9
6	для того чтобы	15	8
7	в сущности говоря	1	7
8	мы увидим что	2	7
9	все то что	1	6
10	заключается в том	2	6
11	до сих пор	4	5
12	и т п	18	5
13	с одной стороны	1	5
14	с другой стороны	6	5
15	и т д	14	4
16	о том что	5	3
17	речь идет о	2	3
18	о том как	3	2
19	и все те	1	2
20	должны были бы	1	2
21	в какой мере	1	2
22	заключается не в	1	2
23	а вовсе не	1	2
24	на самом деле	2	2
25	только в том	3	2
26	в наше время	1	2
27	вместе с тем	3	2
28	не то что	1	2
29	одно и то	1	2
30	на наших глазах	1	2
31	смысле этого слова	1	2
32	и то же	1	2
33	не в том	4	2
34	во всяком случае	5	2
35	потому что они	1	2
36	вовсе не в	1	2
37	и вместе с	1	2
38	в свою очередь	3	2
39	и мы увидим	1	2
40	совершенно прав когда	1	2
41	к тому что	2	2
42	в том смысле	1	2
43	по аналогии с	1	2
44	том что она	1	1
45	в том виде	1	1
46	но все же	2	1
47	таким образом если	1	1
48	потому что он	1	1
49	как мы можем	1	1
50	том виде какой	1	1
51	что в этом	1	1
52	это на примере	1	1
53	того что в	2	1
54	это было бы	1	1
55	более или менее	3	1
56	имеем в виду	1	1
57	и может быть	1	1
58	и если мы	1	1
59	было бы назвать	1	1
60	в том и	2	1
61	с более или	1	1
62	никак не может	1	1
63	внимание на то	2	1
64	том что оно	2	1
65	того или иного	3	1
66	в силу того	2	1
67	и в той	1	1
68	как раз к	1	1
69	в зависимости от	5	1
70	есть в сущности	1	1
71	в отличие от	1	1
72	в том случае	1	1
73	с гораздо большей	1	1
74	в этом отношении	5	1
75	но они не	1	1
76	с тем чтобы	1	1
77	и если бы	1	1
78	с тем что	1	1
79	чтобы указать на	1	1
80	обратить внимание на	2	1
81	т п с	1	1
82	можно было бы	3	1
83	прав когда указывает	1	1
84	ни в какой	1	1
85	того чтобы с	1	1
86	с этой точки	1	1
87	и есть в	2	1
88	том случае если	1	1
89	в применении к	1	1
90	которые могли бы	1	1
91	не потому что	3	1
92	казалось бы не	1	1
93	что это есть	1	1
94	состоит в том	3	1
95	а с другой	3	1
96	и ничего не	1	1
97	дело не в	1	1
98	заинтересован в том	1	1
99	мере в какой	5	1
100	то же слово	1	1
101	самом деле в	1	1
102	что несмотря на	1	1
103	этой точки зрения	2	1
104	в тех случаях	2	1
105	а в том	2	1
106	и все же	1	1
107	очевидно что в	1	1
108	в русском языке	4	1
109	том смысле что	1	1
110	в том чтобы	8	1
111	что в ней	1	1
112	в сторону от	2	1
113	хотя бы в	4	1
114	когда указывает на	1	1
115	к тому чтобы	1	1
116	так что в	1	1
117	потому что она	1	1
118	как раз обратное	1	1
119	того как мы	1	1
120	не может быть	3	1
121	только для того	1	1
122	своего времени в	1	1
123	не в этом	1	1
124	что именно этот	1	1
125	здесь в виду	1	1
