N	3gram	Nazirov_Tv_2	Psycholo
1	в самом деле	2	18
2	в том что	2	11
3	с самого начала	1	6
4	до сих пор	3	5
5	и т п	2	5
6	с другой стороны	2	5
7	и т д	11	4
8	и в этом	1	3
9	мы уже говорили	1	3
10	о том что	2	3
11	о том как	1	2
12	мы видим в	1	2
13	от своего имени	1	2
14	только то что	1	2
15	из этого рассказа	1	2
16	в наше время	2	2
17	не то что	1	2
18	он говорит что	1	2
19	на наших глазах	1	2
20	во всяком случае	2	2
21	что у него	1	2
22	потому что они	1	2
23	мы не можем	1	2
24	в то время	1	2
25	в свою очередь	1	2
26	в том смысле	1	2
27	и в другом	1	2
28	то все же	1	1
29	не так как	1	1
30	потому что в	1	1
31	смысле что это	1	1
32	в первой части	2	1
33	того или иного	1	1
34	мы больше не	1	1
35	в отличие от	2	1
36	мы понимаем что	1	1
37	и если бы	1	1
38	можно было бы	1	1
39	так сказать в	1	1
40	в применении к	1	1
41	уже говорили о	1	1
42	и что в	1	1
43	не зависит от	1	1
44	нашу мысль на	1	1
45	противоречии с этой	1	1
46	а с другой	1	1
47	попавших в беду	1	1
48	лежит в плане	1	1
49	в целом ряде	1	1
50	кто из них	1	1
51	в этом плане	1	1
52	так например в	1	1
53	и тут же	1	1
54	том смысле что	1	1
55	а в плане	1	1
56	чего он не	1	1
57	но тот же	1	1
58	мы знаем что	1	1
59	или во всяком	1	1
60	будто бы не	1	1
61	в предисловии к	1	1
62	не может быть	3	1
63	на то чтобы	1	1
64	в высшей степени	1	1
65	к тому же	1	1
66	место в романе	1	1
67	целом ряде случаев	1	1
68	и только для	1	1
