N	3gram	Nazirov_Tr_1	Formalny
1	не может быть	1	14
2	в то же	5	7
3	то же время	5	7
4	во всяком случае	1	6
5	и т п	1	5
6	в самом деле	1	4
7	и не может	1	4
8	в данном случае	2	4
9	в связи с	1	4
10	в этом романе	1	3
11	обстоит дело с	1	3
12	в том что	2	3
13	как и все	1	2
14	в отличие от	2	2
15	в высшей степени	1	2
16	так и в	3	2
17	не только не	1	2
18	к тому что	1	2
19	тем не менее	1	2
20	смысле этого слова	1	2
21	в конце концов	1	2
22	романа и его	1	1
23	и до конца	1	1
24	в этом случае	1	1
25	хотя бы и	1	1
26	это не просто	1	1
27	сам по себе	1	1
28	начала и до	1	1
29	не является необходимой	1	1
30	но при этом	1	1
31	и вместе с	1	1
32	связаны между собой	1	1
33	в жизнь и	1	1
34	о том что	2	1
35	в той же	1	1
36	и все же	1	1
37	объясняется тем что	1	1
38	с самого начала	1	1
39	и в самом	2	1
40	но все же	2	1
41	с тем и	1	1
42	сводится только к	1	1
43	с начала и	1	1
44	друг друга и	1	1
45	как и в	1	1
