N	3gram	Trubetskoy_1	Tragedij
1	то же время	10	5
2	в то же	10	5
3	точно так же	2	2
4	и в частности	1	2
5	в данном случае	3	2
6	но в то	1	2
7	и как бы	1	2
8	о том что	2	2
9	но все же	1	2
10	в том что	7	2
11	в этом случае	3	1
12	а между тем	5	1
13	в такое время	1	1
14	и не может	3	1
15	что он не	2	1
16	и то что	3	1
17	за то что	1	1
18	в борьбе за	1	1
19	что все это	1	1
20	никогда не был	1	1
21	в применении к	1	1
22	одна из тех	1	1
23	во всяком случае	6	1
24	в конце концов	3	1
25	смысле этого слова	1	1
26	в этом состоит	1	1
27	но при этом	1	1
28	и должно быть	1	1
29	самое большее что	1	1
30	и в этом	1	1
31	тем не менее	1	1
32	прежде всего необходимо	1	1
33	в связи с	1	1
34	не только к	2	1
35	не только сам	1	1
36	не может быть	4	1
37	и все же	1	1
38	народ может быть	1	1
39	отнюдь не является	1	1
40	и вместе с	2	1
41	это и есть	1	1
42	с самого начала	1	1
43	в самом деле	1	1
44	несмотря на все	1	1
45	к тому что	2	1
