N	4gram	Tiupa_Teor_1	formyVre
1	в то же время	5	6
2	одного и того же	3	5
3	и в то же	1	4
4	одно и то же	1	3
5	дело в том что	1	2
6	в том числе и	1	2
7	в нашем случае в	1	1
8	в той или иной	1	1
9	имеет место слияние пространственных	1	1
10	мы имеем в виду	3	1
11	с самим собою в	1	1
12	в одном и том	1	1
13	в осмысленном и конкретном	1	1
14	как раз в том	1	1
15	было и не могло	1	1
16	хронотопе имеет место слияние	1	1
17	и временных примет в	1	1
18	человека с самим собою	1	1
19	пространственных и временных примет	1	1
20	примет в осмысленном и	1	1
21	в том специфическом значении	1	1
22	осмысленном и конкретном целом	1	1
23	временных примет в осмысленном	1	1
24	не может быть и	1	1
25	слияние пространственных и временных	1	1
26	место слияние пространственных и	1	1
27	не было и не	1	1
28	одном и том же	1	1
29	но дело в том	1	1
30	и не могло быть	2	1
31	но в то же	1	1
32	в том что в	1	1
