N	3gram	Losev_Vesc_1	FransuaR
1	в то же	1	6
2	с точки зрения	3	5
3	не только в	4	5
4	до сих пор	1	4
5	не может быть	6	4
6	в этом отношении	1	3
7	и во всех	1	3
8	с одной стороны	3	3
9	в свое время	2	3
10	о том что	4	3
11	нужно сказать что	1	3
12	с другой стороны	2	3
13	можно сказать что	3	2
14	но даже и	2	2
15	только то что	2	2
16	в себе и	1	2
17	в собственном смысле	2	2
18	содержит в себе	4	2
19	по сравнению с	6	2
20	во всяком случае	2	2
21	подобно тому как	4	2
22	она и есть	1	1
23	только потому что	1	1
24	и без всякого	2	1
25	дело в том	2	1
26	а затем и	2	1
27	как и прежде	1	1
28	мы уже сказали	1	1
29	одной стороны и	1	1
30	ни в коем	1	1
31	на что не	1	1
32	на самом же	1	1
33	не относится к	1	1
34	ни с кем	1	1
35	есть то что	4	1
36	даже и не	1	1
37	в коем случае	1	1
38	этом отношении они	1	1
39	в том чтобы	1	1
40	в себя момент	1	1
41	и в особенности	1	1
42	в конце концов	2	1
43	по существу и	1	1
44	один из наиболее	1	1
45	в чем же	3	1
46	друг с другом	1	1
47	это одна из	1	1
48	и во всей	1	1
49	была как бы	1	1
50	ни на что	1	1
51	мы видели что	1	1
52	самом деле в	1	1
53	а и в	7	1
54	даже и в	1	1
55	не только не	2	1
56	с полной очевидностью	1	1
57	мы будем говорить	1	1
58	самом же деле	1	1
59	в новое время	1	1
60	на то что	2	1
61	к действительности и	1	1
62	в смысл и	1	1
63	не только то	1	1
64	для того чтобы	2	1
65	в себе в	2	1
66	в том что	4	1
67	только тогда когда	2	1
68	все к чему	1	1
