N	2gram	Bakhtin_Pr_1	Retstnzi
1	не может	12	4
2	и в	29	3
3	один из	2	2
4	достоевского и	7	2
5	нет и	1	1
6	лежащие в	2	1
7	в особенности	1	1
8	себе все	1	1
9	смысл и	1	1
10	и не	31	1
11	тому что	3	1
12	не только	15	1
13	ни один	3	1
14	художественного произведения	1	1
15	связи с	2	1
16	этой проблемы	1	1
17	точки зрения	19	1
18	конечно и	2	1
19	во второй	1	1
20	но и	14	1
21	из социологического	1	1
22	с другими	7	1
23	ничего кроме	1	1
24	не из	3	1
25	по своим	2	1
26	в ней	2	1
27	может и	1	1
28	в то	10	1
29	с точки	13	1
30	подхода к	1	1
31	и на	7	1
32	для него	18	1
33	мы видим	2	1
34	и больше	1	1
35	как художественная	2	1
36	второй части	1	1
37	к тому	1	1
38	художественной структуры	1	1
39	а не	22	1
40	может быть	24	1
41	вполне понятно	1	1
42	осуществления в	1	1
43	несмотря на	6	1
44	в его	24	1
45	он в	3	1
46	же время	9	1
47	конкретного осуществления	1	1
48	то же	14	1
49	и все	1	1
50	из этих	1	1
51	нуждаются в	1	1
52	если бы	9	1
53	в каждом	8	1
54	бы в	3	1
