N	3gram	Bakhtin_KF_1	Morfolog
1	не может быть	11	8
2	по отношению к	22	4
3	с точки зрения	9	4
4	тем не менее	2	4
5	в первом случае	1	3
6	и пр и	1	3
7	независимо от того	1	3
8	на самом деле	3	3
9	там где оно	1	2
10	в настоящее время	1	2
11	может быть и	1	2
12	это не значит	1	2
13	к чему не	2	2
14	ни к чему	2	2
15	в большинстве случаев	1	2
16	не значит что	1	2
17	для того чтобы	1	2
18	в том что	2	2
19	быть рассмотрена как	1	1
20	и ни к	1	1
21	и может быть	2	1
22	нужно помнить что	1	1
23	есть на самом	2	1
24	уже не может	2	1
25	между прочим и	1	1
26	небо и землю	1	1
27	он может быть	2	1
28	это нисколько не	1	1
29	он не дает	1	1
30	это уже не	1	1
31	она может быть	1	1
32	то прежде всего	1	1
33	точки зрения его	1	1
34	бы то ни	2	1
35	и небо и	1	1
36	но это не	1	1
37	в противном случае	1	1
38	лишь постольку поскольку	1	1
39	в том случае	1	1
40	чему не обязывающий	1	1
41	там где есть	1	1
42	к нему в	4	1
43	в целом и	2	1
44	и этот момент	1	1
45	может быть дано	1	1
46	может быть рассмотрена	1	1
47	этого не знает	1	1
48	во всяком случае	1	1
49	мы имеем здесь	1	1
50	вместо того чтобы	1	1
51	в целом может	1	1
52	в целом не	1	1
53	она могла бы	2	1
54	во всех этих	2	1
55	то же время	2	1
56	в одном случае	1	1
57	но никто не	1	1
58	трудная задача и	1	1
59	он не может	1	1
60	той или иной	2	1
61	на то что	1	1
62	в другом случае	1	1
63	в то же	2	1
64	к тому что	1	1
65	должен знать о	1	1
66	дело не в	1	1
67	но в этом	1	1
68	всех этих случаях	1	1
69	что и в	1	1
70	могло бы быть	1	1
71	целом может быть	1	1
72	не имеет смысла	1	1
