N	2gram	Savitsky_E_1	formyVre
1	и в	37	50
2	то есть	6	33
3	в этом	12	25
4	в нем	1	24
5	и его	1	16
6	прежде всего	9	15
7	как мы	5	14
8	и не	14	14
9	в его	2	13
10	вовсе не	6	13
11	так и	10	12
12	то же	15	11
13	таким образом	2	11
14	может быть	6	11
15	и как	2	10
16	но в	14	10
17	с его	1	9
18	все эти	1	9
19	не только	18	9
20	в то	16	9
21	же время	14	9
22	в том	11	9
23	в других	2	9
24	и т	1	8
25	того же	3	8
26	и на	6	8
27	в самом	4	8
28	жизни в	3	8
29	его жизни	1	8
30	но и	14	8
31	и их	1	8
32	как и	7	8
33	жизни и	2	8
34	для себя	1	7
35	времени в	1	7
36	и во	2	7
37	не было	1	7
38	например в	1	6
39	время в	3	6
40	во всех	6	6
41	как в	3	6
42	с этим	2	6
43	все же	1	6
44	лишь в	1	6
45	и того	2	6
46	в их	11	6
47	так как	7	6
48	с ее	1	6
49	в ее	8	6
50	связи с	1	6
51	в жизни	1	6
52	то что	6	6
53	человеческой жизни	1	6
54	в частности	5	6
55	не может	9	6
56	так же	9	6
57	в результате	3	6
58	и все	2	6
59	и до	1	5
60	время как	1	5
61	но не	5	5
62	отнюдь не	9	5
63	не в	5	5
64	этот процесс	2	5
65	он не	2	5
66	всех этих	1	5
67	значение в	1	5
68	жизни но	1	5
69	одного и	1	5
70	в основе	1	5
71	того чтобы	6	5
72	точки зрения	23	5
73	в разных	1	5
74	только и	1	5
75	могут быть	2	5
76	но все	1	5
77	в пределах	25	5
78	если бы	2	5
79	для того	6	5
80	в связи	1	5
81	наряду с	2	5
82	что в	21	5
83	и другие	1	5
84	и то	2	4
85	и это	1	4
86	этого мира	1	4
87	в ней	4	4
88	в своем	14	4
89	конечно не	1	4
90	то время	1	4
91	но на	3	4
92	и с	2	4
93	в них	3	4
94	том что	6	4
95	в котором	2	4
96	здесь на	1	4
97	в процессе	4	4
98	не имеет	4	4
99	потому что	3	4
100	и следовательно	1	4
101	только в	9	4
102	влияние на	2	4
103	нет ничего	1	4
104	пространства и	1	4
105	в той	5	4
106	между собой	2	4
107	кроме того	1	4
108	и для	3	4
109	вполне понятно	1	4
110	том числе	1	4
111	по преимуществу	2	3
112	есть не	2	3
113	мы не	4	3
114	большую роль	1	3
115	значение и	1	3
116	по отношению	1	3
117	к концу	1	3
118	хотя и	2	3
119	в себе	9	3
120	и те	1	3
121	все ее	1	3
122	в определенном	3	3
123	при этом	1	3
124	вообще не	3	3
125	входит в	1	3
126	и других	2	3
127	с другими	2	3
128	для них	2	3
129	между ними	2	3
130	в этих	2	3
131	в отношении	32	3
132	мы говорили	1	3
133	но они	1	3
134	этом отношении	3	3
135	не могут	2	3
136	к тому	8	3
137	в порядке	2	3
138	нас в	1	3
139	что и	3	3
140	во всей	2	3
141	один из	1	3
142	мы видим	2	3
143	одной из	5	3
144	и ее	1	3
145	с одной	8	3
146	в качестве	14	3
147	же в	2	3
148	в начале	1	3
149	был бы	1	3
150	одно из	1	3
151	в одном	2	3
152	именно в	4	3
153	что не	1	3
154	только к	2	3
155	более того	1	3
156	с тем	3	3
157	а не	2	3
158	мира в	4	3
159	вместе с	2	3
160	и потому	5	3
161	или в	2	3
162	оказались бы	1	3
163	еще более	2	3
164	а в	2	3
165	сказать что	4	3
166	имеет место	2	3
167	в таком	3	3
168	во всяком	3	3
169	также и	7	2
170	же как	5	2
171	тех же	1	2
172	той же	1	2
173	вопрос о	4	2
174	на себя	3	2
175	сплошь и	2	2
176	на них	2	2
177	друг к	1	2
178	мы будем	1	2
179	происходит в	2	2
180	в истории	2	2
181	в центре	1	2
182	для всех	1	2
183	стороны и	6	2
184	с их	1	2
185	не являются	1	2
186	и к	3	2
187	имеет в	2	2
188	от этого	5	2
189	в этот	1	2
190	тому же	1	2
191	в нашем	1	2
192	как бы	6	2
193	как оно	2	2
194	все другие	2	2
195	и еще	2	2
196	не как	1	2
197	уже не	1	2
198	этом мире	1	2
199	и по	5	2
200	что все	2	2
201	об этом	1	2
202	к другу	1	2
203	было бы	8	2
204	каком же	1	2
205	бы совершенно	2	2
206	рядом с	1	2
207	с большей	1	2
208	чем в	4	2
209	мир в	1	2
210	и всей	1	2
211	весьма часто	1	2
212	для него	1	2
213	в своей	8	2
214	лежат в	4	2
215	с точки	17	2
216	место в	3	2
217	не к	2	2
218	в отличие	1	2
219	в которых	3	2
220	что имеет	1	2
221	друг другу	1	2
222	том же	1	2
223	по себе	4	2
224	тогда когда	2	2
225	дело в	3	2
226	никогда не	3	2
227	в самой	1	2
228	с большой	2	2
229	к ней	4	2
230	во всем	1	2
231	мире и	1	2
232	так называемый	1	2
233	в каком	4	2
234	есть только	1	2
235	во все	3	2
236	числе и	1	2
237	той или	4	2
238	оно не	1	2
239	но по	2	2
240	всего этого	1	2
241	как по	1	2
242	те же	1	2
243	по природе	1	2
244	во многом	2	2
245	ту же	1	2
246	по сравнению	2	2
247	и вообще	1	2
248	с ним	1	2
249	или иной	4	2
250	а также	7	2
251	в значительной	2	2
252	на основе	2	2
253	связь между	1	2
254	во втором	2	2
255	там где	3	2
256	того что	7	2
257	быть и	1	2
258	в стороне	3	2
259	есть в	2	2
260	уже в	1	2
261	если мы	1	2
262	в данной	3	2
263	мы находим	1	2
264	исторического процесса	1	2
265	к ним	3	2
266	не о	1	2
267	отличие от	1	2
268	тем что	3	2
269	и даже	6	2
270	даже не	1	2
271	с другой	7	2
272	не обязательно	1	2
273	далеко не	2	2
274	и прежде	3	2
275	одних и	1	2
276	соответствии с	1	2
277	в некоторых	2	2
278	в соответствии	1	2
